'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for July 2018,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 August 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/07/2018,1.3,0.2, ,21.1,18.8,99,89,2.36,7.89
CAPE MORETON LIGHTHOUSE,02/07/2018,1.8,7.6, ,20.2,16.3,100,79,5.94,13.91
CAPE MORETON LIGHTHOUSE,03/07/2018,2.7,0.4, ,21.0,13.5,93,63,6.37,14.21
CAPE MORETON LIGHTHOUSE,04/07/2018,2.7,0.2, ,21.9,16.0,99,67,10.36,12.73
CAPE MORETON LIGHTHOUSE,05/07/2018,1.9,1.4, ,21.8,18.2,99,81,8.83,11.99
CAPE MORETON LIGHTHOUSE,06/07/2018,2.1,1.8, ,23.0,18.3,100,76,8.00,10.77
CAPE MORETON LIGHTHOUSE,07/07/2018,3.2,2.8, ,21.7,17.8,100,43,6.79,9.37
CAPE MORETON LIGHTHOUSE,08/07/2018,4.2,0.2, ,17.7,10.8,57,37,7.36,14.42
CAPE MORETON LIGHTHOUSE,09/07/2018,3.5,0.0, ,17.5,11.7,72,44,6.80,14.24
CAPE MORETON LIGHTHOUSE,10/07/2018,2.1,0.0, ,18.4,13.7,99,71,9.19,13.39
CAPE MORETON LIGHTHOUSE,11/07/2018,1.1,28.2, ,17.9,14.2,100,89,7.75,9.23
CAPE MORETON LIGHTHOUSE,12/07/2018,1.8,66.2, ,21.0,14.5,100,79,5.35,11.86
CAPE MORETON LIGHTHOUSE,13/07/2018,3.1,0.2, ,18.8,13.2,99,34,5.38,14.69
CAPE MORETON LIGHTHOUSE,14/07/2018,3.4,0.0, ,18.1,11.1,59,39,4.42,14.75
CAPE MORETON LIGHTHOUSE,15/07/2018,3.3,0.0, ,20.3,12.3,74,45,4.58,14.82
CAPE MORETON LIGHTHOUSE,16/07/2018,3.4,0.0, ,20.9,15.0,81,47,5.38,14.87
CAPE MORETON LIGHTHOUSE,17/07/2018,3.9,0.0, ,19.8,12.5,66,30,4.87,14.95
CAPE MORETON LIGHTHOUSE,18/07/2018,3.6,0.0, ,21.1,13.8,75,33,4.33,15.02
CAPE MORETON LIGHTHOUSE,19/07/2018,3.3,0.0, ,20.6,14.8,85,48,5.50,15.09
CAPE MORETON LIGHTHOUSE,20/07/2018,4.2,0.0, ,21.2,17.1,88,37,8.09,13.42
CAPE MORETON LIGHTHOUSE,21/07/2018,3.8,0.0, ,16.9,11.0,66,37,6.56,15.25
CAPE MORETON LIGHTHOUSE,22/07/2018,3.4,0.0, ,20.2,13.9,75,51,5.66,13.27
CAPE MORETON LIGHTHOUSE,23/07/2018,3.0,0.0, ,21.5,15.2,70,51,3.71,12.20
CAPE MORETON LIGHTHOUSE,24/07/2018,2.6,0.0, ,21.1,14.5,93,65,5.07,15.47
CAPE MORETON LIGHTHOUSE,25/07/2018,1.9,0.0, ,20.2,16.8,97,80,5.91,12.29
CAPE MORETON LIGHTHOUSE,26/07/2018,2.9,0.0, ,22.5,17.3,96,55,3.86,15.45
CAPE MORETON LIGHTHOUSE,27/07/2018,2.7,0.0, ,21.9,16.9,94,71,6.18,15.77
CAPE MORETON LIGHTHOUSE,28/07/2018,2.7,0.0, ,22.0,17.3,92,72,5.29,15.81
CAPE MORETON LIGHTHOUSE,29/07/2018,2.6,0.0, ,22.1,16.9,97,73,5.91,15.93
CAPE MORETON LIGHTHOUSE,30/07/2018,3.7,0.8, ,21.4,15.5,96,35,5.29,16.03
CAPE MORETON LIGHTHOUSE,31/07/2018,3.7,0.0, ,20.2,12.9,73,35,4.50,16.14
Totals:,,89.6,110, ,,,,,, 
