'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for August 2018,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 September 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/08/2018,3.2,0.0, ,20.3,15.1,80,49,4.29,16.17
CAPE MORETON LIGHTHOUSE,02/08/2018,3.7,0.0, ,21.5,14.9,81,51,6.22,15.47
CAPE MORETON LIGHTHOUSE,03/08/2018,3.5,0.0, ,22.4,17.0,78,54,5.14,14.13
CAPE MORETON LIGHTHOUSE,04/08/2018,2.9,0.0, ,21.9,17.5,95,68,6.10,16.38
CAPE MORETON LIGHTHOUSE,05/08/2018,2.7,0.0, ,21.8,14.9,99,67,5.69,16.55
CAPE MORETON LIGHTHOUSE,06/08/2018,2.4,0.0, ,21.9,18.2,99,80,9.66,16.44
CAPE MORETON LIGHTHOUSE,07/08/2018,3.6,0.0, ,20.8,15.8,94,33,5.36,12.54
CAPE MORETON LIGHTHOUSE,08/08/2018,4.1,0.0, ,19.7,13.0,68,27,4.69,16.95
CAPE MORETON LIGHTHOUSE,09/08/2018,4.4,0.0, ,19.7,12.4,67,36,6.37,17.05
CAPE MORETON LIGHTHOUSE,10/08/2018,3.7,0.0, ,19.7,14.6,77,56,7.38,17.05
CAPE MORETON LIGHTHOUSE,11/08/2018,3.4,0.0, ,22.3,16.1,84,53,4.50,15.36
CAPE MORETON LIGHTHOUSE,12/08/2018,5.3,0.0, ,23.4,17.9,87,24,7.04,17.38
CAPE MORETON LIGHTHOUSE,13/08/2018,4.0,0.0, ,17.9,11.2,67,31,5.09,17.54
CAPE MORETON LIGHTHOUSE,14/08/2018,3.4,0.0, ,21.0,12.2,79,52,4.34,17.57
CAPE MORETON LIGHTHOUSE,15/08/2018,3.6,0.0, ,20.6,16.0,83,63,8.51,17.73
CAPE MORETON LIGHTHOUSE,16/08/2018,3.5,0.0, ,22.5,16.4,86,66,7.08,17.88
CAPE MORETON LIGHTHOUSE,17/08/2018,5.2,0.0, ,25.3,16.7,84,27,5.56,18.03
CAPE MORETON LIGHTHOUSE,18/08/2018,4.0,0.0, ,22.0,16.6,94,37,5.07,18.13
CAPE MORETON LIGHTHOUSE,19/08/2018,5.5,0.0, ,21.7,16.5,88,20,8.13,18.26
CAPE MORETON LIGHTHOUSE,20/08/2018,5.1,0.0, ,18.5,10.9,57,21,6.51,18.40
CAPE MORETON LIGHTHOUSE,21/08/2018,4.4,0.0, ,18.7,10.5,66,28,5.34,18.57
CAPE MORETON LIGHTHOUSE,22/08/2018,4.8,0.0, ,21.0,12.9,73,23,5.19,18.65
CAPE MORETON LIGHTHOUSE,23/08/2018,4.3,0.0, ,21.9,15.2,70,55,7.02,17.50
CAPE MORETON LIGHTHOUSE,24/08/2018,3.2,7.8, ,22.1,14.9,93,57,6.55,12.03
CAPE MORETON LIGHTHOUSE,25/08/2018,4.6,0.0, ,21.7,17.9,73,50,7.78,16.48
CAPE MORETON LIGHTHOUSE,26/08/2018,2.0,12.0, ,18.8,15.4,99,71,5.98,9.26
CAPE MORETON LIGHTHOUSE,27/08/2018,3.5,6.4, ,19.4,13.2,95,55,7.88,19.38
CAPE MORETON LIGHTHOUSE,28/08/2018,3.1,0.0, ,19.6,14.0,90,65,6.22,17.53
CAPE MORETON LIGHTHOUSE,29/08/2018,4.7,0.0, ,22.2,14.2,85,25,4.76,19.64
CAPE MORETON LIGHTHOUSE,30/08/2018,4.4,0.0, ,22.2,13.2,71,48,6.12,18.13
CAPE MORETON LIGHTHOUSE,31/08/2018,4.9,0.0, ,21.8,15.9,86,45,9.56,19.77
Totals:,,121.1,26.2, ,,,,,, 
