'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for November 2018,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 December 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/11/2018,5.6,0.0, ,26.6,20.7,70,57,4.57,24.03
CAPE MORETON LIGHTHOUSE,02/11/2018,6.5,0.0, ,26.3,21.0,73,54,6.88,27.44
CAPE MORETON LIGHTHOUSE,03/11/2018,5.9,0.0, ,25.4,20.7,86,59,7.90,28.74
CAPE MORETON LIGHTHOUSE,04/11/2018,4.7,0.0, ,25.9,21.3,95,78,9.76,28.78
CAPE MORETON LIGHTHOUSE,05/11/2018,4.5,0.0, ,26.0,21.8,99,80,9.20,28.72
CAPE MORETON LIGHTHOUSE,06/11/2018,4.3,0.0, ,25.9,22.3,100,82,9.48,28.19
CAPE MORETON LIGHTHOUSE,07/11/2018,4.3,0.0, ,25.8,21.6,100,82,10.09,29.14
CAPE MORETON LIGHTHOUSE,08/11/2018,3.4,1.0, ,23.0,21.8,99,58,9.87,8.43
CAPE MORETON LIGHTHOUSE,09/11/2018,7.1,0.0, ,24.8,19.2,70,47,11.52,25.50
CAPE MORETON LIGHTHOUSE,10/11/2018,6.3,0.0, ,26.3,18.2,84,48,6.32,28.61
CAPE MORETON LIGHTHOUSE,11/11/2018,6.4,0.0, ,25.7,19.7,84,53,8.44,29.03
CAPE MORETON LIGHTHOUSE,12/11/2018,6.4,0.0, ,24.9,19.6,79,54,10.49,27.45
CAPE MORETON LIGHTHOUSE,13/11/2018,6.0,0.0, ,27.1,19.7,87,60,9.11,27.45
CAPE MORETON LIGHTHOUSE,14/11/2018,5.1,0.0, ,27.1,20.9,85,59,5.65,20.64
CAPE MORETON LIGHTHOUSE,15/11/2018,5.5,0.0, ,27.0,21.2,82,62,4.22,26.06
CAPE MORETON LIGHTHOUSE,16/11/2018,5.8,0.0, ,28.3,21.2,78,57,4.44,24.63
CAPE MORETON LIGHTHOUSE,17/11/2018,5.1,0.0, ,27.9,21.8,100,63,6.14,24.29
CAPE MORETON LIGHTHOUSE,18/11/2018,4.6,5.6, ,24.2,18.2,99,64,11.16,24.29
CAPE MORETON LIGHTHOUSE,19/11/2018,7.0,0.0, ,26.0,20.6,68,51,9.06,26.55
CAPE MORETON LIGHTHOUSE,20/11/2018,6.2,0.0, ,26.3,19.7,75,51,5.46,26.75
CAPE MORETON LIGHTHOUSE,21/11/2018,5.1,0.0, ,25.4,21.1,92,72,10.60,28.76
CAPE MORETON LIGHTHOUSE,22/11/2018,4.0,3.6, ,26.6,21.8,100,68,8.30,17.25
CAPE MORETON LIGHTHOUSE,23/11/2018,8.1,0.0, ,29.2,19.9,96,22,6.88,29.46
CAPE MORETON LIGHTHOUSE,24/11/2018,9.7,0.0, ,29.6,20.5,47,18,6.58,30.43
CAPE MORETON LIGHTHOUSE,25/11/2018,7.0,0.0, ,29.2,21.7,100,28,4.94,28.41
CAPE MORETON LIGHTHOUSE,26/11/2018,7.7,0.2, ,29.8,21.1,100,29,6.24,30.55
CAPE MORETON LIGHTHOUSE,27/11/2018,3.4,0.0, ,25.3,21.2,100,65,5.94,13.46
CAPE MORETON LIGHTHOUSE,28/11/2018,7.2,0.2, ,27.9,22.9,100,34,9.52,25.45
CAPE MORETON LIGHTHOUSE,29/11/2018,8.0,0.0, ,28.5,21.5,74,40,7.14,30.70
CAPE MORETON LIGHTHOUSE,30/11/2018,5.6,0.0, ,27.2,21.1,89,65,4.61,27.52
Totals:,,176.5,10.6, ,,,,,, 
