'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for January 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/01/2009, ,0.0, ,31.0,21.6,92,67,4.52, 
GOLD COAST SEAWAY,02/01/2009, ,5.0, ,28.0,22.4,86,60,6.11, 
GOLD COAST SEAWAY,03/01/2009, ,4.0, ,25.9,21.5,99,66,11.87, 
GOLD COAST SEAWAY,04/01/2009, ,2.4, ,27.5,21.9,70,48,9.95, 
GOLD COAST SEAWAY,05/01/2009, ,0.0, ,28.8,21.7,79,59,7.10, 
GOLD COAST SEAWAY,06/01/2009, ,0.0, ,29.7,22.2,89,58,5.93, 
GOLD COAST SEAWAY,07/01/2009, ,0.0, ,30.7,23.8,79,53,4.78, 
GOLD COAST SEAWAY,08/01/2009, ,1.4, ,27.6,22.5,93,72,3.16, 
GOLD COAST SEAWAY,09/01/2009, ,0.2, ,29.5,22.1,89,55,11.37, 
GOLD COAST SEAWAY,10/01/2009, ,0.0, ,28.4,20.5,81,46,9.45, 
GOLD COAST SEAWAY,11/01/2009, ,0.8, ,28.9,20.1,73,50,5.74, 
GOLD COAST SEAWAY,12/01/2009, ,0.0, ,29.3,20.2,79,54,5.47, 
GOLD COAST SEAWAY,13/01/2009, ,0.0, ,29.3,23.1,74,56,8.59, 
GOLD COAST SEAWAY,14/01/2009, ,0.0, ,28.5,21.6,74,46,6.00, 
GOLD COAST SEAWAY,15/01/2009, ,0.0, ,31.0,18.7,83,51,4.91, 
GOLD COAST SEAWAY,16/01/2009, ,0.0, ,32.1,21.6,82,48,6.01, 
GOLD COAST SEAWAY,17/01/2009, ,0.0, ,28.8,24.3,88,64,9.35, 
GOLD COAST SEAWAY,18/01/2009, ,0.2, ,27.7,19.5,84,50,8.01, 
GOLD COAST SEAWAY,19/01/2009, ,0.0, ,29.2,18.4,79,45,4.58, 
GOLD COAST SEAWAY,20/01/2009, ,0.0, ,30.9,19.9,75,41,3.88, 
GOLD COAST SEAWAY,21/01/2009, ,0.0, ,31.6,22.3,83,57,5.17, 
GOLD COAST SEAWAY,22/01/2009, ,0.0, ,32.6,24.1,99,59,5.23, 
GOLD COAST SEAWAY,23/01/2009, ,48.2, ,30.9,23.9,100,74,4.29, 
GOLD COAST SEAWAY,24/01/2009, ,10.8, ,31.3,24.1,97,65,4.87, 
GOLD COAST SEAWAY,25/01/2009, ,0.0, ,30.5,24.8,100,71,3.95, 
GOLD COAST SEAWAY,26/01/2009, ,7.8, ,30.4,23.4,100,64,4.28, 
GOLD COAST SEAWAY,27/01/2009, ,2.0, ,30.2,22.3,93,58,7.48, 
GOLD COAST SEAWAY,28/01/2009, ,0.4, ,30.3,23.5,79,55,7.95, 
GOLD COAST SEAWAY,29/01/2009, ,3.4, ,28.4,22.7,92,67,7.16, 
GOLD COAST SEAWAY,30/01/2009, ,6.0, ,30.1,21.6,91,60,7.10, 
GOLD COAST SEAWAY,31/01/2009, ,0.6, ,29.9,24.2,83,60,7.85, 
Totals:,, ,93.2, ,,,,,, 
