'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for March 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/03/2009, ,0.0, ,33.6,21.2,90,44,4.43, 
GOLD COAST SEAWAY,02/03/2009, ,0.0, ,30.6,23.9,96,65,5.49, 
GOLD COAST SEAWAY,03/03/2009, ,0.0, ,29.9,24.1,87,63,4.30, 
GOLD COAST SEAWAY,04/03/2009, ,9.8, ,29.7,22.8,94,65,5.71, 
GOLD COAST SEAWAY,05/03/2009, ,4.0, ,27.9,20.8,91,47,5.24, 
GOLD COAST SEAWAY,06/03/2009, ,0.0, ,30.1,19.2,81,49,4.24, 
GOLD COAST SEAWAY,07/03/2009, ,0.0, ,30.3,20.6,85,52,3.96, 
GOLD COAST SEAWAY,08/03/2009, ,0.0, ,29.7,20.9,90,53,6.26, 
GOLD COAST SEAWAY,09/03/2009, ,0.0, ,28.1,24.2,82,61,12.17, 
GOLD COAST SEAWAY,10/03/2009, ,3.6, ,26.8,22.2,92,66,13.51, 
GOLD COAST SEAWAY,11/03/2009, ,8.4, ,26.4,21.2,99,69,12.51, 
GOLD COAST SEAWAY,12/03/2009, ,2.4, ,27.3,21.7,90,64,10.40, 
GOLD COAST SEAWAY,13/03/2009, ,0.8, ,26.9,21.8,89,63,5.70, 
GOLD COAST SEAWAY,14/03/2009, ,1.0, ,28.4,19.9,93,59,3.92, 
GOLD COAST SEAWAY,15/03/2009, ,0.0, ,29.8,19.9,93,54,3.70, 
GOLD COAST SEAWAY,16/03/2009, ,0.0, ,31.0,20.5,95,52,5.56, 
GOLD COAST SEAWAY,17/03/2009, ,21.2, ,28.0,18.7,91,61,3.77, 
GOLD COAST SEAWAY,18/03/2009, ,0.0, ,28.8,22.1,84,59,6.85, 
GOLD COAST SEAWAY,19/03/2009, ,0.0, ,27.1,22.3,82,67,5.92, 
GOLD COAST SEAWAY,20/03/2009, ,0.0, ,29.1,21.2,88,62,7.29, 
GOLD COAST SEAWAY,21/03/2009, ,5.2, ,27.6,20.7,93,55,8.03, 
GOLD COAST SEAWAY,22/03/2009, ,1.0, ,28.0,19.7,84,57,7.17, 
GOLD COAST SEAWAY,23/03/2009, ,0.6, ,28.5,19.8,87,51,5.54, 
GOLD COAST SEAWAY,24/03/2009, ,0.0, ,28.0,18.7,88,50,6.20, 
GOLD COAST SEAWAY,25/03/2009, ,0.0, ,28.6,18.6,76,48,5.89, 
GOLD COAST SEAWAY,26/03/2009, ,0.0, ,28.2,19.5,80,52,4.81, 
GOLD COAST SEAWAY,27/03/2009, ,0.0, ,28.4,18.3,93,54,6.70, 
GOLD COAST SEAWAY,28/03/2009, ,8.2, ,27.2,20.0,91,58,9.32, 
GOLD COAST SEAWAY,29/03/2009, ,1.2, ,27.3,19.9,96,57,9.47, 
GOLD COAST SEAWAY,30/03/2009, ,21.0, ,24.4,20.2,99,71,10.47, 
GOLD COAST SEAWAY,31/03/2009, ,3.0, ,30.4,19.7,88,46,3.80, 
Totals:,, ,91.4, ,,,,,, 
