'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for April 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/04/2009, ,0.0, ,28.1,19.5,99,64,5.67, 
GOLD COAST SEAWAY,02/04/2009, ,33.4, ,24.8,21.1,100,83,12.97, 
GOLD COAST SEAWAY,03/04/2009, ,118.2, ,27.2,21.0,94,75,6.90, 
GOLD COAST SEAWAY,04/04/2009, ,143.8, ,27.6,21.1,100,74,3.59, 
GOLD COAST SEAWAY,05/04/2009, ,4.6, ,27.3,20.3,97,70,6.90, 
GOLD COAST SEAWAY,06/04/2009, ,2.0, ,27.1,20.4,99,70,6.53, 
GOLD COAST SEAWAY,07/04/2009, ,16.0, ,25.7,19.8,99,63,9.25, 
GOLD COAST SEAWAY,08/04/2009, ,0.4, ,26.1,19.5,74,50,7.97, 
GOLD COAST SEAWAY,09/04/2009, ,1.8, ,25.0,18.2,96,65,6.64, 
GOLD COAST SEAWAY,10/04/2009, ,14.4, ,25.1,17.7,99,65,4.06, 
GOLD COAST SEAWAY,11/04/2009, ,0.8, ,26.4,18.3,97,64,4.01, 
GOLD COAST SEAWAY,12/04/2009, ,4.6, ,25.2,19.6,99,77,4.24, 
GOLD COAST SEAWAY,13/04/2009, ,3.0, ,25.7,20.3,99,84,5.25, 
GOLD COAST SEAWAY,14/04/2009, ,42.6, ,27.7,21.3,99,69,4.53, 
GOLD COAST SEAWAY,15/04/2009, ,0.0, ,28.4,19.9,99,67,3.60, 
GOLD COAST SEAWAY,16/04/2009, ,0.0, ,28.5,18.5,98,44,4.56, 
GOLD COAST SEAWAY,17/04/2009, ,0.0, ,27.4,16.4,80,46,3.99, 
GOLD COAST SEAWAY,18/04/2009, ,0.0, ,26.5,16.6,88,44,5.99, 
GOLD COAST SEAWAY,19/04/2009, ,0.0, ,26.8,15.8,77,40,3.76, 
GOLD COAST SEAWAY,20/04/2009, ,0.0, ,27.3,16.7,67,42,5.55, 
GOLD COAST SEAWAY,21/04/2009, ,0.0, ,25.5,18.3,74,53,5.97, 
GOLD COAST SEAWAY,22/04/2009, ,0.0, ,27.0,18.2,78,46,6.49, 
GOLD COAST SEAWAY,23/04/2009, ,0.0, ,26.8,17.7,81,44,5.79, 
GOLD COAST SEAWAY,24/04/2009, ,0.0, ,26.2,15.6,90,52,3.55, 
GOLD COAST SEAWAY,25/04/2009, ,0.0, ,28.1,17.4,89,47,5.58, 
GOLD COAST SEAWAY,26/04/2009, ,0.0, ,28.9,19.1,93,29,4.99, 
GOLD COAST SEAWAY,27/04/2009, ,0.0, ,27.6,14.7,79,31,3.69, 
GOLD COAST SEAWAY,28/04/2009, ,0.0, ,25.8,12.7,72,28,3.36, 
GOLD COAST SEAWAY,29/04/2009, ,0.0, ,25.9,14.2,81,34,3.30, 
GOLD COAST SEAWAY,30/04/2009, ,0.0, ,27.2,14.2,86,26,5.25, 
Totals:,, ,385.6, ,,,,,, 
