'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for May 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/05/2009, ,0.0, ,24.9,15.8,74,51,5.20, 
GOLD COAST SEAWAY,02/05/2009, ,0.2, ,24.8,16.0,82,50,5.34, 
GOLD COAST SEAWAY,03/05/2009, ,0.0, ,25.1,15.4,84,48,5.88, 
GOLD COAST SEAWAY,04/05/2009, ,0.0, ,24.6,15.5,82,52,6.70, 
GOLD COAST SEAWAY,05/05/2009, ,0.0, ,24.7,15.7,81,49,5.53, 
GOLD COAST SEAWAY,06/05/2009, ,0.0, ,23.9,15.5,85,59,6.01, 
GOLD COAST SEAWAY,07/05/2009, ,9.0, ,23.8,16.3,92,59,3.81, 
GOLD COAST SEAWAY,08/05/2009, ,0.0, ,25.3,14.8,89,45,5.39, 
GOLD COAST SEAWAY,09/05/2009, ,0.0, ,24.5,16.2,80,52,5.56, 
GOLD COAST SEAWAY,10/05/2009, ,0.0, ,24.9,13.9,84,37,6.13, 
GOLD COAST SEAWAY,11/05/2009, ,0.0, ,23.6,15.9,78,51,6.67, 
GOLD COAST SEAWAY,12/05/2009, ,0.0, ,22.9,13.4,88,52,3.28, 
GOLD COAST SEAWAY,13/05/2009, ,0.0, ,25.0,13.3,94,39,3.14, 
GOLD COAST SEAWAY,14/05/2009, ,0.0, ,25.6,12.8,90,26,3.05, 
GOLD COAST SEAWAY,15/05/2009, ,0.0, ,24.9,11.0,84,22,3.62, 
GOLD COAST SEAWAY,16/05/2009, ,0.0, ,26.0,11.9,62,27,4.40, 
GOLD COAST SEAWAY,17/05/2009, ,0.0, ,26.2,12.5,77,41,5.09, 
GOLD COAST SEAWAY,18/05/2009, ,0.0, ,24.3,17.6,100,58,9.09, 
GOLD COAST SEAWAY,19/05/2009, ,38.8, ,22.0,16.6,95,59,12.34, 
GOLD COAST SEAWAY,20/05/2009, ,28.8, ,19.8,18.1,99,68,16.83, 
GOLD COAST SEAWAY,21/05/2009, ,59.8, ,21.3,14.9,96,76,10.45, 
GOLD COAST SEAWAY,22/05/2009, ,8.4, ,22.9,12.5,99,60,3.32, 
GOLD COAST SEAWAY,23/05/2009, ,19.0, ,22.8,16.1,99,72,10.33, 
GOLD COAST SEAWAY,24/05/2009, ,7.6, ,22.6,18.5,87,62,11.11, 
GOLD COAST SEAWAY,25/05/2009, ,4.4, ,23.8,16.7,86,57,6.37, 
GOLD COAST SEAWAY,26/05/2009, ,0.0, ,22.6,16.4,86,59,4.66, 
GOLD COAST SEAWAY,27/05/2009, ,0.0, ,23.7,13.9,89,60,2.88, 
GOLD COAST SEAWAY,28/05/2009, ,0.0, ,23.5,13.6,99,62,3.20, 
GOLD COAST SEAWAY,29/05/2009, ,0.0, ,23.7,15.3,97,61,3.17, 
GOLD COAST SEAWAY,30/05/2009, ,7.4, ,22.7,14.1,91,56,6.47, 
GOLD COAST SEAWAY,31/05/2009, ,0.0, ,22.4,14.6,86,58,8.07, 
Totals:,, ,183.4, ,,,,,, 
