'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for June 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/06/2009, ,2.6, ,21.1,14.9,91,59,8.20, 
GOLD COAST SEAWAY,02/06/2009, ,3.2, ,22.1,14.8,95,67,5.21, 
GOLD COAST SEAWAY,03/06/2009, ,3.0, ,20.6,14.7,95,76,5.43, 
GOLD COAST SEAWAY,04/06/2009, ,3.4, ,21.3,15.7,99,77,3.00, 
GOLD COAST SEAWAY,05/06/2009, ,5.0, ,24.4,14.0,99,53,2.87, 
GOLD COAST SEAWAY,06/06/2009, ,0.2, ,22.4,11.0,95,39,3.07, 
GOLD COAST SEAWAY,07/06/2009, ,0.0, ,22.6,13.7,99,45,4.50, 
GOLD COAST SEAWAY,08/06/2009, ,2.2, ,21.6,10.6,81,39,3.85, 
GOLD COAST SEAWAY,09/06/2009, ,0.0, ,21.6,9.9,87,35,4.52, 
GOLD COAST SEAWAY,10/06/2009, ,0.0, ,20.2,9.4,77,34,5.18, 
GOLD COAST SEAWAY,11/06/2009, ,0.0, ,17.2,7.6,80,31,3.32, 
GOLD COAST SEAWAY,12/06/2009, ,0.0, ,20.1,6.4,81,39,3.64, 
GOLD COAST SEAWAY,13/06/2009, ,0.0, ,21.4,10.3,85,42,3.84, 
GOLD COAST SEAWAY,14/06/2009, ,0.0, ,22.7,10.4,97,44,4.08, 
GOLD COAST SEAWAY,15/06/2009, ,0.0, ,21.8,12.2,97,56,3.01, 
GOLD COAST SEAWAY,16/06/2009, ,0.0, ,22.3,11.2,99,37,3.67, 
GOLD COAST SEAWAY,17/06/2009, ,0.2, ,22.4,11.0,81,45,4.73, 
GOLD COAST SEAWAY,18/06/2009, ,0.0, ,21.1,13.4,82,55,6.33, 
GOLD COAST SEAWAY,19/06/2009, ,0.0, ,22.1,13.0,97,53,6.12, 
GOLD COAST SEAWAY,20/06/2009, ,17.4, ,20.8,15.1,99,72,7.64, 
GOLD COAST SEAWAY,21/06/2009, ,8.8, ,21.5,16.2,97,76,7.93, 
GOLD COAST SEAWAY,22/06/2009, ,35.8, ,20.5,17.7,99,83,5.27, 
GOLD COAST SEAWAY,23/06/2009, ,55.2, ,22.4,15.2,99,63,7.47, 
GOLD COAST SEAWAY,24/06/2009, ,0.0, ,23.4,10.9,99,37,2.69, 
GOLD COAST SEAWAY,25/06/2009, ,0.0, ,21.2,10.7,99,63,2.82, 
GOLD COAST SEAWAY,26/06/2009, ,0.0, ,19.3,13.8,95,62,4.21, 
GOLD COAST SEAWAY,27/06/2009, ,2.6, ,20.1,13.8,96,59,3.32, 
GOLD COAST SEAWAY,28/06/2009, ,0.2, ,21.3,12.0,87,45,4.75, 
GOLD COAST SEAWAY,29/06/2009, ,0.0, ,20.9,9.9,88,42,3.21, 
GOLD COAST SEAWAY,30/06/2009, ,0.0, ,21.7,8.1,98,46,3.00, 
Totals:,, ,139.8, ,,,,,, 
