'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for August 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/08/2009, ,0.0, ,21.3,10.3,83,44,3.66, 
GOLD COAST SEAWAY,02/08/2009, ,0.0, ,21.8,11.2,88,55,3.63, 
GOLD COAST SEAWAY,03/08/2009, ,0.0, ,24.3,11.0,94,36,4.11, 
GOLD COAST SEAWAY,04/08/2009, ,0.0, ,22.6,11.0,92,55,3.27, 
GOLD COAST SEAWAY,05/08/2009, ,0.0, ,23.0,12.2,89,53,3.47, 
GOLD COAST SEAWAY,06/08/2009, ,0.0, ,22.8,12.1,93,55,4.39, 
GOLD COAST SEAWAY,07/08/2009, ,0.0, ,23.1,12.3,91,54,3.99, 
GOLD COAST SEAWAY,08/08/2009, ,0.0, ,21.0,11.8,97,43,7.77, 
GOLD COAST SEAWAY,09/08/2009, ,0.0, ,21.5,10.2,81,41,3.32, 
GOLD COAST SEAWAY,10/08/2009, ,0.0, ,22.4,11.2,87,49,4.21, 
GOLD COAST SEAWAY,11/08/2009, ,0.0, ,23.5,10.2,96,45,4.02, 
GOLD COAST SEAWAY,12/08/2009, ,0.0, ,23.3,14.5,89,51,4.56, 
GOLD COAST SEAWAY,13/08/2009, ,1.0, ,27.2,14.3,91,37,4.44, 
GOLD COAST SEAWAY,14/08/2009, ,0.2, ,23.6,12.3,94,41,4.26, 
GOLD COAST SEAWAY,15/08/2009, ,0.0, ,23.2,12.1,89,50,4.04, 
GOLD COAST SEAWAY,16/08/2009, ,0.0, ,25.0,11.1,99,33,3.96, 
GOLD COAST SEAWAY,17/08/2009, ,0.0, ,27.6,15.1,94,35,5.79, 
GOLD COAST SEAWAY,18/08/2009, ,0.0, ,22.8,16.3,67,29,7.45, 
GOLD COAST SEAWAY,19/08/2009, ,0.0, ,22.0,13.2,84,47,4.09, 
GOLD COAST SEAWAY,20/08/2009, ,0.0, ,23.0,12.3,87,45,3.69, 
GOLD COAST SEAWAY,21/08/2009, ,0.0, ,23.8,13.3,93,49,4.96, 
GOLD COAST SEAWAY,22/08/2009, ,0.0, ,29.3,17.2,91,33,4.93, 
GOLD COAST SEAWAY,23/08/2009, ,0.0, ,25.1,15.4,98,71,2.99, 
GOLD COAST SEAWAY,24/08/2009, ,0.0, ,27.6,17.0,99,57,4.73, 
GOLD COAST SEAWAY,25/08/2009, ,0.0, ,32.4,19.4,92,26,6.50, 
GOLD COAST SEAWAY,26/08/2009, ,0.0, ,30.4,15.6,90,13,3.61, 
GOLD COAST SEAWAY,27/08/2009, ,0.0, ,24.4,12.2,89,46,3.04, 
GOLD COAST SEAWAY,28/08/2009, ,0.0, ,27.0,16.9,98,48,3.59, 
GOLD COAST SEAWAY,29/08/2009, ,0.0, ,25.5,15.7,90,61,5.97, 
GOLD COAST SEAWAY,30/08/2009, ,0.0, ,30.1,19.4,87,25,5.57, 
GOLD COAST SEAWAY,31/08/2009, ,3.0, ,21.4,13.5,87,38,3.91, 
Totals:,, ,4.2, ,,,,,, 
