'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for October 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/10/2009, ,0.0, ,27.6,14.9,89,31,5.38, 
GOLD COAST SEAWAY,02/10/2009, ,0.0, ,28.7,16.9,91,40,5.40, 
GOLD COAST SEAWAY,03/10/2009, ,0.0, ,35.0,19.0,76,14,8.32, 
GOLD COAST SEAWAY,04/10/2009, ,0.0, ,25.2,17.8,86,58,7.20, 
GOLD COAST SEAWAY,05/10/2009, ,0.4, ,24.1,16.4,91,64,5.25, 
GOLD COAST SEAWAY,06/10/2009, ,0.0, ,25.0,15.9,93,55,4.55, 
GOLD COAST SEAWAY,07/10/2009, ,0.0, ,27.8,16.9,85,39,5.25, 
GOLD COAST SEAWAY,08/10/2009, ,2.0, ,23.1,12.3,57,27,5.73, 
GOLD COAST SEAWAY,09/10/2009, ,0.0, ,23.5,14.8,64,39,9.01, 
GOLD COAST SEAWAY,10/10/2009, ,0.0, ,23.4,14.6,76,49,7.60, 
GOLD COAST SEAWAY,11/10/2009, ,0.2, ,21.8,15.4,97,60,3.37, 
GOLD COAST SEAWAY,12/10/2009, ,4.6, ,25.9,12.5,99,50,5.97, 
GOLD COAST SEAWAY,13/10/2009, ,0.4, ,30.3,19.5,92,46,7.21, 
GOLD COAST SEAWAY,14/10/2009, ,0.0, ,31.1,18.3,77,14,8.46, 
GOLD COAST SEAWAY,15/10/2009, ,0.0, ,28.3,15.2,63,20,5.41, 
GOLD COAST SEAWAY,16/10/2009, ,0.0, ,30.7,14.5,80,12,3.82, 
GOLD COAST SEAWAY,17/10/2009, , , ,24.5,14.9,63,27,6.74, 
GOLD COAST SEAWAY,18/10/2009, ,0.0, ,25.4,15.1,87,46,5.66, 
GOLD COAST SEAWAY,19/10/2009, ,3.2, ,23.7,15.2,82,56,5.64, 
GOLD COAST SEAWAY,20/10/2009, ,0.0, ,25.0,15.0,83,47,3.60, 
GOLD COAST SEAWAY,21/10/2009, ,0.0, ,27.4,15.0,84,39,5.58, 
GOLD COAST SEAWAY,22/10/2009, ,0.0, ,27.0,16.5,90,43,4.92, 
GOLD COAST SEAWAY,23/10/2009, ,0.0, ,27.0,16.4,89,46,5.18, 
GOLD COAST SEAWAY,24/10/2009, ,0.0, ,28.6,17.1,86,37,6.20, 
GOLD COAST SEAWAY,25/10/2009, ,0.0, ,27.2,17.7,91,58,4.98, 
GOLD COAST SEAWAY,26/10/2009, ,0.0, ,27.5,20.0,97,50,6.30, 
GOLD COAST SEAWAY,27/10/2009, ,4.4, ,26.6,18.8,85,57,6.63, 
GOLD COAST SEAWAY,28/10/2009, ,0.0, ,24.5,21.2,97,66,5.91, 
GOLD COAST SEAWAY,29/10/2009, ,5.0, ,25.6,18.5,85,49,5.57, 
GOLD COAST SEAWAY,30/10/2009, ,0.6, ,26.3,17.1,91,49,4.07, 
GOLD COAST SEAWAY,31/10/2009, ,0.0, ,26.8,16.5,99,51,3.76, 
Totals:,, ,20.8, ,,,,,, 
