'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for November 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/11/2009, ,31.4, ,24.4,17.5,99,57,4.19, 
GOLD COAST SEAWAY,02/11/2009, ,0.2, ,26.3,15.6,90,45,4.54, 
GOLD COAST SEAWAY,03/11/2009, ,0.0, ,27.7,15.8,87,40,5.60, 
GOLD COAST SEAWAY,04/11/2009, ,0.0, ,32.9,19.8,99,34,5.75, 
GOLD COAST SEAWAY,05/11/2009, ,0.0, ,28.1,19.7,100,61,4.42, 
GOLD COAST SEAWAY,06/11/2009, ,1.2, ,26.0,19.1,97,71,3.96, 
GOLD COAST SEAWAY,07/11/2009, ,5.6, ,26.7,20.3,81,59,6.34, 
GOLD COAST SEAWAY,08/11/2009, ,1.4, ,27.6,20.6,93,51,7.72, 
GOLD COAST SEAWAY,09/11/2009, ,6.2, ,24.9,20.1,99,57,7.95, 
GOLD COAST SEAWAY,10/11/2009, ,3.6, ,25.0,17.7,77,53,7.48, 
GOLD COAST SEAWAY,11/11/2009, ,0.0, ,26.7,16.5,85,49,4.04, 
GOLD COAST SEAWAY,12/11/2009, ,0.0, ,27.0,17.1,87,49,3.95, 
GOLD COAST SEAWAY,13/11/2009, ,0.0, ,28.6,17.7,83,46,4.42, 
GOLD COAST SEAWAY,14/11/2009, ,0.0, ,27.8,18.6,93,51,4.03, 
GOLD COAST SEAWAY,15/11/2009, ,0.0, ,29.6,19.1,87,43,5.56, 
GOLD COAST SEAWAY,16/11/2009, ,0.0, ,29.8,20.9,96,55,6.08, 
GOLD COAST SEAWAY,17/11/2009, ,0.0, ,33.6,22.2,97,40,7.85, 
GOLD COAST SEAWAY,18/11/2009, ,2.0, ,26.0,20.3,90,67,5.24, 
GOLD COAST SEAWAY,19/11/2009, ,0.0, ,28.6,19.2,96,62,2.87, 
GOLD COAST SEAWAY,20/11/2009, ,0.0, ,31.7,23.0,97,49,5.01, 
GOLD COAST SEAWAY,21/11/2009, ,0.0, ,30.5,22.2,95,50,6.24, 
GOLD COAST SEAWAY,22/11/2009, ,0.0, ,31.3,22.1,91,42,6.62, 
GOLD COAST SEAWAY,23/11/2009, ,0.0, ,29.4,22.2,90,54,5.89, 
GOLD COAST SEAWAY,24/11/2009, ,0.4, ,28.4,21.0,99,60,4.80, 
GOLD COAST SEAWAY,25/11/2009, ,0.0, ,28.0,21.9,88,53,5.59, 
GOLD COAST SEAWAY,26/11/2009, ,0.0, ,28.5,20.4,89,58,5.55, 
GOLD COAST SEAWAY,27/11/2009, ,0.0, ,30.6,21.2,88,45,5.98, 
GOLD COAST SEAWAY,28/11/2009, ,0.0, ,32.6,22.8,92,45,4.89, 
GOLD COAST SEAWAY,29/11/2009, ,0.0, ,30.9,22.6,92,44,6.37, 
GOLD COAST SEAWAY,30/11/2009, ,0.0, ,30.7,21.2,96,45,5.54, 
Totals:,, ,52, ,,,,,, 
