'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for December 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/12/2009, ,0.0, ,25.9,19.8,82,58,9.67, 
GOLD COAST SEAWAY,02/12/2009, ,0.0, ,25.2,18.6,82,52,8.63, 
GOLD COAST SEAWAY,03/12/2009, ,0.4, ,27.1,18.4,69,51,7.47, 
GOLD COAST SEAWAY,04/12/2009, ,0.2, ,28.4,18.7,77,48,5.23, 
GOLD COAST SEAWAY,05/12/2009, ,0.0, ,29.3,19.1,80,45,6.49, 
GOLD COAST SEAWAY,06/12/2009, ,0.0, ,29.5,21.7,85,51,5.47, 
GOLD COAST SEAWAY,07/12/2009, ,0.0, ,30.7,22.2,89,47,6.03, 
GOLD COAST SEAWAY,08/12/2009, ,0.0, ,28.5,23.0,86,50,6.98, 
GOLD COAST SEAWAY,09/12/2009, ,0.0, , ,22.8,90,54,6.79, 
GOLD COAST SEAWAY,10/12/2009, , , ,28.5,20.6,97,59,5.43, 
GOLD COAST SEAWAY,11/12/2009, ,0.0, ,28.7,21.3,99,57,4.46, 
GOLD COAST SEAWAY,12/12/2009, ,1.6, ,28.6,21.2,95,63,6.17, 
GOLD COAST SEAWAY,13/12/2009, ,1.0, ,29.2,22.2,99,67,2.73, 
GOLD COAST SEAWAY,14/12/2009, ,0.0, ,30.3,22.1,99,60,2.61, 
GOLD COAST SEAWAY,15/12/2009, ,0.0, ,29.5,22.7,93,63,3.41, 
GOLD COAST SEAWAY,16/12/2009, ,0.6, ,30.1,20.8,91,52,4.44, 
GOLD COAST SEAWAY,17/12/2009, ,0.0, ,29.4,23.0,73,48,5.63, 
GOLD COAST SEAWAY,18/12/2009, ,0.0, ,30.7,22.7,86,47,6.21, 
GOLD COAST SEAWAY,19/12/2009, ,0.0, ,28.2,22.7,86,62,4.64, 
GOLD COAST SEAWAY,20/12/2009, ,0.0, ,28.4,21.7,91,67,4.42, 
GOLD COAST SEAWAY,21/12/2009, ,2.0, ,28.6,20.9,88,61,5.82, 
GOLD COAST SEAWAY,22/12/2009, ,0.0, ,28.9,20.1,91,66,2.93, 
GOLD COAST SEAWAY,23/12/2009, ,0.8, ,30.0,21.3,98,59,3.67, 
GOLD COAST SEAWAY,24/12/2009, ,2.2, ,30.0,21.3,99,59,4.04, 
GOLD COAST SEAWAY,25/12/2009, ,1.2, ,30.1,22.0,92,62,5.23, 
GOLD COAST SEAWAY,26/12/2009, ,10.4, ,29.2,22.7,100,70,5.66, 
GOLD COAST SEAWAY,27/12/2009, ,4.6, ,28.8,22.8,100,69,5.65, 
GOLD COAST SEAWAY,28/12/2009, ,28.2, ,27.0,22.9,100,86,4.23, 
GOLD COAST SEAWAY,29/12/2009, ,6.2, ,28.1,23.0,100,85,3.98, 
GOLD COAST SEAWAY,30/12/2009, ,48.4, ,28.9,22.1,100,64,4.61, 
GOLD COAST SEAWAY,31/12/2009, ,0.0, ,29.8,23.5,99,54,5.68, 
Totals:,, ,107.8, ,,,,,, 
