'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for February 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/02/2010, ,6.2, ,27.1,23.2,90,62,11.34, 
GOLD COAST SEAWAY,02/02/2010, ,0.8, ,28.5,22.8,93,63,9.35, 
GOLD COAST SEAWAY,03/02/2010, ,7.2, ,28.7,21.9,99,63,6.07, 
GOLD COAST SEAWAY,04/02/2010, ,3.2, ,29.8,21.2,95,54,4.49, 
GOLD COAST SEAWAY,05/02/2010, ,0.4, ,30.9,23.3,88,59,3.66, 
GOLD COAST SEAWAY,06/02/2010, ,1.6, ,30.5,23.9,100,70,5.23, 
GOLD COAST SEAWAY,07/02/2010, ,93.6, ,26.0,21.1,100,83,5.69, 
GOLD COAST SEAWAY,08/02/2010, ,55.0, ,28.9,21.1,96,61,7.64, 
GOLD COAST SEAWAY,09/02/2010, ,8.2, ,27.6,21.8,99,65,6.78, 
GOLD COAST SEAWAY,10/02/2010, ,6.6, ,28.7,21.5,88,64,6.14, 
GOLD COAST SEAWAY,11/02/2010, ,0.0, ,29.7,21.1,98,59,3.90, 
GOLD COAST SEAWAY,12/02/2010, ,0.0, ,30.6,21.2,92,58,4.92, 
GOLD COAST SEAWAY,13/02/2010, ,0.0, ,31.1,21.8,95,50,5.12, 
GOLD COAST SEAWAY,14/02/2010, ,0.0, ,31.8,23.0,90,46,5.33, 
GOLD COAST SEAWAY,15/02/2010, ,0.0, ,31.9,24.5,100,59,5.78, 
GOLD COAST SEAWAY,16/02/2010, ,19.4, ,28.4,23.3,100,81,5.12, 
GOLD COAST SEAWAY,17/02/2010, ,34.0, ,28.5,21.5,100,66,6.65, 
GOLD COAST SEAWAY,18/02/2010, ,0.2, ,30.0,22.6,86,54,8.53, 
GOLD COAST SEAWAY,19/02/2010, ,0.8, ,29.2,21.1,87,57,8.11, 
GOLD COAST SEAWAY,20/02/2010, ,0.4, ,30.2,21.6,85,55,7.06, 
GOLD COAST SEAWAY,21/02/2010, ,4.4, ,30.0,22.0,92,53,4.16, 
GOLD COAST SEAWAY,22/02/2010, ,0.0, ,30.1,20.9,90,58,3.84, 
GOLD COAST SEAWAY,23/02/2010, ,0.0, ,31.3,22.4,93,61,3.45, 
GOLD COAST SEAWAY,24/02/2010, ,0.0, ,27.7,24.6,99,70,8.51, 
GOLD COAST SEAWAY,25/02/2010, ,16.6, ,27.9,22.0,94,60,9.25, 
GOLD COAST SEAWAY,26/02/2010, ,3.6, ,28.4,21.1,92,57,9.02, 
GOLD COAST SEAWAY,27/02/2010, ,4.8, ,27.7,21.0,100,74,7.58, 
GOLD COAST SEAWAY,28/02/2010, ,32.8, ,28.0,21.7,99,76,3.90, 
Totals:,, ,299.8, ,,,,,, 
