'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for March 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/03/2010, ,13.4, ,24.5,22.8,100,87,5.96, 
GOLD COAST SEAWAY,02/03/2010, ,106.8, ,25.6,21.0,100,81,10.62, 
GOLD COAST SEAWAY,03/03/2010, ,13.4, ,27.4,22.1,91,70,11.51, 
GOLD COAST SEAWAY,04/03/2010, ,2.2, ,27.7,23.1,77,55,10.48, 
GOLD COAST SEAWAY,05/03/2010, ,0.0, ,28.0,23.7,93,62,7.63, 
GOLD COAST SEAWAY,06/03/2010, ,4.2, ,26.7,22.9,97,73,7.41, 
GOLD COAST SEAWAY,07/03/2010, ,1.8, ,29.6,24.3,83,58,5.95, 
GOLD COAST SEAWAY,08/03/2010, ,3.4, ,28.1,21.8,99,71,2.69, 
GOLD COAST SEAWAY,09/03/2010, ,0.2, ,32.8,21.7,93,48,4.50, 
GOLD COAST SEAWAY,10/03/2010, ,0.0, ,29.7,22.4,98,68,5.56, 
GOLD COAST SEAWAY,11/03/2010, ,0.0, ,30.5,23.0,99,49,9.51, 
GOLD COAST SEAWAY,12/03/2010, ,19.6, ,27.2,20.0,97,54,13.00, 
GOLD COAST SEAWAY,13/03/2010, ,0.6, ,27.3,20.1,95,53,11.51, 
GOLD COAST SEAWAY,14/03/2010, ,3.2, ,25.4,19.8,88,64,10.20, 
GOLD COAST SEAWAY,15/03/2010, ,5.4, ,26.9,19.2,92,59,7.28, 
GOLD COAST SEAWAY,16/03/2010, ,1.6, ,27.7,19.2,87,52,7.84, 
GOLD COAST SEAWAY,17/03/2010, ,1.0, ,27.3,20.7,87,59,9.53, 
GOLD COAST SEAWAY,18/03/2010, ,0.2, ,27.5,22.4,82,54,9.64, 
GOLD COAST SEAWAY,19/03/2010, ,0.2, ,28.1,22.5,76,52,8.03, 
GOLD COAST SEAWAY,20/03/2010, ,0.2, ,28.3,23.2,89,53,8.22, 
GOLD COAST SEAWAY,21/03/2010, ,3.2, ,29.2,22.9,90,54,5.48, 
GOLD COAST SEAWAY,22/03/2010, ,0.0, ,29.1,20.6,95,55,2.96, 
GOLD COAST SEAWAY,23/03/2010, ,0.0, ,29.1,21.4,93,61,5.36, 
GOLD COAST SEAWAY,24/03/2010, ,0.2, ,28.3,21.6,88,57,6.03, 
GOLD COAST SEAWAY,25/03/2010, ,0.0, ,28.0,19.6,84,60,4.74, 
GOLD COAST SEAWAY,26/03/2010, ,4.0, ,28.0,21.0,97,55,3.60, 
GOLD COAST SEAWAY,27/03/2010, ,0.2, ,28.6,19.3,89,58,3.78, 
GOLD COAST SEAWAY,28/03/2010, ,0.0, ,28.6,21.5,90,56,4.81, 
GOLD COAST SEAWAY,29/03/2010, ,0.0, ,29.6,22.1,86,53,4.05, 
GOLD COAST SEAWAY,30/03/2010, ,0.0, ,27.9,20.5,92,63,3.45, 
GOLD COAST SEAWAY,31/03/2010, ,0.2, ,28.0,20.4,94,58,4.16, 
Totals:,, ,185.2, ,,,,,, 
