'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for June 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/06/2010, ,0.0, ,22.0,12.5,94,55,3.10, 
GOLD COAST SEAWAY,02/06/2010, ,2.0, ,21.0,16.3,97,74,3.40, 
GOLD COAST SEAWAY,03/06/2010, ,0.0, ,22.9,14.9,98,51,3.57, 
GOLD COAST SEAWAY,04/06/2010, ,0.0, ,22.3,11.4,98,46,4.44, 
GOLD COAST SEAWAY,05/06/2010, ,0.0, ,24.9,14.4,82,40,4.02, 
GOLD COAST SEAWAY,06/06/2010, ,0.0, ,22.3,12.9,81,30,3.41, 
GOLD COAST SEAWAY,07/06/2010, ,0.0, ,22.3,10.9,76,48,4.88, 
GOLD COAST SEAWAY,08/06/2010, ,0.0, ,21.8,12.1,91,58,4.63, 
GOLD COAST SEAWAY,09/06/2010, ,0.0, ,23.6,13.2,96,39,4.34, 
GOLD COAST SEAWAY,10/06/2010, ,0.0, ,21.8,11.9,71,29,4.72, 
GOLD COAST SEAWAY,11/06/2010, ,0.0, ,21.1,11.6,83,45,3.19, 
GOLD COAST SEAWAY,12/06/2010, ,0.0, ,20.4,7.3,78,42,3.51, 
GOLD COAST SEAWAY,13/06/2010, ,0.0, ,21.0,11.8,76,48,6.58, 
GOLD COAST SEAWAY,14/06/2010, ,0.2, ,21.4,14.8,85,60,7.99, 
GOLD COAST SEAWAY,15/06/2010, ,0.0, ,22.2,15.1,73,51,7.96, 
GOLD COAST SEAWAY,16/06/2010, ,0.0, ,21.9,14.7,81,46,6.50, 
GOLD COAST SEAWAY,17/06/2010, ,0.0, ,22.9,12.2,84,60,3.02, 
GOLD COAST SEAWAY,18/06/2010, ,2.2, ,20.2,16.1,99,69,2.46, 
GOLD COAST SEAWAY,19/06/2010, ,0.2, ,21.7,14.6,89,50,2.67, 
GOLD COAST SEAWAY,20/06/2010, ,0.0, ,21.7,11.7,91,51,3.85, 
GOLD COAST SEAWAY,21/06/2010, ,0.0, ,22.4,12.9,90,53,5.39, 
GOLD COAST SEAWAY,22/06/2010, ,0.0, ,22.4,14.5,88,56,8.00, 
GOLD COAST SEAWAY,23/06/2010, ,4.8, ,20.4,14.9,99,62,9.39, 
GOLD COAST SEAWAY,24/06/2010, ,2.6, ,21.5,14.6,96,61,6.04, 
GOLD COAST SEAWAY,25/06/2010, ,0.0, ,21.6,12.2,90,58,3.95, 
GOLD COAST SEAWAY,26/06/2010, ,0.0, ,21.1,13.4,98,66,3.53, 
GOLD COAST SEAWAY,27/06/2010, ,0.0, ,20.4,14.6,99,69,2.72, 
GOLD COAST SEAWAY,28/06/2010, ,0.0, ,20.0,10.0,84,55,3.31, 
GOLD COAST SEAWAY,29/06/2010, ,0.0, ,17.9,10.6,89,40,3.56, 
GOLD COAST SEAWAY,30/06/2010, ,0.4, ,20.1,9.8,91,54,3.36, 
Totals:,, ,12.4, ,,,,,, 
