'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for July 2010,,,,,,,,,,
Issued at 04:30 GMT on Sunday 01 August 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/07/2010, ,0.0, ,20.3,12.9,90,52,4.00, 
GOLD COAST SEAWAY,02/07/2010, ,0.0, ,17.6,12.2,99,67,3.84, 
GOLD COAST SEAWAY,03/07/2010, ,8.2, ,19.4,13.7,99,30,3.92, 
GOLD COAST SEAWAY,04/07/2010, ,0.2, ,21.0,7.8,86,49,4.45, 
GOLD COAST SEAWAY,05/07/2010, ,0.0, ,21.3,11.6,91,54,4.72, 
GOLD COAST SEAWAY,06/07/2010, ,0.2, ,21.6,14.1,90,51,3.40, 
GOLD COAST SEAWAY,07/07/2010, ,0.2, ,18.5,12.7,94,44,3.47, 
GOLD COAST SEAWAY,08/07/2010, ,1.4, ,20.9,13.3,97,57,7.47, 
GOLD COAST SEAWAY,09/07/2010, ,0.0, ,21.5,14.7,79,58,9.34, 
GOLD COAST SEAWAY,10/07/2010, ,0.0, ,21.6,14.9,83,60,5.99, 
GOLD COAST SEAWAY,11/07/2010, ,0.0, ,22.1,13.6,90,58,2.71, 
GOLD COAST SEAWAY,12/07/2010, ,0.0, ,23.0,13.2,92,56,3.92, 
GOLD COAST SEAWAY,13/07/2010, ,0.2, ,24.0,13.2,98,53,3.06, 
GOLD COAST SEAWAY,14/07/2010, ,0.0, ,23.5,15.1,93,42,5.37, 
GOLD COAST SEAWAY,15/07/2010, ,0.0, ,22.5,8.9,82,30,4.45, 
GOLD COAST SEAWAY,16/07/2010, ,0.0, ,20.2,9.7,74,40,5.05, 
GOLD COAST SEAWAY,17/07/2010, ,0.0, ,20.5,10.1,84,45,4.81, 
GOLD COAST SEAWAY,18/07/2010, ,0.0, ,21.4,10.2,84,48,3.49, 
GOLD COAST SEAWAY,19/07/2010, ,0.0, ,22.2,11.0,99,57,3.25, 
GOLD COAST SEAWAY,20/07/2010, ,15.8, ,20.1,12.7,99,53,4.45, 
GOLD COAST SEAWAY,21/07/2010, ,0.2, ,19.8,11.6,76,40,4.94, 
GOLD COAST SEAWAY,22/07/2010, ,0.0, ,20.0,9.6,83,40,5.06, 
GOLD COAST SEAWAY,23/07/2010, ,0.0, ,21.0,10.5,77,51,6.71, 
GOLD COAST SEAWAY,24/07/2010, ,0.0, ,21.5,14.2,79,54,6.40, 
GOLD COAST SEAWAY,25/07/2010, ,0.0, ,21.7,14.7,98,56,3.55, 
GOLD COAST SEAWAY,26/07/2010, ,1.6, ,21.8,14.0,99,61,6.14, 
GOLD COAST SEAWAY,27/07/2010, ,0.4, ,22.1,15.3,99,57,7.00, 
GOLD COAST SEAWAY,28/07/2010, ,29.8, ,21.3,15.6,100,74,5.63, 
GOLD COAST SEAWAY,29/07/2010, ,10.2, ,23.1,17.2,100,71,3.61, 
GOLD COAST SEAWAY,30/07/2010, ,0.0, ,24.2,15.4,100,72,3.57, 
GOLD COAST SEAWAY,31/07/2010, ,0.0, ,25.9,18.5,99,59,5.08, 
Totals:,, ,68.4, ,,,,,, 
