'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for August 2010,,,,,,,,,,
Issued at 04:30 GMT on Wednesday 01 September 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/08/2010, ,0.2, ,24.3,14.5,82,33,3.91, 
GOLD COAST SEAWAY,02/08/2010, ,0.0, ,22.2,11.3,76,21,5.20, 
GOLD COAST SEAWAY,03/08/2010, ,0.0, ,22.6,9.6,74,31,5.41, 
GOLD COAST SEAWAY,04/08/2010, ,0.0, ,21.3,9.1,85,33,2.98, 
GOLD COAST SEAWAY,05/08/2010, ,0.0, ,22.2,9.2,99,36,2.75, 
GOLD COAST SEAWAY,06/08/2010, ,0.0, ,21.7,12.2,88,24,3.80, 
GOLD COAST SEAWAY,07/08/2010, ,0.0, ,20.1,8.1,83,35,4.53, 
GOLD COAST SEAWAY,08/08/2010, ,0.0, ,21.6,8.9,83,42,3.33, 
GOLD COAST SEAWAY,09/08/2010, ,0.0, ,24.1,11.4,99,46,4.66, 
GOLD COAST SEAWAY,10/08/2010, ,12.0, ,20.5,16.4,100,69,7.73, 
GOLD COAST SEAWAY,11/08/2010, ,56.2, ,18.7,16.8,100,45,5.97, 
GOLD COAST SEAWAY,12/08/2010, ,0.0, ,20.3,11.6,70,30,7.37, 
GOLD COAST SEAWAY,13/08/2010, ,0.0, ,21.6,11.0,74,31,4.99, 
GOLD COAST SEAWAY,14/08/2010, ,0.0, ,21.6,8.6,90,35,4.44, 
GOLD COAST SEAWAY,15/08/2010, ,0.0, ,23.8,11.1,84,30,5.21, 
GOLD COAST SEAWAY,16/08/2010, ,0.0, ,23.8,11.7,69,28,4.56, 
GOLD COAST SEAWAY,17/08/2010, ,0.0, ,21.2,10.3,83,32,4.72, 
GOLD COAST SEAWAY,18/08/2010, ,0.0, ,23.4,11.4,84,45,3.96, 
GOLD COAST SEAWAY,19/08/2010, ,0.0, ,27.5,14.1,99,44,4.72, 
GOLD COAST SEAWAY,20/08/2010, ,6.2, ,18.0,17.2,100,81,4.33, 
GOLD COAST SEAWAY,21/08/2010, ,2.0, ,20.2,9.6,86,35,3.71, 
GOLD COAST SEAWAY,22/08/2010, ,0.0, ,21.3,8.5,77,43,4.28, 
GOLD COAST SEAWAY,23/08/2010, ,0.0, ,18.5,13.7,99,68,3.11, 
GOLD COAST SEAWAY,24/08/2010, ,6.8, ,21.6,14.5,98,40,5.32, 
GOLD COAST SEAWAY,25/08/2010, ,0.0, ,17.0,13.8,68,48,4.45, 
GOLD COAST SEAWAY,26/08/2010, ,0.0, ,22.0,14.3,71,28,6.77, 
GOLD COAST SEAWAY,27/08/2010, ,0.0, ,23.3,10.1,68,27,5.48, 
GOLD COAST SEAWAY,28/08/2010, ,0.0, ,22.0,9.7,78,28,3.89, 
GOLD COAST SEAWAY,29/08/2010, ,0.0, ,21.9,13.1,78,49,6.06, 
GOLD COAST SEAWAY,30/08/2010, ,0.0, ,21.9,11.5,92,51,4.55, 
GOLD COAST SEAWAY,31/08/2010, ,0.0, ,23.1,12.2,87,51,3.71, 
Totals:,, ,83.4, ,,,,,, 
