'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for October 2010,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 November 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/10/2010, ,0.6, ,22.2,15.9,82,49,7.97, 
GOLD COAST SEAWAY,02/10/2010, ,2.2, ,19.7,15.6,99,62,7.09, 
GOLD COAST SEAWAY,03/10/2010, ,34.6, ,23.0,16.3,100,99,4.39, 
GOLD COAST SEAWAY,04/10/2010, ,118.6, ,25.7,17.3,100,71,2.95, 
GOLD COAST SEAWAY,05/10/2010, ,0.0, ,25.4,17.6,90,68,4.03, 
GOLD COAST SEAWAY,06/10/2010, ,0.0, ,27.0,17.3,92,58,4.99, 
GOLD COAST SEAWAY,07/10/2010, ,0.0, ,29.5,17.1,99,50,4.16, 
GOLD COAST SEAWAY,08/10/2010, ,20.6, ,22.1,19.5,100,79,9.46, 
GOLD COAST SEAWAY,09/10/2010, ,41.4, ,19.8,17.6,99,74,11.63, 
GOLD COAST SEAWAY,10/10/2010, ,24.2, ,20.6,16.1,100,82,13.33, 
GOLD COAST SEAWAY,11/10/2010, ,79.2, ,21.4,15.7,99,75,13.99, 
GOLD COAST SEAWAY,12/10/2010, ,2.6, ,22.8,18.7,90,60,9.71, 
GOLD COAST SEAWAY,13/10/2010, ,0.6, ,24.2,16.8,85,49,5.91, 
GOLD COAST SEAWAY,14/10/2010, ,0.4, ,24.4,15.5,88,58,4.78, 
GOLD COAST SEAWAY,15/10/2010, ,0.0, ,25.0,18.4,100,61,7.33, 
GOLD COAST SEAWAY,16/10/2010, ,18.8, ,22.1,14.9,99,29,8.51, 
GOLD COAST SEAWAY,17/10/2010, ,0.0, ,21.5,9.5,84,28,4.37, 
GOLD COAST SEAWAY,18/10/2010, ,0.0, ,23.4,12.0,87,48,3.43, 
GOLD COAST SEAWAY,19/10/2010, ,0.0, ,24.5,13.1,91,48,3.85, 
GOLD COAST SEAWAY,20/10/2010, ,3.4, ,22.8,16.7,95,59,6.58, 
GOLD COAST SEAWAY,21/10/2010, ,0.0, ,22.7,16.9,84,56,4.24, 
GOLD COAST SEAWAY,22/10/2010, ,0.0, ,24.8,13.9,89,48,3.51, 
GOLD COAST SEAWAY,23/10/2010, ,0.0, ,25.0,15.3,88,57,4.20, 
GOLD COAST SEAWAY,24/10/2010, ,0.0, ,26.1,16.6,99,53,5.06, 
GOLD COAST SEAWAY,25/10/2010, ,27.0, ,24.3,17.5,100,68,4.01, 
GOLD COAST SEAWAY,26/10/2010, ,0.0, ,24.5,17.9,95,68,4.43, 
GOLD COAST SEAWAY,27/10/2010, ,0.0, ,26.1,18.7,92,60,3.37, 
GOLD COAST SEAWAY,28/10/2010, ,0.0, ,25.4,17.6,98,64,4.78, 
GOLD COAST SEAWAY,29/10/2010, ,0.2, ,25.4,17.5,95,58,4.09, 
GOLD COAST SEAWAY,30/10/2010, ,0.0, ,26.4,17.1,92,54,3.37, 
GOLD COAST SEAWAY,31/10/2010, ,0.0, ,25.3,17.2,93,55,3.12, 
Totals:,, ,374.4, ,,,,,, 
