'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for January 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 February 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/01/2011,3.5,0.4, ,28.0,21.8,100,75,8.49,15.14
GOLD COAST SEAWAY,02/01/2011,5.6,10.8, ,29.5,22.8,94,68,4.09,26.72
GOLD COAST SEAWAY,03/01/2011,6.0,0.6, ,29.1,22.8,99,68,5.84,30.76
GOLD COAST SEAWAY,04/01/2011,6.5,0.0, ,30.2,21.9,87,58,7.42,26.43
GOLD COAST SEAWAY,05/01/2011,4.9,0.4, ,28.5,21.9,99,63,4.36,22.53
GOLD COAST SEAWAY,06/01/2011,2.2,29.6, ,25.5,20.3,99,82,5.84,8.78
GOLD COAST SEAWAY,07/01/2011,4.6,37.0, ,26.8,19.2,89,67,7.62,18.98
GOLD COAST SEAWAY,08/01/2011,3.6,0.8, ,27.7,22.6,94,70,0.00,17.50
GOLD COAST SEAWAY,09/01/2011,2.8,1.2, ,26.6,23.0,97,80,0.00,12.97
GOLD COAST SEAWAY,10/01/2011,1.9,22.0, ,26.4,23.5,100,87,3.53,8.36
GOLD COAST SEAWAY,11/01/2011,1.6,14.6, ,27.7,24.3,99,87,9.69,4.53
GOLD COAST SEAWAY,12/01/2011,5.8,6.2, ,29.3,23.8,92,68,7.23,26.95
GOLD COAST SEAWAY,13/01/2011,7.0,0.0, ,28.2,23.8,80,60,8.20,29.98
GOLD COAST SEAWAY,14/01/2011,6.5,1.4, ,28.4,22.6,77,58,7.68,25.11
GOLD COAST SEAWAY,15/01/2011,5.9,0.8, ,28.5,21.4,83,53,5.58,23.07
GOLD COAST SEAWAY,16/01/2011,6.5,0.2, ,29.1,20.3,85,58,6.82,28.25
GOLD COAST SEAWAY,17/01/2011,6.8,0.0, ,29.9,18.3,87,48,3.42,32.54
GOLD COAST SEAWAY,18/01/2011,6.1,0.0, ,30.4,23.1,92,63,4.30,28.64
GOLD COAST SEAWAY,19/01/2011,5.6,0.8, ,30.6,24.4,97,67,4.38,26.25
GOLD COAST SEAWAY,20/01/2011,4.9,13.8, ,27.9,21.5,97,64,7.21,21.59
GOLD COAST SEAWAY,21/01/2011,5.6,16.4, ,27.6,20.8,99,62,8.79,27.82
GOLD COAST SEAWAY,22/01/2011,7.3,1.8, ,28.4,20.4,83,49,7.64,31.58
GOLD COAST SEAWAY,23/01/2011,7.4,0.0, ,28.4,19.5,81,50,7.53,32.47
GOLD COAST SEAWAY,24/01/2011,6.7,0.0, ,28.7,18.4,88,49,4.00,32.69
GOLD COAST SEAWAY,25/01/2011,6.8,0.0, ,29.1,20.9,85,56,5.70,31.68
GOLD COAST SEAWAY,26/01/2011,6.6,0.0, ,29.7,21.7,85,57,3.56,31.74
GOLD COAST SEAWAY,27/01/2011,6.5,0.0, ,29.7,21.6,87,57,3.67,31.31
GOLD COAST SEAWAY,28/01/2011,6.3,0.0, ,29.0,23.7,91,61,7.24,28.00
GOLD COAST SEAWAY,29/01/2011,7.4,2.2, ,29.0,22.6,86,55,10.80,31.21
GOLD COAST SEAWAY,30/01/2011,6.5,0.0, ,28.6,22.8,80,63,7.71,28.30
GOLD COAST SEAWAY,31/01/2011,6.7,0.0, ,30.1,22.9,84,58,4.07,31.25
Totals:,,172.1,161, ,,,,,, 
