'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for April 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 May 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/04/2011,3.6,1.2, ,25.6,20.2,96,64,7.47,13.87
GOLD COAST SEAWAY,02/04/2011,4.6,6.2, ,27.5,18.6,88,56,3.52,22.98
GOLD COAST SEAWAY,03/04/2011,3.5,24.8, ,25.8,18.5,100,63,7.06,14.31
GOLD COAST SEAWAY,04/04/2011,5.5,0.8, ,27.2,19.2,77,49,6.71,20.73
GOLD COAST SEAWAY,05/04/2011,4.0,2.2, ,25.9,18.0,98,62,7.87,17.67
GOLD COAST SEAWAY,06/04/2011,4.8,8.6, ,25.5,17.6,94,52,7.87,21.15
GOLD COAST SEAWAY,07/04/2011,4.4,1.0, ,25.7,17.6,92,62,9.14,19.64
GOLD COAST SEAWAY,08/04/2011,3.4,22.2, ,23.5,18.1,97,65,9.12,14.72
GOLD COAST SEAWAY,09/04/2011,4.7,3.4, ,26.6,17.2,92,55,6.78,21.29
GOLD COAST SEAWAY,10/04/2011,4.2,0.0, ,26.9,16.8,89,58,3.89,21.83
GOLD COAST SEAWAY,11/04/2011,4.5,0.0, ,27.4,18.9,96,44,4.42,18.59
GOLD COAST SEAWAY,12/04/2011,3.4,4.2, ,26.5,17.9,99,62,3.39,17.47
GOLD COAST SEAWAY,13/04/2011,3.9,0.0, ,26.6,17.4,96,57,3.39,20.27
GOLD COAST SEAWAY,14/04/2011,4.4,0.0, ,28.4,17.2,98,49,3.67,21.27
GOLD COAST SEAWAY,15/04/2011,4.2,0.0, ,26.5,17.4,86,57,4.06,20.83
GOLD COAST SEAWAY,16/04/2011,3.3,0.2, ,26.3,20.2,81,63,5.29,9.12
GOLD COAST SEAWAY,17/04/2011,3.1,0.0, ,24.4,18.9,95,65,6.22,12.42
GOLD COAST SEAWAY,18/04/2011,2.3,11.6, ,22.5,18.0,100,74,8.19,9.72
GOLD COAST SEAWAY,19/04/2011,2.8,43.8, ,24.5,18.2,99,70,6.00,12.82
GOLD COAST SEAWAY,20/04/2011,3.5,8.4, ,26.3,19.2,99,67,4.57,19.08
GOLD COAST SEAWAY,21/04/2011,3.6,0.2, ,27.4,19.3,90,62,2.87,19.07
GOLD COAST SEAWAY,22/04/2011,3.3,0.0, ,27.0,19.2,98,63,2.70,17.84
GOLD COAST SEAWAY,23/04/2011,3.8,0.6, ,27.1,18.8,99,63,5.66,18.55
GOLD COAST SEAWAY,24/04/2011,3.8,0.0, ,26.2,18.7,89,57,5.64,14.43
GOLD COAST SEAWAY,25/04/2011,4.5,0.0, ,26.5,19.2,89,53,6.89,16.92
GOLD COAST SEAWAY,26/04/2011,3.2,2.8, ,24.9,18.3,99,65,8.43,12.98
GOLD COAST SEAWAY,27/04/2011,2.9,24.4, ,22.6,17.2,99,68,10.17,13.49
GOLD COAST SEAWAY,28/04/2011,2.7,23.6, ,22.6,16.7,99,70,7.69,14.25
GOLD COAST SEAWAY,29/04/2011,3.4,10.0, ,24.8,17.0,99,64,7.35,16.91
GOLD COAST SEAWAY,30/04/2011,3.7,5.6, ,25.9,17.0,89,59,5.41,17.00
Totals:,,113,205.8, ,,,,,, 
