'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for May 2011,,,,,,,,,,
Issued at 22:35 GMT on Wednesday 01 June 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/05/2011,4.0,0.0, ,26.3,16.3,88,43,3.51,19.03
GOLD COAST SEAWAY,02/05/2011,3.4,0.0, ,24.9,14.2,91,54,3.23,18.64
GOLD COAST SEAWAY,03/05/2011,2.8,0.0, ,25.6,16.8,97,63,3.23,14.02
GOLD COAST SEAWAY,04/05/2011,3.1,4.6, ,24.2,15.0,94,54,3.56,16.19
GOLD COAST SEAWAY,05/05/2011,4.5,0.0, ,24.8,15.3,85,45,6.81,17.36
GOLD COAST SEAWAY,06/05/2011,4.8,0.0, ,24.3,15.9,74,43,6.45,18.06
GOLD COAST SEAWAY,07/05/2011,3.8,0.0, ,23.3,12.7,80,37,3.58,18.60
GOLD COAST SEAWAY,08/05/2011,3.6,0.0, ,24.9,13.5,82,44,3.58,17.15
GOLD COAST SEAWAY,09/05/2011,1.8,2.2, ,19.7,16.3,94,68,2.98,7.62
GOLD COAST SEAWAY,10/05/2011,2.9,1.6, ,21.7,13.9,91,52,3.26,16.67
GOLD COAST SEAWAY,11/05/2011,3.9,3.6, ,22.0,10.6,88,33,4.58,18.14
GOLD COAST SEAWAY,12/05/2011,4.4,0.0, ,21.8,11.3,65,32,5.11,17.80
GOLD COAST SEAWAY,13/05/2011,3.5,0.0, ,22.3,9.9,74,32,3.17,17.83
GOLD COAST SEAWAY,14/05/2011,3.3,0.0, ,22.0,10.4,83,37,3.29,17.65
GOLD COAST SEAWAY,15/05/2011,4.4,0.0, ,22.5,12.7,78,34,5.93,17.24
GOLD COAST SEAWAY,16/05/2011,3.5,0.0, ,23.6,11.9,82,50,4.67,16.50
GOLD COAST SEAWAY,17/05/2011,3.5,0.0, ,23.8,14.0,87,51,4.81,16.72
GOLD COAST SEAWAY,18/05/2011,3.4,0.0, ,24.4,13.7,84,55,5.41,12.49
GOLD COAST SEAWAY,19/05/2011,2.1,0.8, ,21.5,16.2,99,71,6.63,9.76
GOLD COAST SEAWAY,20/05/2011,2.8,18.0, ,21.8,14.9,88,62,5.15,14.74
GOLD COAST SEAWAY,21/05/2011,2.0,3.0, ,22.3,15.5,100,72,3.41,11.58
GOLD COAST SEAWAY,22/05/2011,1.8,7.8, ,22.1,17.2,100,77,2.86,10.72
GOLD COAST SEAWAY,23/05/2011,2.2,7.2, ,22.5,17.0,100,65,4.22,10.12
GOLD COAST SEAWAY,24/05/2011,3.4,5.4, ,23.0,14.0,99,39,4.49,16.13
GOLD COAST SEAWAY,25/05/2011,3.8,0.2, ,20.3,11.8,72,41,5.84,15.89
GOLD COAST SEAWAY,26/05/2011,3.6,0.0, ,22.1,12.1,76,39,4.31,16.13
GOLD COAST SEAWAY,27/05/2011,3.0,0.0, ,22.7,10.0,87,44,3.37,15.98
GOLD COAST SEAWAY,28/05/2011,3.0,0.0, ,22.5,12.5,91,58,5.75,15.01
GOLD COAST SEAWAY,29/05/2011,2.5,0.6, ,23.2,13.7,96,61,4.21,13.35
GOLD COAST SEAWAY,30/05/2011,2.1,3.4, ,19.7,14.2,98,65,3.87,14.19
GOLD COAST SEAWAY,31/05/2011,2.7,7.0, ,21.1,10.9,95,57,5.31,13.88
Totals:,,99.6,65.4, ,,,,,, 
