'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for June 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 July 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/06/2011,2.0,1.4, ,20.4,11.6,91,67,3.31,12.89
GOLD COAST SEAWAY,02/06/2011,3.5,0.6, ,23.4,14.4,87,54,6.67,14.96
GOLD COAST SEAWAY,03/06/2011,2.6,0.0, ,23.1,12.8,92,50,2.90,15.37
GOLD COAST SEAWAY,04/06/2011,3.2,0.0, ,24.3,11.3,95,37,3.40,15.72
GOLD COAST SEAWAY,05/06/2011,2.7,0.0, ,23.0,11.8,92,42,3.28,12.32
GOLD COAST SEAWAY,06/06/2011,2.9,0.0, ,25.4,11.6,97,46,3.11,15.02
GOLD COAST SEAWAY,07/06/2011,1.7,0.0, ,20.5,15.1,88,69,2.64,7.50
GOLD COAST SEAWAY,08/06/2011,2.5,0.0, ,18.5,13.6,86,40,3.51,9.66
GOLD COAST SEAWAY,09/06/2011,3.1,0.0, ,14.5,13.1,60,31,4.64,7.27
GOLD COAST SEAWAY,10/06/2011,2.9,0.0, ,19.2,7.3,78,33,3.56,15.36
GOLD COAST SEAWAY,11/06/2011,2.0,0.0, ,18.5,10.6,99,57,4.72,7.20
GOLD COAST SEAWAY,12/06/2011,1.8,10.2, ,19.9,14.6,100,68,4.35,10.10
GOLD COAST SEAWAY,13/06/2011,2.7,2.8, ,21.3,13.8,83,58,4.73,11.75
GOLD COAST SEAWAY,14/06/2011,3.0,0.0, ,20.7,12.4,87,52,6.12,13.89
GOLD COAST SEAWAY,15/06/2011,2.6,0.0, ,20.3,11.2,89,50,3.98,14.54
GOLD COAST SEAWAY,16/06/2011,2.3,0.0, ,21.5,10.4,93,51,3.08,12.51
GOLD COAST SEAWAY,17/06/2011,3.3,0.0, ,22.1,11.3,91,38,4.63,14.94
GOLD COAST SEAWAY,18/06/2011,3.4,0.0, ,21.1,10.1,66,28,3.63,15.12
GOLD COAST SEAWAY,19/06/2011,2.7,0.0, ,20.4,8.4,79,40,3.26,15.01
GOLD COAST SEAWAY,20/06/2011,2.9,0.0, ,21.1,8.4,90,38,3.59,15.00
GOLD COAST SEAWAY,21/06/2011,3.3,0.0, ,22.3,10.0,89,40,4.85,14.94
GOLD COAST SEAWAY,22/06/2011,4.0,0.0, ,20.2,11.7,70,21,4.92,15.28
GOLD COAST SEAWAY,23/06/2011,2.9,0.0, ,19.4,8.2,76,29,3.19,15.22
GOLD COAST SEAWAY,24/06/2011,3.0,0.0, ,22.2,10.6,87,47,4.64,12.04
GOLD COAST SEAWAY,25/06/2011,3.5,0.0, ,22.2,15.0,80,53,6.61,14.44
GOLD COAST SEAWAY,26/06/2011,2.7,0.0, ,22.7,14.7,92,56,4.41,14.48
GOLD COAST SEAWAY,27/06/2011,2.7,0.0, ,22.6,11.4,94,46,3.42,14.29
GOLD COAST SEAWAY,28/06/2011,3.2,0.0, ,22.7,12.7,90,53,6.56,12.55
GOLD COAST SEAWAY,29/06/2011,2.5,2.2, ,20.0,14.2,99,63,10.07,9.63
GOLD COAST SEAWAY,30/06/2011,3.3,3.2, ,20.3,14.0,88,58,9.86,13.05
Totals:,,84.9,20.4, ,,,,,, 
