'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for November 2011,,,,,,,,,,
Issued at 22:35 GMT on Thursday 01 December 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/11/2011,5.0,0.0, ,24.7,17.5,80,54,5.37,21.66
GOLD COAST SEAWAY,02/11/2011,6.1,0.0, ,28.7,17.9,89,48,5.01,27.08
GOLD COAST SEAWAY,03/11/2011,5.3,0.0, ,25.9,18.5,93,63,5.55,28.56
GOLD COAST SEAWAY,04/11/2011,6.1,0.0, ,25.6,20.9,78,59,7.42,28.14
GOLD COAST SEAWAY,05/11/2011,5.8,0.0, ,26.1,20.6,74,49,4.57,24.50
GOLD COAST SEAWAY,06/11/2011,6.2,0.0, ,26.4,16.6,86,48,5.32,30.53
GOLD COAST SEAWAY,07/11/2011,6.3,0.0, ,26.8,17.9,82,52,5.34,30.80
GOLD COAST SEAWAY,08/11/2011,6.3,0.0, ,26.9,17.8,87,51,5.22,30.95
GOLD COAST SEAWAY,09/11/2011,6.4,0.0, ,27.6,18.7,91,51,5.61,31.05
GOLD COAST SEAWAY,10/11/2011,6.9,0.0, ,28.7,20.4,90,45,5.80,30.81
GOLD COAST SEAWAY,11/11/2011,5.3,0.0, ,27.1,20.9,89,70,4.49,27.65
GOLD COAST SEAWAY,12/11/2011,6.0,1.0, ,28.1,21.2,98,56,3.69,30.58
GOLD COAST SEAWAY,13/11/2011,5.3,0.0, ,27.1,19.7,89,60,5.04,24.77
GOLD COAST SEAWAY,14/11/2011,6.7,0.0, ,28.4,21.3,94,50,6.28,31.09
GOLD COAST SEAWAY,15/11/2011,7.1,0.2, ,31.5,21.7,98,46,4.87,31.38
GOLD COAST SEAWAY,16/11/2011,6.0,0.0, ,28.0,21.8,98,62,4.80,31.39
GOLD COAST SEAWAY,17/11/2011,5.1,0.0, ,28.1,21.1,91,61,3.13,24.32
GOLD COAST SEAWAY,18/11/2011,5.6,0.0, ,28.2,20.2,92,58,4.02,26.87
GOLD COAST SEAWAY,19/11/2011,6.4,0.0, ,28.2,19.7,90,53,4.29,31.48
GOLD COAST SEAWAY,20/11/2011,7.4,0.0, ,29.1,20.0,85,44,5.86,32.02
GOLD COAST SEAWAY,21/11/2011,6.5,0.0, ,28.1,21.5,84,59,5.34,31.48
GOLD COAST SEAWAY,22/11/2011,5.8,0.0, ,28.3,19.3,90,59,4.90,27.53
GOLD COAST SEAWAY,23/11/2011,5.3,0.0, ,28.9,22.1,99,60,5.58,23.43
GOLD COAST SEAWAY,24/11/2011,2.8,22.4, ,23.4,20.0,100,84,2.32,14.75
GOLD COAST SEAWAY,25/11/2011,4.8,2.4, ,27.5,20.7,100,71,2.80,25.14
GOLD COAST SEAWAY,26/11/2011,5.0,0.2, ,28.0,21.7,100,62,5.34,23.14
GOLD COAST SEAWAY,27/11/2011,6.6,9.0, ,30.4,21.8,100,57,4.47,31.94
GOLD COAST SEAWAY,28/11/2011,5.7,0.0, ,27.3,20.4,100,69,3.00,31.69
GOLD COAST SEAWAY,29/11/2011,6.1,0.8, ,29.0,21.2,100,65,2.83,31.94
GOLD COAST SEAWAY,30/11/2011,5.4,0.0, ,27.5,21.1,94,59,2.80,27.03
Totals:,,175.3,36, ,,,,,, 
