'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for January 2012,,,,,,,,,,
Issued at 22:33 GMT on Wednesday 01 February 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/01/2012,7.4,0.4, ,27.5,18.6,73,45,7.19,30.45
GOLD COAST SEAWAY,02/01/2012,7.2,0.0, ,27.3,18.8,75,47,6.42,31.83
GOLD COAST SEAWAY,03/01/2012,6.4,0.6, ,27.5,19.0,86,47,5.03,28.93
GOLD COAST SEAWAY,04/01/2012,6.9,0.0, ,28.6,18.9,80,47,4.67,31.69
GOLD COAST SEAWAY,05/01/2012,5.6,0.0, ,27.6,21.7,81,54,3.64,24.91
GOLD COAST SEAWAY,06/01/2012,6.6,0.0, ,29.1,19.7,81,50,4.31,29.88
GOLD COAST SEAWAY,07/01/2012,5.0,0.0, ,29.2,21.5,91,57,5.61,17.95
GOLD COAST SEAWAY,08/01/2012,6.8,0.0, ,29.6,22.7,82,55,6.07,28.19
GOLD COAST SEAWAY,09/01/2012,6.6,0.0, ,31.4,23.8,94,58,5.66,28.88
GOLD COAST SEAWAY,10/01/2012,6.3,0.0, ,29.6,24.6,99,60,6.76,29.10
GOLD COAST SEAWAY,11/01/2012,7.7,0.0, ,32.1,22.4,89,26,4.23,28.66
GOLD COAST SEAWAY,12/01/2012,8.7,0.0, ,27.7,22.2,73,29,9.39,27.75
GOLD COAST SEAWAY,13/01/2012,5.9,0.0, ,27.5,20.5,71,49,5.02,21.10
GOLD COAST SEAWAY,14/01/2012,4.9,0.0, ,28.3,19.9,76,54,3.73,18.25
GOLD COAST SEAWAY,15/01/2012,3.9,0.2, ,26.1,19.5,95,57,7.06,11.06
GOLD COAST SEAWAY,16/01/2012,3.7,23.0, ,25.1,20.0,100,62,12.29,9.67
GOLD COAST SEAWAY,17/01/2012,1.8,37.0, ,27.4,20.3,100,82,9.20,3.94
GOLD COAST SEAWAY,18/01/2012,4.7,15.6, ,28.7,19.6,100,69,5.56,23.10
GOLD COAST SEAWAY,19/01/2012,5.8,0.2, ,29.1,20.2,99,65,6.94,28.84
GOLD COAST SEAWAY,20/01/2012,6.0,0.0, ,29.6,22.1,85,62,8.21,23.02
GOLD COAST SEAWAY,21/01/2012,6.9,0.0, ,29.9,21.2,80,55,7.87,26.36
GOLD COAST SEAWAY,22/01/2012,6.5,0.0, ,30.1,22.3,96,54,8.93,25.36
GOLD COAST SEAWAY,23/01/2012,3.2,6.2, ,26.9,21.9,99,74,8.82,12.22
GOLD COAST SEAWAY,24/01/2012,1.7,47.2, ,24.1,21.5,100,80,10.20,3.24
GOLD COAST SEAWAY,25/01/2012,1.4,178.2, ,25.2,21.5,100,86,6.09,4.30
GOLD COAST SEAWAY,26/01/2012,4.0,38.0, ,27.9,22.0,100,80,4.83,20.96
GOLD COAST SEAWAY,27/01/2012,1.5,32.0, ,24.7,22.3,100,85,8.61,4.04
GOLD COAST SEAWAY,28/01/2012,2.1,12.4, ,25.0,22.2,99,79,8.41,5.90
GOLD COAST SEAWAY,29/01/2012,2.2,5.6, ,26.0,22.2,95,82,6.98,7.33
GOLD COAST SEAWAY,30/01/2012,3.6,3.2, ,28.2,22.1,97,71,7.92,12.76
GOLD COAST SEAWAY,31/01/2012,4.6,0.0, ,29.8,22.5,97,66,4.50,20.05
Totals:,,155.6,399.8, ,,,,,, 
