'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for March 2012,,,,,,,,,,
Issued at 22:33 GMT on Sunday 01 April 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/03/2012,6.9,0.0, ,31.5,22.6,91,44,5.81,26.50
GOLD COAST SEAWAY,02/03/2012,7.2,0.0, ,32.2,21.4,85,41,5.94,26.07
GOLD COAST SEAWAY,03/03/2012,2.6,35.4, ,27.2,22.5,100,78,8.83,9.20
GOLD COAST SEAWAY,04/03/2012,4.1,5.8, ,29.2,23.3,99,66,6.29,16.18
GOLD COAST SEAWAY,05/03/2012,1.6,6.4, ,26.2,22.8,100,86,5.91,5.67
GOLD COAST SEAWAY,06/03/2012,4.1,6.0, ,25.5,21.7,99,60,10.16,14.42
GOLD COAST SEAWAY,07/03/2012,5.8,4.6, ,28.3,19.4,87,56,8.68,22.76
GOLD COAST SEAWAY,08/03/2012,4.6,0.0, ,26.8,18.9,88,61,3.76,22.53
GOLD COAST SEAWAY,09/03/2012,5.3,0.0, ,28.8,19.3,89,49,3.03,25.47
GOLD COAST SEAWAY,10/03/2012,5.3,0.0, ,28.7,18.0,86,54,3.89,24.70
GOLD COAST SEAWAY,11/03/2012,5.3,0.0, ,29.4,21.8,84,52,5.97,17.58
GOLD COAST SEAWAY,12/03/2012,4.8,0.6, ,27.6,20.3,83,57,6.37,16.51
GOLD COAST SEAWAY,13/03/2012,6.0,0.2, ,28.4,20.2,80,51,7.02,22.55
GOLD COAST SEAWAY,14/03/2012,3.5,2.8, ,25.9,20.8,89,63,7.40,8.50
GOLD COAST SEAWAY,15/03/2012,2.8,3.4, ,26.2,21.6,97,73,5.63,10.72
GOLD COAST SEAWAY,16/03/2012,4.8,2.2, ,28.9,21.6,96,64,5.66,22.20
GOLD COAST SEAWAY,17/03/2012,2.5,6.8, ,27.3,22.1,99,77,4.28,10.23
GOLD COAST SEAWAY,18/03/2012,4.2,8.8, ,26.3,21.5,94,60,10.04,12.51
GOLD COAST SEAWAY,19/03/2012,4.3,0.2, ,26.9,20.4,94,62,8.58,15.72
GOLD COAST SEAWAY,20/03/2012,4.7,9.0, ,26.8,21.2,94,64,10.60,20.25
GOLD COAST SEAWAY,21/03/2012,4.4,0.0, ,28.2,19.9,88,64,4.90,19.36
GOLD COAST SEAWAY,22/03/2012,2.4,0.0, ,25.7,22.0,99,70,7.63,5.37
GOLD COAST SEAWAY,23/03/2012,3.6,23.2, ,28.3,19.9,99,69,4.99,16.21
GOLD COAST SEAWAY,24/03/2012,4.7,0.0, ,27.8,19.4,99,57,6.56,20.85
GOLD COAST SEAWAY,25/03/2012,5.9,0.0, ,27.7,20.6,73,49,8.59,15.84
GOLD COAST SEAWAY,26/03/2012,5.7,0.0, ,26.7,22.0,83,48,8.49,18.59
GOLD COAST SEAWAY,27/03/2012,5.2,0.0, ,27.5,18.2,86,52,7.50,18.87
GOLD COAST SEAWAY,28/03/2012,5.1,1.6, ,27.4,18.5,90,54,7.16,20.59
GOLD COAST SEAWAY,29/03/2012,4.6,0.4, ,27.1,18.8,85,59,5.87,18.68
GOLD COAST SEAWAY,30/03/2012,4.2,3.8, ,26.8,19.3,90,64,6.00,18.13
GOLD COAST SEAWAY,31/03/2012,5.0,0.0, ,28.2,19.7,84,52,6.33,16.95
Totals:,,141.2,121.2, ,,,,,, 
