'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for April 2012,,,,,,,,,,
Issued at 22:38 GMT on Tuesday 01 May 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/04/2012,5.5,0.0, ,28.8,19.0,82,44,5.68,19.72
GOLD COAST SEAWAY,02/04/2012,5.3,0.0, ,28.6,20.4,81,53,6.18,19.64
GOLD COAST SEAWAY,03/04/2012,5.8,0.0, ,29.4,18.7,81,43,5.78,20.89
GOLD COAST SEAWAY,04/04/2012,5.1,0.0, ,28.2,19.3,83,54,6.03,20.16
GOLD COAST SEAWAY,05/04/2012,5.1,0.0, ,27.6,19.5,84,52,5.91,20.30
GOLD COAST SEAWAY,06/04/2012,5.0,0.0, ,27.5,18.9,78,50,5.82,17.71
GOLD COAST SEAWAY,07/04/2012,4.3,0.0, ,27.2,17.2,83,49,3.34,20.00
GOLD COAST SEAWAY,08/04/2012,4.4,0.0, ,28.2,18.0,89,52,4.21,18.98
GOLD COAST SEAWAY,09/04/2012,5.2,0.0, ,30.2,18.5,83,46,4.63,19.45
GOLD COAST SEAWAY,10/04/2012,5.6,0.0, ,26.5,19.4,89,48,9.93,19.53
GOLD COAST SEAWAY,11/04/2012,5.2,0.0, ,24.5,16.5,77,49,9.77,15.66
GOLD COAST SEAWAY,12/04/2012,4.9,0.0, ,25.2,16.3,82,50,8.82,15.23
GOLD COAST SEAWAY,13/04/2012,3.9,14.4, ,25.1,16.9,95,58,7.41,15.91
GOLD COAST SEAWAY,14/04/2012,3.3,9.2, ,25.2,18.3,99,64,5.78,14.54
GOLD COAST SEAWAY,15/04/2012,2.4,21.0, ,24.6,19.2,100,79,4.25,13.00
GOLD COAST SEAWAY,16/04/2012,2.5,10.0, ,24.7,18.9,99,72,3.55,12.34
GOLD COAST SEAWAY,17/04/2012,2.5,25.4, ,24.8,18.7,99,69,5.08,9.51
GOLD COAST SEAWAY,18/04/2012,3.2,4.8, ,25.5,17.6,99,66,5.86,15.21
GOLD COAST SEAWAY,19/04/2012,3.1,6.8, ,25.7,17.5,99,68,2.86,18.17
GOLD COAST SEAWAY,20/04/2012,2.4,5.8, ,25.5,19.8,99,77,5.78,11.21
GOLD COAST SEAWAY,21/04/2012,3.1,4.2, ,25.8,19.8,100,73,3.48,17.87
GOLD COAST SEAWAY,22/04/2012,2.8,0.0, ,26.3,17.8,99,65,2.55,15.03
GOLD COAST SEAWAY,23/04/2012,3.3,0.0, ,27.7,19.1,99,62,3.44,15.73
GOLD COAST SEAWAY,24/04/2012,1.7,0.0, ,24.8,21.2,97,76,2.91,5.89
GOLD COAST SEAWAY,25/04/2012,3.3,0.0, ,23.7,19.3,86,34,3.93,7.41
GOLD COAST SEAWAY,26/04/2012,3.8,0.0, ,23.2,10.6,77,35,3.41,18.08
GOLD COAST SEAWAY,27/04/2012,1.7,2.2, ,21.3,16.3,100,69,4.44,4.93
GOLD COAST SEAWAY,28/04/2012,0.9,31.0, ,22.2,17.3,100,92,8.42,2.76
GOLD COAST SEAWAY,29/04/2012,2.9,183.4, ,24.4,17.2,100,65,7.12,11.41
GOLD COAST SEAWAY,30/04/2012,4.2,0.0, ,24.5,18.0,90,55,8.64,16.59
Totals:,,112.4,318.2, ,,,,,, 
