'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for May 2012,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 June 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/05/2012,3.1,1.8, ,24.0,16.4,99,62,6.85,13.99
GOLD COAST SEAWAY,02/05/2012,3.1,2.0, ,24.6,17.1,98,60,4.65,15.93
GOLD COAST SEAWAY,03/05/2012,2.9,1.0, ,25.2,16.8,99,62,3.94,14.87
GOLD COAST SEAWAY,04/05/2012,2.7,40.8, ,24.2,16.8,99,65,4.44,12.86
GOLD COAST SEAWAY,05/05/2012,2.9,0.0, ,23.3,14.9,92,52,2.90,15.99
GOLD COAST SEAWAY,06/05/2012,3.1,0.0, ,24.4,14.9,95,49,2.88,16.42
GOLD COAST SEAWAY,07/05/2012,3.4,0.0, ,25.1,14.7,86,45,3.23,15.81
GOLD COAST SEAWAY,08/05/2012,3.1,0.0, ,23.5,14.2,86,51,3.46,15.21
GOLD COAST SEAWAY,09/05/2012,3.0,0.0, ,24.4,14.4,89,48,2.99,15.07
GOLD COAST SEAWAY,10/05/2012,3.1,0.0, ,25.8,15.3,90,53,3.29,14.89
GOLD COAST SEAWAY,11/05/2012,3.4,0.0, ,25.6,15.8,92,44,3.76,14.83
GOLD COAST SEAWAY,12/05/2012,3.9,0.0, ,26.8,15.0,91,37,4.13,14.70
GOLD COAST SEAWAY,13/05/2012,5.3,0.0, ,27.0,15.6,83,20,5.44,14.60
GOLD COAST SEAWAY,14/05/2012,3.6,0.0, ,21.6,10.7,68,35,4.10,14.49
GOLD COAST SEAWAY,15/05/2012,3.8,0.0, ,22.9,11.3,72,42,4.90,14.37
GOLD COAST SEAWAY,16/05/2012,3.9,0.0, ,23.3,12.0,83,39,5.37,14.23
GOLD COAST SEAWAY,17/05/2012,3.2,0.0, ,23.7,13.1,91,54,4.98,14.01
GOLD COAST SEAWAY,18/05/2012,3.2,4.4, ,23.4,14.4,90,49,4.67,14.02
GOLD COAST SEAWAY,19/05/2012,3.2,0.0, ,23.5,13.6,85,43,3.76,13.98
GOLD COAST SEAWAY,20/05/2012,3.2,0.0, ,23.9,14.4,85,47,3.83,13.82
GOLD COAST SEAWAY,21/05/2012,3.1,0.0, ,23.9,14.7,81,56,4.60,13.17
GOLD COAST SEAWAY,22/05/2012,3.0,0.0, ,25.1,14.9,87,49,3.17,13.57
GOLD COAST SEAWAY,23/05/2012,2.6,0.0, ,24.3,15.0,91,55,3.41,11.17
GOLD COAST SEAWAY,24/05/2012,3.2,0.0, ,24.9,16.4,86,57,5.55,11.32
GOLD COAST SEAWAY,25/05/2012,1.7,4.6, ,19.8,18.3,99,63,4.44,3.16
GOLD COAST SEAWAY,26/05/2012,3.3,8.2, ,21.0,11.4,96,32,4.92,12.70
GOLD COAST SEAWAY,27/05/2012,2.9,0.0, ,21.9,8.3,86,49,4.12,13.07
GOLD COAST SEAWAY,28/05/2012,3.5,0.0, ,21.9,12.2,79,50,6.41,12.85
GOLD COAST SEAWAY,29/05/2012,3.4,0.0, ,22.8,15.5,87,59,8.32,12.32
GOLD COAST SEAWAY,30/05/2012,3.1,0.8, ,22.5,15.7,89,63,8.39,12.55
GOLD COAST SEAWAY,31/05/2012,1.9,10.6, ,19.7,16.2,99,73,8.75,7.45
Totals:,,98.8,74.2, ,,,,,, 
