'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for July 2012,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 August 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/07/2012,2.8,0.0, ,23.0,11.3,97,38,3.31,12.49
GOLD COAST SEAWAY,02/07/2012,3.3,0.0, ,20.5,11.0,57,28,3.40,12.76
GOLD COAST SEAWAY,03/07/2012,2.5,0.0, ,18.4,8.0,80,37,2.98,12.75
GOLD COAST SEAWAY,04/07/2012,2.7,0.0, ,19.6,8.2,83,37,3.45,12.85
GOLD COAST SEAWAY,05/07/2012,3.1,0.0, ,20.8,9.2,87,47,5.70,12.79
GOLD COAST SEAWAY,06/07/2012,3.0,0.0, ,19.4,12.7,89,54,7.79,12.00
GOLD COAST SEAWAY,07/07/2012,2.9,1.0, ,20.7,12.4,89,56,6.16,12.82
GOLD COAST SEAWAY,08/07/2012,3.3,0.0, ,21.5,12.4,81,50,5.85,13.06
GOLD COAST SEAWAY,09/07/2012,2.8,0.0, ,21.9,12.0,88,57,5.42,11.47
GOLD COAST SEAWAY,10/07/2012,2.8,2.6, ,20.2,15.1,83,59,7.76,5.19
GOLD COAST SEAWAY,11/07/2012,1.4,10.2, ,21.7,15.8,100,78,3.00,6.71
GOLD COAST SEAWAY,12/07/2012,1.0,5.6, ,21.1,16.4,100,92,3.59,6.82
GOLD COAST SEAWAY,13/07/2012,1.4,24.4, ,23.2,18.4,100,80,4.44,5.65
GOLD COAST SEAWAY,14/07/2012,2.1,23.6, ,23.3,17.6,100,60,3.40,9.48
GOLD COAST SEAWAY,15/07/2012,3.0,0.6, ,20.9,15.7,79,32,3.59,8.95
GOLD COAST SEAWAY,16/07/2012,3.2,0.0, ,21.3,8.8,81,50,5.56,13.63
GOLD COAST SEAWAY,17/07/2012,2.3,0.6, ,20.2,14.5,96,63,5.50,10.44
GOLD COAST SEAWAY,18/07/2012,1.8,1.2, ,21.7,14.2,99,69,3.20,9.94
GOLD COAST SEAWAY,19/07/2012,2.8,7.0, ,21.2,14.0,99,47,4.73,13.22
GOLD COAST SEAWAY,20/07/2012,3.8,0.0, ,21.2,12.5,63,44,5.24,13.68
GOLD COAST SEAWAY,21/07/2012,3.7,0.0, ,20.8,13.8,75,52,7.63,12.41
GOLD COAST SEAWAY,22/07/2012,3.9,0.0, ,20.7,14.0,72,48,7.12,12.28
GOLD COAST SEAWAY,23/07/2012,3.7,0.0, ,20.6,13.4,75,47,6.63,14.19
GOLD COAST SEAWAY,24/07/2012,3.6,0.0, ,21.3,12.6,76,47,5.97,12.23
GOLD COAST SEAWAY,25/07/2012,2.8,0.0, ,21.2,12.3,87,57,5.41,11.71
GOLD COAST SEAWAY,26/07/2012,2.4,0.0, ,21.7,13.2,90,57,3.14,12.24
GOLD COAST SEAWAY,27/07/2012,3.4,0.0, ,22.8,10.8,90,39,4.27,13.98
GOLD COAST SEAWAY,28/07/2012,3.8,0.0, ,20.5,12.0,66,31,4.27,14.82
GOLD COAST SEAWAY,29/07/2012,3.1,0.0, ,20.5,9.0,74,38,3.31,14.88
GOLD COAST SEAWAY,30/07/2012,3.2,0.0, ,20.3,9.2,81,41,3.98,15.06
GOLD COAST SEAWAY,31/07/2012,3.9,0.0, ,20.2,11.0,75,40,6.03,14.77
Totals:,,89.5,76.8, ,,,,,, 
