'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for September 2012,,,,,,,,,,
Issued at 22:38 GMT on Monday 01 October 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/09/2012,4.7,0.0, ,21.0,8.5,67,29,5.06,19.74
GOLD COAST SEAWAY,02/09/2012,4.5,0.0, ,21.6,8.9,80,34,5.19,19.88
GOLD COAST SEAWAY,03/09/2012,4.6,0.0, ,24.1,11.0,83,34,4.32,20.28
GOLD COAST SEAWAY,04/09/2012,4.3,0.0, ,24.1,11.7,84,41,4.02,20.08
GOLD COAST SEAWAY,05/09/2012,4.4,0.0, ,23.9,12.7,94,40,4.76,20.07
GOLD COAST SEAWAY,06/09/2012,5.5,0.0, ,25.6,15.3,80,38,6.44,20.80
GOLD COAST SEAWAY,07/09/2012,5.8,0.0, ,26.1,16.9,85,25,5.72,20.76
GOLD COAST SEAWAY,08/09/2012,5.5,0.0, ,23.5,15.5,69,20,4.66,20.67
GOLD COAST SEAWAY,09/09/2012,4.8,0.0, ,23.6,12.4,76,44,5.60,21.04
GOLD COAST SEAWAY,10/09/2012,4.0,1.0, ,23.6,13.4,84,53,4.44,19.72
GOLD COAST SEAWAY,11/09/2012,3.7,0.0, ,24.7,13.6,93,54,3.33,19.26
GOLD COAST SEAWAY,12/09/2012,4.1,0.0, ,25.0,13.3,92,50,3.26,21.44
GOLD COAST SEAWAY,13/09/2012,5.3,0.0, ,25.6,14.1,97,36,6.14,21.54
GOLD COAST SEAWAY,14/09/2012,5.6,0.0, ,22.2,14.2,73,37,7.67,21.83
GOLD COAST SEAWAY,15/09/2012,5.0,0.0, ,22.8,12.3,76,42,5.88,22.05
GOLD COAST SEAWAY,16/09/2012,4.5,0.0, ,23.5,12.3,84,42,4.37,21.30
GOLD COAST SEAWAY,17/09/2012,3.8,0.0, ,23.3,13.7,91,56,4.17,18.90
GOLD COAST SEAWAY,18/09/2012,2.6,7.8, ,21.4,14.5,96,66,4.06,12.41
GOLD COAST SEAWAY,19/09/2012,4.6,3.8, ,26.0,13.2,98,43,4.42,20.90
GOLD COAST SEAWAY,20/09/2012,3.8,0.0, ,24.0,14.7,100,63,2.99,23.18
GOLD COAST SEAWAY,21/09/2012,3.1,0.0, ,24.7,14.8,99,58,4.03,12.11
GOLD COAST SEAWAY,22/09/2012,4.4,0.6, ,24.9,17.6,87,59,4.39,22.20
GOLD COAST SEAWAY,23/09/2012,4.0,0.0, ,25.0,17.3,99,65,3.29,23.24
GOLD COAST SEAWAY,24/09/2012,5.2,0.0, ,30.8,16.8,100,42,4.20,19.89
GOLD COAST SEAWAY,25/09/2012,5.2,2.2, ,24.9,17.3,91,52,9.60,21.20
GOLD COAST SEAWAY,26/09/2012,5.6,0.0, ,24.2,17.8,69,40,5.71,21.48
GOLD COAST SEAWAY,27/09/2012,4.9,0.0, ,25.4,15.1,81,48,4.02,23.11
GOLD COAST SEAWAY,28/09/2012,4.9,0.0, ,25.2,15.5,87,48,6.08,20.29
GOLD COAST SEAWAY,29/09/2012,5.8,0.0, ,26.3,17.0,76,44,6.50,20.92
GOLD COAST SEAWAY,30/09/2012,2.7,5.0, ,22.6,18.1,99,67,4.68,11.45
Totals:,,136.9,20.4, ,,,,,, 
