'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for November 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 December 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/11/2012,6.0,0.0, ,27.0,17.3,98,51,5.77,29.98
GOLD COAST SEAWAY,02/11/2012,6.6,0.0, ,27.1,20.6,94,51,10.74,29.74
GOLD COAST SEAWAY,03/11/2012,6.5,0.0, ,25.9,19.2,75,50,7.65,27.06
GOLD COAST SEAWAY,04/11/2012,6.0,0.2, ,24.9,19.6,73,47,5.03,26.02
GOLD COAST SEAWAY,05/11/2012,6.1,0.0, ,26.9,18.1,82,52,4.00,30.46
GOLD COAST SEAWAY,06/11/2012,5.9,0.0, ,25.9,17.3,85,50,3.92,30.36
GOLD COAST SEAWAY,07/11/2012,6.2,0.0, ,28.2,19.3,85,48,4.96,26.78
GOLD COAST SEAWAY,08/11/2012,4.8,7.0, ,26.4,20.5,99,67,6.91,25.01
GOLD COAST SEAWAY,09/11/2012,4.9,1.6, ,26.7,20.9,99,63,6.07,24.25
GOLD COAST SEAWAY,10/11/2012,3.2,5.8, ,22.3,20.2,100,69,3.58,15.91
GOLD COAST SEAWAY,11/11/2012,5.9,16.4, ,24.7,16.8,99,49,10.98,28.11
GOLD COAST SEAWAY,12/11/2012,6.5,0.0, ,26.0,16.4,76,47,6.73,28.35
GOLD COAST SEAWAY,13/11/2012,6.5,0.0, ,25.8,15.2,83,42,5.32,31.51
GOLD COAST SEAWAY,14/11/2012,6.7,0.0, ,27.2,17.7,84,46,5.64,31.55
GOLD COAST SEAWAY,15/11/2012,6.7,0.0, ,27.8,18.8,92,48,6.15,31.40
GOLD COAST SEAWAY,16/11/2012,7.3,0.0, ,28.8,20.2,93,43,7.13,31.20
GOLD COAST SEAWAY,17/11/2012,4.0,0.0, ,26.4,21.3,100,74,5.08,20.67
GOLD COAST SEAWAY,18/11/2012,4.4,14.0, ,26.2,18.6,99,73,3.89,24.16
GOLD COAST SEAWAY,19/11/2012,6.2,2.0, ,28.1,19.2,100,57,6.60,31.16
GOLD COAST SEAWAY,20/11/2012,8.1,0.0, ,25.8,17.8,69,39,9.80,32.11
GOLD COAST SEAWAY,21/11/2012,7.0,0.0, ,27.6,19.1,77,52,7.03,31.56
GOLD COAST SEAWAY,22/11/2012,6.5,0.0, ,28.1,20.2,79,51,5.10,28.57
GOLD COAST SEAWAY,23/11/2012,6.4,0.2, ,27.7,20.6,85,49,4.07,29.81
GOLD COAST SEAWAY,24/11/2012,7.2,0.0, ,27.7,21.6,73,50,6.10,30.76
GOLD COAST SEAWAY,25/11/2012,6.9,0.0, ,27.6,20.4,77,52,5.68,31.42
GOLD COAST SEAWAY,26/11/2012,6.8,0.0, ,28.5,21.1,81,49,5.11,29.79
GOLD COAST SEAWAY,27/11/2012,6.4,0.0, ,28.4,20.5,82,57,5.24,29.45
GOLD COAST SEAWAY,28/11/2012,5.9,0.2, ,28.5,21.4,99,56,4.67,28.23
GOLD COAST SEAWAY,29/11/2012,5.9,7.2, ,27.8,19.7,100,64,3.44,31.99
GOLD COAST SEAWAY,30/11/2012,6.3,0.0, ,28.7,19.2,99,61,4.22,32.87
Totals:,,183.8,54.6, ,,,,,, 
