'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for December 2012,,,,,,,,,,
Issued at 22:37 GMT on Tuesday 01 January 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/12/2012,7.0,0.0, ,29.3,20.4,97,49,5.97,32.88
GOLD COAST SEAWAY,02/12/2012,7.3,0.0, ,29.4,22.1,82,51,5.80,31.72
GOLD COAST SEAWAY,03/12/2012,6.0,0.0, ,28.6,20.7,100,54,5.15,28.73
GOLD COAST SEAWAY,04/12/2012,9.8,18.0, ,36.0,21.3,100,14,5.65,31.71
GOLD COAST SEAWAY,05/12/2012,7.8,0.0, ,29.0,22.5,79,24,4.09,32.23
GOLD COAST SEAWAY,06/12/2012,6.7,0.0, ,28.5,17.4,82,51,4.26,32.24
GOLD COAST SEAWAY,07/12/2012,4.8,0.0, ,25.5,21.3,85,62,4.27,22.05
GOLD COAST SEAWAY,08/12/2012,6.4,0.0, ,28.6,20.5,88,50,4.65,28.61
GOLD COAST SEAWAY,09/12/2012,6.6,0.0, ,28.8,22.0,77,49,4.94,26.66
GOLD COAST SEAWAY,10/12/2012,5.1,1.8, ,27.3,21.4,96,60,5.42,23.23
GOLD COAST SEAWAY,11/12/2012,6.1,0.4, ,26.6,19.7,87,57,9.17,27.17
GOLD COAST SEAWAY,12/12/2012,7.4,1.8, ,27.9,20.2,89,46,9.47,30.72
GOLD COAST SEAWAY,13/12/2012,7.3,1.6, ,28.3,18.3,89,45,7.83,32.13
GOLD COAST SEAWAY,14/12/2012,7.8,0.0, ,28.1,18.5,75,45,7.37,33.08
GOLD COAST SEAWAY,15/12/2012,6.6,0.0, ,28.2,16.9,84,51,4.03,32.89
GOLD COAST SEAWAY,16/12/2012,6.9,0.0, ,29.5,21.6,86,53,4.85,31.55
GOLD COAST SEAWAY,17/12/2012,6.8,0.0, ,30.4,22.9,99,59,5.48,32.68
GOLD COAST SEAWAY,18/12/2012,6.2,0.0, ,30.2,24.3,100,70,5.11,31.42
GOLD COAST SEAWAY,19/12/2012,6.2,1.8, ,29.4,23.9,100,69,5.67,31.89
GOLD COAST SEAWAY,20/12/2012,5.7,0.0, ,29.6,23.5,90,63,5.17,25.03
GOLD COAST SEAWAY,21/12/2012,4.3,0.0, ,28.9,23.8,99,72,4.28,20.11
GOLD COAST SEAWAY,22/12/2012,4.6,1.4, ,28.0,21.9,100,68,4.45,22.49
GOLD COAST SEAWAY,23/12/2012,7.1,0.0, ,29.8,23.8,83,56,4.85,32.06
GOLD COAST SEAWAY,24/12/2012,6.6,0.0, ,28.6,23.3,77,51,4.36,28.05
GOLD COAST SEAWAY,25/12/2012,7.1,0.0, ,29.4,19.7,86,50,5.05,32.72
GOLD COAST SEAWAY,26/12/2012,4.3,17.2, ,26.2,20.9,99,70,4.95,21.77
GOLD COAST SEAWAY,27/12/2012,7.1,0.6, ,29.6,20.9,90,56,7.95,31.90
GOLD COAST SEAWAY,28/12/2012,6.1,0.8, ,29.7,22.2,99,63,3.58,30.55
GOLD COAST SEAWAY,29/12/2012,6.7,35.8, ,29.8,19.9,94,63,7.83,33.29
GOLD COAST SEAWAY,30/12/2012,8.2,0.0, ,28.8,22.2,78,51,10.46,33.23
GOLD COAST SEAWAY,31/12/2012,7.5,0.0, ,29.4,23.2,80,52,8.34,29.36
Totals:,,204.1,81.2, ,,,,,, 
