'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for January 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 February 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/01/2013,6.5,0.0, ,29.2,21.4,79,57,3.87,29.77
GOLD COAST SEAWAY,02/01/2013,7.3,0.0, ,31.1,21.2,89,50,6.08,30.89
GOLD COAST SEAWAY,03/01/2013,7.8,0.0, ,29.1,23.0,78,54,11.11,29.50
GOLD COAST SEAWAY,04/01/2013,7.9,0.0, ,29.6,21.0,72,48,7.77,30.15
GOLD COAST SEAWAY,05/01/2013,6.0,0.0, ,28.0,22.8,80,60,6.83,23.70
GOLD COAST SEAWAY,06/01/2013,6.7,0.0, ,29.7,23.7,78,54,7.72,22.96
GOLD COAST SEAWAY,07/01/2013,7.7,0.0, ,31.1,23.9,78,50,9.09,24.78
GOLD COAST SEAWAY,08/01/2013,7.1,0.4, ,29.7,22.1,79,55,6.05,30.11
GOLD COAST SEAWAY,09/01/2013,7.8,0.0, ,31.6,22.8,81,50,7.95,28.38
GOLD COAST SEAWAY,10/01/2013,5.6,0.0, ,30.2,24.0,87,66,5.36,23.90
GOLD COAST SEAWAY,11/01/2013,5.9,0.0, ,30.6,25.4,92,67,6.93,25.22
GOLD COAST SEAWAY,12/01/2013,7.2,0.0, ,32.3,25.2,93,56,6.54,30.05
GOLD COAST SEAWAY,13/01/2013,6.9,0.0, ,30.7,24.5,90,60,6.53,30.20
GOLD COAST SEAWAY,14/01/2013,3.5,0.0, ,27.6,24.4,92,68,8.36,8.69
GOLD COAST SEAWAY,15/01/2013,6.2,0.0, ,29.6,20.7,83,50,7.53,19.63
GOLD COAST SEAWAY,16/01/2013,6.5,0.0, ,28.9,20.5,77,51,3.95,29.46
GOLD COAST SEAWAY,17/01/2013,6.6,0.0, ,29.4,20.0,82,50,3.92,29.80
GOLD COAST SEAWAY,18/01/2013,6.9,0.0, ,29.7,21.1,82,54,5.91,29.83
GOLD COAST SEAWAY,19/01/2013,7.4,0.0, ,32.5,23.9,87,48,6.38,27.25
GOLD COAST SEAWAY,20/01/2013,5.7,0.2, ,29.1,22.9,99,66,6.48,28.38
GOLD COAST SEAWAY,21/01/2013,3.1,1.2, ,29.0,22.5,100,69,3.51,11.69
GOLD COAST SEAWAY,22/01/2013,6.0,5.6, ,30.2,21.2,100,57,3.78,28.50
GOLD COAST SEAWAY,23/01/2013,5.8,0.2, ,30.6,22.1,91,61,4.05,26.02
GOLD COAST SEAWAY,24/01/2013,2.7,8.8, ,27.7,22.7,97,72,4.77,8.69
GOLD COAST SEAWAY,25/01/2013,3.4,2.6, ,27.6,23.0,99,78,7.74,15.09
GOLD COAST SEAWAY,26/01/2013,1.7,6.4, ,25.5,23.7,100,87,10.26,6.18
GOLD COAST SEAWAY,27/01/2013,0.7,35.0, ,24.5,23.8,100,96,14.25,2.40
GOLD COAST SEAWAY,28/01/2013,1.7,108.2, ,26.9,22.6,100,88,15.08,6.19
GOLD COAST SEAWAY,29/01/2013,5.7,73.2, ,31.1,23.0,100,57,4.77,24.36
GOLD COAST SEAWAY,30/01/2013,4.7,0.0, ,29.3,23.4,100,71,6.10,22.59
GOLD COAST SEAWAY,31/01/2013,4.0,11.2, ,27.6,22.6,100,68,3.66,18.63
Totals:,,172.7,253, ,,,,,, 
