'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for May 2013,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 June 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/05/2013,3.5,0.0, ,26.6,17.5,88,59,3.30,18.09
GOLD COAST SEAWAY,02/05/2013,4.8,0.0, ,27.7,18.0,91,53,8.49,17.74
GOLD COAST SEAWAY,03/05/2013,4.3,0.0, ,25.0,16.9,84,49,6.32,16.68
GOLD COAST SEAWAY,04/05/2013,4.7,0.0, ,27.9,14.3,84,33,3.92,19.50
GOLD COAST SEAWAY,05/05/2013,3.9,0.0, ,25.1,17.6,80,60,6.30,16.23
GOLD COAST SEAWAY,06/05/2013,3.9,0.0, ,24.2,16.6,84,58,7.50,14.94
GOLD COAST SEAWAY,07/05/2013,3.7,0.6, ,24.4,16.4,93,55,6.53,16.07
GOLD COAST SEAWAY,08/05/2013,4.2,2.2, ,24.2,16.5,88,50,6.86,18.05
GOLD COAST SEAWAY,09/05/2013,2.8,2.6, ,22.2,15.9,94,62,6.19,12.10
GOLD COAST SEAWAY,10/05/2013,3.4,6.8, ,23.7,16.4,94,59,7.80,14.24
GOLD COAST SEAWAY,11/05/2013,2.5,0.2, ,22.3,15.8,95,67,7.17,8.28
GOLD COAST SEAWAY,12/05/2013,2.6,6.8, ,22.9,16.2,96,71,6.44,14.33
GOLD COAST SEAWAY,13/05/2013,1.5,23.2, ,21.9,17.3,100,82,3.60,8.12
GOLD COAST SEAWAY,14/05/2013,2.1,8.2, ,23.0,17.8,100,65,2.98,10.00
GOLD COAST SEAWAY,15/05/2013,3.1,0.4, ,23.7,15.6,82,48,2.78,16.82
GOLD COAST SEAWAY,16/05/2013,2.3,0.0, ,18.5,16.0,81,55,3.80,6.62
GOLD COAST SEAWAY,17/05/2013,4.2,0.0, ,23.9,13.6,71,32,4.19,17.50
GOLD COAST SEAWAY,18/05/2013,4.5,0.0, ,22.9,14.1,56,28,4.33,17.56
GOLD COAST SEAWAY,19/05/2013,3.7,0.0, ,21.0,13.3,74,30,3.72,17.60
GOLD COAST SEAWAY,20/05/2013,3.7,0.0, ,22.2,11.4,72,28,3.41,17.13
GOLD COAST SEAWAY,21/05/2013,3.1,0.0, ,22.0,11.7,77,30,3.02,13.72
GOLD COAST SEAWAY,22/05/2013,1.7,0.0, ,17.0,13.0,94,59,3.53,5.07
GOLD COAST SEAWAY,23/05/2013,3.5,1.4, ,22.6,13.3,93,41,4.76,16.44
GOLD COAST SEAWAY,24/05/2013,2.9,0.0, ,20.0,14.3,81,57,6.14,9.84
GOLD COAST SEAWAY,25/05/2013,4.3,1.6, ,22.1,15.0,69,48,7.63,15.64
GOLD COAST SEAWAY,26/05/2013,3.6,0.0, ,24.5,13.7,77,44,4.28,15.27
GOLD COAST SEAWAY,27/05/2013,3.7,0.0, ,23.9,14.3,83,48,5.54,15.51
GOLD COAST SEAWAY,28/05/2013,3.1,0.8, ,21.7,16.3,90,61,8.83,9.83
GOLD COAST SEAWAY,29/05/2013,3.4,1.6, ,23.4,17.9,98,52,7.95,12.40
GOLD COAST SEAWAY,30/05/2013,2.1,19.0, ,22.5,16.1,99,71,5.50,9.79
GOLD COAST SEAWAY,31/05/2013,2.5,19.0, ,22.5,16.4,99,59,5.43,9.91
Totals:,,103.3,94.4, ,,,,,, 
