'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for July 2013,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 August 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/07/2013,1.3,14.8, ,17.9,13.5,99,81,8.61,4.78
GOLD COAST SEAWAY,02/07/2013,2.5,58.4, ,21.0,15.0,100,67,10.12,13.96
GOLD COAST SEAWAY,03/07/2013,3.1,0.6, ,22.9,17.1,86,65,6.95,14.61
GOLD COAST SEAWAY,04/07/2013,2.5,0.0, ,22.9,16.9,91,50,2.92,13.57
GOLD COAST SEAWAY,05/07/2013,2.3,0.0, ,23.7,14.7,99,61,2.75,14.86
GOLD COAST SEAWAY,06/07/2013,3.0,0.0, ,23.5,13.1,99,31,2.74,15.82
GOLD COAST SEAWAY,07/07/2013,3.1,0.0, ,21.5,12.3,87,53,5.70,14.77
GOLD COAST SEAWAY,08/07/2013,3.4,0.0, ,21.1,12.3,82,46,5.14,16.05
GOLD COAST SEAWAY,09/07/2013,3.6,0.0, ,20.5,12.8,79,52,7.85,13.90
GOLD COAST SEAWAY,10/07/2013,1.7,0.8, ,17.9,14.0,97,73,6.76,7.68
GOLD COAST SEAWAY,11/07/2013,3.2,2.2, ,21.3,13.8,86,54,6.40,14.16
GOLD COAST SEAWAY,12/07/2013,2.4,0.2, ,21.2,13.9,90,62,4.26,12.41
GOLD COAST SEAWAY,13/07/2013,2.8,0.0, ,21.8,11.3,93,56,4.39,16.15
GOLD COAST SEAWAY,14/07/2013,2.0,0.0, ,20.2,13.4,88,68,3.89,8.99
GOLD COAST SEAWAY,15/07/2013,2.1,3.2, ,21.0,14.3,99,69,3.46,13.84
GOLD COAST SEAWAY,16/07/2013,2.2,5.4, ,21.9,13.7,99,67,3.25,14.61
GOLD COAST SEAWAY,17/07/2013,2.1,4.6, ,20.8,14.7,99,66,3.45,12.66
GOLD COAST SEAWAY,18/07/2013,2.0,1.2, ,22.2,14.4,99,72,2.86,13.46
GOLD COAST SEAWAY,19/07/2013,1.9,2.0, ,22.2,14.9,100,74,3.16,12.21
GOLD COAST SEAWAY,20/07/2013,2.3,21.2, ,22.8,17.6,100,62,4.19,11.47
GOLD COAST SEAWAY,21/07/2013,2.8,5.0, ,20.8,13.6,98,49,3.35,17.14
GOLD COAST SEAWAY,22/07/2013,1.7,0.2, ,19.2,12.4,87,60,2.54,6.57
GOLD COAST SEAWAY,23/07/2013,3.4,2.8, ,19.6,13.0,90,31,3.79,17.94
GOLD COAST SEAWAY,24/07/2013,3.5,0.0, ,20.5,8.5,74,43,4.58,17.58
GOLD COAST SEAWAY,25/07/2013,2.7,0.0, ,21.0,14.1,96,56,6.10,11.28
GOLD COAST SEAWAY,26/07/2013,2.8,0.2, ,22.2,14.0,96,57,3.36,17.07
GOLD COAST SEAWAY,27/07/2013,3.1,0.2, ,22.9,13.4,94,58,4.82,16.95
GOLD COAST SEAWAY,28/07/2013,3.2,0.2, ,22.4,14.2,84,58,6.91,10.77
GOLD COAST SEAWAY,29/07/2013,2.7,0.6, ,22.3,14.8,99,55,4.19,13.09
GOLD COAST SEAWAY,30/07/2013,2.5,4.6, ,22.3,13.8,96,61,3.63,13.92
GOLD COAST SEAWAY,31/07/2013,3.5,2.8, ,22.4,12.5,89,55,6.26,17.24
Totals:,,81.4,131.2, ,,,,,, 
