'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for August 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 September 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/08/2013,3.4,0.0, ,22.6,14.1,83,56,5.48,16.40
GOLD COAST SEAWAY,02/08/2013,2.9,0.0, ,23.0,13.1,93,57,3.39,17.61
GOLD COAST SEAWAY,03/08/2013,3.9,0.0, ,23.0,12.1,99,24,3.50,19.32
GOLD COAST SEAWAY,04/08/2013,4.2,0.0, ,23.2,10.9,83,29,4.01,19.40
GOLD COAST SEAWAY,05/08/2013,3.6,0.0, ,21.7,9.8,82,37,3.22,19.37
GOLD COAST SEAWAY,06/08/2013,4.3,0.0, ,24.3,11.1,85,28,3.77,19.78
GOLD COAST SEAWAY,07/08/2013,4.4,0.0, ,25.0,10.5,88,30,3.99,19.66
GOLD COAST SEAWAY,08/08/2013,5.6,0.0, ,23.5,12.8,96,19,7.01,20.47
GOLD COAST SEAWAY,09/08/2013, ,0.0, ,23.0,11.1,81,36,5.30, 
GOLD COAST SEAWAY,10/08/2013,3.5,0.0, ,23.4,9.9,92,37,2.72,19.86
GOLD COAST SEAWAY,11/08/2013,3.9,0.0, ,25.1,12.0,85,41,3.37,19.26
GOLD COAST SEAWAY,12/08/2013,4.9,0.0, ,25.9,13.6,87,36,5.35,20.10
GOLD COAST SEAWAY,13/08/2013,4.1,0.0, ,24.4,15.1,89,50,4.81,20.20
GOLD COAST SEAWAY,14/08/2013,2.7,0.0, ,24.2,14.0,91,66,3.80,12.63
GOLD COAST SEAWAY,15/08/2013,5.9,0.8, ,25.7,15.7,93,23,6.50,21.39
GOLD COAST SEAWAY,16/08/2013,3.9,0.2, ,22.8,11.9,82,47,4.02,20.77
GOLD COAST SEAWAY,17/08/2013,3.2,0.0, ,23.1,12.6,92,51,3.86,15.30
GOLD COAST SEAWAY,18/08/2013,3.8,0.8, ,24.8,14.6,100,56,3.58,22.06
GOLD COAST SEAWAY,19/08/2013,5.0,0.0, ,25.5,13.6,99,20,3.87,22.18
GOLD COAST SEAWAY,20/08/2013,4.8,0.0, ,22.3,12.9,66,19,3.50,22.40
GOLD COAST SEAWAY,21/08/2013,4.6,0.0, ,21.0,5.6,68,21,3.69,22.84
GOLD COAST SEAWAY,22/08/2013,4.1,0.0, ,20.4,8.4,74,36,3.73,22.14
GOLD COAST SEAWAY,23/08/2013,5.2,0.0, ,23.1,7.7,79,21,4.62,22.94
GOLD COAST SEAWAY,24/08/2013,4.9,0.0, ,23.7,12.2,74,31,4.09,22.67
GOLD COAST SEAWAY,25/08/2013,3.5,0.0, ,23.3,13.3,88,55,3.22,20.52
GOLD COAST SEAWAY,26/08/2013,4.1,0.0, ,24.5,13.9,93,47,4.43,20.66
GOLD COAST SEAWAY,27/08/2013,4.7,0.0, ,25.5,13.4,99,39,4.49,22.64
GOLD COAST SEAWAY,28/08/2013,4.7,0.0, ,26.4,13.8,95,42,3.79,23.26
GOLD COAST SEAWAY,29/08/2013,4.4,0.0, ,24.9,15.0,86,55,4.55,22.75
GOLD COAST SEAWAY,30/08/2013,4.4,0.0, ,24.6,14.9,90,50,4.48,22.73
GOLD COAST SEAWAY,31/08/2013,4.9,0.0, ,26.5,16.9,88,48,4.76,22.73
Totals:,,127.5,1.8, ,,,,,, 
