'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for September 2013,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/09/2013,4.4,0.0, ,26.2,16.8,99,53,6.96,19.69
GOLD COAST SEAWAY,02/09/2013,4.9,0.0, ,24.9,16.5,78,55,7.05,21.74
GOLD COAST SEAWAY,03/09/2013,5.3,0.4, ,23.6,16.2,79,47,9.09,20.87
GOLD COAST SEAWAY,04/09/2013,6.1,0.0, ,23.9,16.6,67,44,8.74,23.09
GOLD COAST SEAWAY,05/09/2013,4.9,0.0, ,24.5,14.5,80,46,4.04,24.78
GOLD COAST SEAWAY,06/09/2013,4.6,0.0, ,23.5,13.2,85,49,4.53,24.59
GOLD COAST SEAWAY,07/09/2013,5.1,0.0, ,25.4,14.1,90,46,4.95,25.09
GOLD COAST SEAWAY,08/09/2013,5.2,0.0, ,25.7,16.2,88,47,5.09,25.13
GOLD COAST SEAWAY,09/09/2013,4.6,0.0, ,24.5,14.2,92,52,4.47,25.08
GOLD COAST SEAWAY,10/09/2013,4.4,0.8, ,25.7,16.4,96,49,4.44,21.22
GOLD COAST SEAWAY,11/09/2013,7.1,0.0, ,31.4,16.2,92,26,5.21,25.50
GOLD COAST SEAWAY,12/09/2013,4.4,0.0, ,25.1,16.1,96,62,3.45,25.51
GOLD COAST SEAWAY,13/09/2013,4.3,0.2, ,25.2,17.4,99,57,6.53,21.19
GOLD COAST SEAWAY,14/09/2013,3.8,0.0, ,24.7,18.9,99,58,6.68,15.71
GOLD COAST SEAWAY,15/09/2013,4.7,0.0, ,25.5,14.3,100,58,5.39,26.06
GOLD COAST SEAWAY,16/09/2013,2.1,0.0, ,22.2,18.9,99,70,6.09,6.04
GOLD COAST SEAWAY,17/09/2013,3.9,25.0, ,25.4,17.5,100,63,4.91,20.31
GOLD COAST SEAWAY,18/09/2013,7.0,10.4, ,28.3,14.4,94,17,4.82,27.72
GOLD COAST SEAWAY,19/09/2013,5.4,0.4, ,27.1,14.9,100,47,4.23,27.47
GOLD COAST SEAWAY,20/09/2013,6.6,0.0, ,27.8,15.6,100,18,4.20,28.26
GOLD COAST SEAWAY,21/09/2013,6.0,0.0, ,24.5,12.7,72,35,4.64,28.51
GOLD COAST SEAWAY,22/09/2013,4.5,0.0, ,24.5,14.2,87,52,4.56,22.33
GOLD COAST SEAWAY,23/09/2013,5.0,0.0, ,26.3,15.4,99,55,4.60,26.87
GOLD COAST SEAWAY,24/09/2013,6.4,0.0, ,29.1,16.5,100,34,5.30,27.14
GOLD COAST SEAWAY,25/09/2013,5.6,0.0, ,28.3,18.3,96,46,2.84,28.45
GOLD COAST SEAWAY,26/09/2013,4.5,0.0, ,26.5,15.3,100,66,4.17,26.27
GOLD COAST SEAWAY,27/09/2013,5.4,0.0, ,25.2,19.1,100,56,8.88,28.45
GOLD COAST SEAWAY,28/09/2013,3.7,0.0, ,25.8,18.2,81,46,3.91,9.79
GOLD COAST SEAWAY,29/09/2013,6.3,0.0, ,27.2,17.9,79,49,5.66,28.82
GOLD COAST SEAWAY,30/09/2013,5.2,0.0, ,26.4,19.9,90,54,5.23,24.24
Totals:,,151.4,37.2, ,,,,,, 
