'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for November 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/11/2013,6.5,0.0, ,25.9,16.2,80,43,4.03,32.76
GOLD COAST SEAWAY,02/11/2013,6.5,0.0, ,26.1,16.7,82,49,5.00,32.44
GOLD COAST SEAWAY,03/11/2013,8.5,0.0, ,31.8,18.5,84,33,5.98,32.92
GOLD COAST SEAWAY,04/11/2013,5.8,0.0, ,25.6,20.7,87,52,11.19,19.51
GOLD COAST SEAWAY,05/11/2013,7.3,0.0, ,25.0,16.7,69,44,10.19,29.52
GOLD COAST SEAWAY,06/11/2013,6.5,0.0, ,26.2,16.5,68,46,5.25,29.28
GOLD COAST SEAWAY,07/11/2013,6.6,0.0, ,25.3,16.0,82,48,4.50,34.26
GOLD COAST SEAWAY,08/11/2013,7.2,0.0, ,26.7,16.7,84,44,6.09,34.47
GOLD COAST SEAWAY,09/11/2013,7.8,0.0, ,27.9,19.1,80,43,6.92,34.25
GOLD COAST SEAWAY,10/11/2013,5.4,0.0, ,28.0,20.8,93,57,4.62,25.05
GOLD COAST SEAWAY,11/11/2013,5.2,5.6, ,27.7,20.2,99,51,4.83,22.56
GOLD COAST SEAWAY,12/11/2013,4.5,1.2, ,25.7,21.0,99,73,4.57,24.85
GOLD COAST SEAWAY,13/11/2013,4.8,0.4, ,27.3,20.6,100,70,4.91,25.29
GOLD COAST SEAWAY,14/11/2013,4.8,5.2, ,27.8,20.0,100,60,4.92,21.79
GOLD COAST SEAWAY,15/11/2013,5.6,11.4, ,26.8,17.9,100,65,4.09,31.78
GOLD COAST SEAWAY,16/11/2013,4.4,12.4, ,26.0,19.2,100,68,5.84,22.92
GOLD COAST SEAWAY,17/11/2013,3.5,7.6, ,24.2,16.7,99,64,4.18,16.27
GOLD COAST SEAWAY,18/11/2013,4.7,4.0, ,25.0,17.0,95,56,3.86,23.36
GOLD COAST SEAWAY,19/11/2013,5.8,11.6, ,26.2,15.1,99,56,4.27,32.49
GOLD COAST SEAWAY,20/11/2013,6.5,0.0, ,27.0,17.7,90,56,6.16,33.09
GOLD COAST SEAWAY,21/11/2013,6.2,0.0, ,26.6,18.1,89,60,5.00,32.86
GOLD COAST SEAWAY,22/11/2013,5.2,0.0, ,27.0,19.0,91,63,4.14,25.70
GOLD COAST SEAWAY,23/11/2013,4.3,6.4, ,26.5,20.3,100,61,6.86,18.01
GOLD COAST SEAWAY,24/11/2013,5.5,16.6, ,29.2,19.3,99,57,5.02,24.65
GOLD COAST SEAWAY,25/11/2013,6.3,2.6, ,27.1,19.8,99,58,5.94,33.34
GOLD COAST SEAWAY,26/11/2013,6.3,0.0, ,26.8,19.4,85,54,10.27,25.54
GOLD COAST SEAWAY,27/11/2013,7.5,0.0, ,26.5,17.8,70,48,6.26,35.07
GOLD COAST SEAWAY,28/11/2013,7.3,0.0, ,27.4,17.5,82,50,5.50,35.83
GOLD COAST SEAWAY,29/11/2013,7.8,0.0, ,32.0,20.5,99,38,6.49,30.03
GOLD COAST SEAWAY,30/11/2013,3.1,13.2, ,23.2,18.5,100,60,9.76,6.77
Totals:,,177.4,98.2, ,,,,,, 
