'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/12/2013,6.8,10.6, ,25.4,17.4,74,49,8.54,29.09
GOLD COAST SEAWAY,02/12/2013,7.9,0.0, ,26.6,16.8,71,41,7.50,34.52
GOLD COAST SEAWAY,03/12/2013,7.5,0.0, ,26.6,17.4,78,47,6.27,35.67
GOLD COAST SEAWAY,04/12/2013,6.9,0.0, ,27.4,16.5,86,57,5.42,35.71
GOLD COAST SEAWAY,05/12/2013,7.9,0.0, ,30.5,21.0,87,32,6.65,28.08
GOLD COAST SEAWAY,06/12/2013,8.6,0.0, ,25.5,19.0,61,26,5.25,37.51
GOLD COAST SEAWAY,07/12/2013,7.3,0.0, ,25.8,16.0,73,45,4.10,36.94
GOLD COAST SEAWAY,08/12/2013,6.4,0.0, ,26.5,17.2,78,53,4.36,32.54
GOLD COAST SEAWAY,09/12/2013,7.2,0.0, ,27.2,17.8,79,50,5.63,34.47
GOLD COAST SEAWAY,10/12/2013,6.5,0.0, ,27.8,20.7,82,51,5.70,28.01
GOLD COAST SEAWAY,11/12/2013,4.8,0.0, ,28.9,20.4,100,58,4.82,20.29
GOLD COAST SEAWAY,12/12/2013,2.2,5.2, ,25.9,20.3,100,68,3.03,6.65
GOLD COAST SEAWAY,13/12/2013,5.4,0.0, ,27.6,18.7,100,72,2.81,30.15
GOLD COAST SEAWAY,14/12/2013,6.3,0.2, ,28.2,19.8,100,64,3.45,34.10
GOLD COAST SEAWAY,15/12/2013,6.3,0.6, ,28.4,21.1,99,61,3.05,32.84
GOLD COAST SEAWAY,16/12/2013,6.3,0.0, ,29.2,22.1,87,59,5.16,28.56
GOLD COAST SEAWAY,17/12/2013,7.1,1.4, ,27.8,20.4,82,58,8.36,33.52
GOLD COAST SEAWAY,18/12/2013,8.8,0.0, ,28.4,22.0,71,46,8.27,36.15
GOLD COAST SEAWAY,19/12/2013,8.8,0.0, ,28.6,21.5,69,47,7.80,36.37
GOLD COAST SEAWAY,20/12/2013,7.5,0.0, ,28.0,18.4,83,51,4.28,37.27
GOLD COAST SEAWAY,21/12/2013,8.1,0.0, ,28.9,19.6,84,45,5.50,37.32
GOLD COAST SEAWAY,22/12/2013,7.3,0.0, ,28.6,19.2,89,55,4.31,36.92
GOLD COAST SEAWAY,23/12/2013,8.3,0.0, ,30.4,21.3,79,42,6.24,33.91
GOLD COAST SEAWAY,24/12/2013,8.1,0.0, ,29.8,22.1,92,44,5.84,36.27
GOLD COAST SEAWAY,25/12/2013,6.2,0.0, ,28.3,21.2,96,66,4.75,32.57
GOLD COAST SEAWAY,26/12/2013,6.9,0.0, ,30.6,20.5,99,52,5.04,32.25
GOLD COAST SEAWAY,27/12/2013,4.9,0.0, ,28.8,22.4,96,61,5.87,19.44
GOLD COAST SEAWAY,28/12/2013,4.8,0.0, ,29.3,20.1,92,62,3.34,21.61
GOLD COAST SEAWAY,29/12/2013,8.1,0.0, ,32.8,23.1,99,50,7.94,33.88
GOLD COAST SEAWAY,30/12/2013,7.7,2.8, ,28.8,21.2,79,55,9.16,33.33
GOLD COAST SEAWAY,31/12/2013,4.3,0.0, ,28.4,22.8,89,63,5.65,14.64
Totals:,,211.2,20.8, ,,,,,, 
