'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for January 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/01/2014,7.8,0.0, ,28.5,22.2,88,52,6.00,36.81
GOLD COAST SEAWAY,02/01/2014,6.0,0.0, ,30.8,21.2,93,53,5.52,23.76
GOLD COAST SEAWAY,03/01/2014,7.2,2.0, ,31.4,23.0,99,49,6.74,30.30
GOLD COAST SEAWAY,04/01/2014,8.2,0.0, ,33.3,25.3,83,53,7.99,30.31
GOLD COAST SEAWAY,05/01/2014,5.2,0.0, ,30.6,23.2,97,60,6.60,19.72
GOLD COAST SEAWAY,06/01/2014,4.2,0.0, ,30.7,24.0,100,63,3.94,16.46
GOLD COAST SEAWAY,07/01/2014,6.0,14.0, ,27.5,21.9,100,59,9.90,29.30
GOLD COAST SEAWAY,08/01/2014,5.9,0.2, ,28.4,23.0,88,53,8.43,19.24
GOLD COAST SEAWAY,09/01/2014,5.1,6.8, ,28.8,19.5,99,48,6.80,16.20
GOLD COAST SEAWAY,10/01/2014,5.4,3.8, ,28.7,19.1,99,59,5.68,24.39
GOLD COAST SEAWAY,11/01/2014,6.5,0.0, ,28.9,20.8,88,52,4.65,29.57
GOLD COAST SEAWAY,12/01/2014,6.7,0.0, ,29.4,19.8,87,53,5.10,30.39
GOLD COAST SEAWAY,13/01/2014,7.3,0.0, ,30.7,20.9,89,49,6.72,29.98
GOLD COAST SEAWAY,14/01/2014,6.7,1.6, ,29.5,21.5,94,51,6.91,28.86
GOLD COAST SEAWAY,15/01/2014,7.3,0.0, ,29.3,23.4,77,55,6.90,30.20
GOLD COAST SEAWAY,16/01/2014,6.9,0.0, ,29.3,23.5,81,56,6.67,28.56
GOLD COAST SEAWAY,17/01/2014,7.3,0.0, ,29.0,23.1,81,51,7.03,30.22
GOLD COAST SEAWAY,18/01/2014,7.5,0.0, ,30.6,20.0,78,46,6.12,29.30
GOLD COAST SEAWAY,19/01/2014,6.6,0.0, ,29.1,21.2,81,49,3.91,29.68
GOLD COAST SEAWAY,20/01/2014,6.7,0.0, ,29.8,20.8,85,54,5.19,29.97
GOLD COAST SEAWAY,21/01/2014,7.0,0.0, ,31.0,24.2,88,59,6.85,29.64
GOLD COAST SEAWAY,22/01/2014,5.4,0.0, ,30.6,21.8,98,65,6.03,23.90
GOLD COAST SEAWAY,23/01/2014,3.1,1.2, ,28.0,23.6,100,71,7.57,10.10
GOLD COAST SEAWAY,24/01/2014,3.8,23.0, ,28.1,20.9,100,76,4.30,18.42
GOLD COAST SEAWAY,25/01/2014,2.9,3.4, ,26.7,23.1,99,70,6.94,8.47
GOLD COAST SEAWAY,26/01/2014,6.5,1.6, ,27.8,20.8,89,53,10.99,25.30
GOLD COAST SEAWAY,27/01/2014,6.7,1.2, ,27.9,19.7,89,52,10.79,26.35
GOLD COAST SEAWAY,28/01/2014,6.8,0.0, ,28.8,21.6,77,54,9.53,22.54
GOLD COAST SEAWAY,29/01/2014,5.7,0.0, ,27.2,22.3,86,58,8.55,21.35
GOLD COAST SEAWAY,30/01/2014,6.4,1.0, ,27.4,20.9,76,50,8.43,20.55
GOLD COAST SEAWAY,31/01/2014,5.5,0.0, ,27.4,22.7,75,54,7.39,14.97
Totals:,,190.3,59.8, ,,,,,, 
