'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for February 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/02/2014,6.8,0.0, ,28.6,23.0,74,51,7.52,23.82
GOLD COAST SEAWAY,02/02/2014,7.2,0.0, ,29.8,22.4,78,53,7.78,27.50
GOLD COAST SEAWAY,03/02/2014,6.1,1.0, ,28.6,21.0,84,52,8.05,20.86
GOLD COAST SEAWAY,04/02/2014,6.5,0.4, ,29.3,21.1,86,56,6.66,27.73
GOLD COAST SEAWAY,05/02/2014,6.0,0.0, ,29.6,21.6,99,53,9.83,22.07
GOLD COAST SEAWAY,06/02/2014,5.6,6.0, ,27.9,19.4,93,56,8.64,22.14
GOLD COAST SEAWAY,07/02/2014,5.0,0.6, ,28.0,19.3,91,53,6.09,17.77
GOLD COAST SEAWAY,08/02/2014,6.2,0.2, ,28.7,20.9,85,50,4.69,27.32
GOLD COAST SEAWAY,09/02/2014,3.1,0.0, ,26.9,21.9,82,66,3.86,8.96
GOLD COAST SEAWAY,10/02/2014,4.9,0.0, ,28.9,22.4,82,54,4.64,16.59
GOLD COAST SEAWAY,11/02/2014,6.4,0.0, ,29.4,21.9,74,48,4.48,25.58
GOLD COAST SEAWAY,12/02/2014,6.4,0.0, ,29.6,20.3,80,49,4.07,27.95
GOLD COAST SEAWAY,13/02/2014,5.7,0.0, ,29.5,21.0,82,52,3.77,24.48
GOLD COAST SEAWAY,14/02/2014,4.1,0.0, ,29.3,22.7,79,54,4.85,9.07
GOLD COAST SEAWAY,15/02/2014,6.5,0.0, ,30.8,23.7,85,55,6.23,25.19
GOLD COAST SEAWAY,16/02/2014,6.8,0.0, ,31.5,25.0,91,56,7.89,26.89
GOLD COAST SEAWAY,17/02/2014,5.9,0.0, ,30.2,24.5,84,62,7.25,22.63
GOLD COAST SEAWAY,18/02/2014, ,0.0, , ,23.8,91,66,3.60,19.43
GOLD COAST SEAWAY,19/02/2014, , , ,32.0, ,99,48,5.64,25.79
GOLD COAST SEAWAY,20/02/2014,5.9,0.0, ,32.1,25.9,91,59,6.34,21.80
GOLD COAST SEAWAY,21/02/2014,4.5,0.0, ,29.8,24.7,98,68,6.16,18.98
GOLD COAST SEAWAY,22/02/2014,3.8,0.0, ,26.4,23.2,81,64,8.40,5.96
GOLD COAST SEAWAY,23/02/2014,6.8,0.0, ,28.6,21.9,91,50,10.59,26.15
GOLD COAST SEAWAY,24/02/2014,4.7,9.2, ,27.3,20.1,98,59,7.44,19.87
GOLD COAST SEAWAY,25/02/2014,5.4,5.8, ,28.1,20.1,100,58,5.54,26.78
GOLD COAST SEAWAY,26/02/2014,5.0,0.2, ,29.0,20.3,92,53,3.75,21.78
GOLD COAST SEAWAY,27/02/2014,6.0,0.2, ,29.1,20.4,83,49,4.39,26.18
GOLD COAST SEAWAY,28/02/2014,6.1,0.2, ,29.7,21.2,88,53,8.19,21.88
Totals:,,147.4,23.8, ,,,,,, 
