'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for May 2014,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/05/2014,3.0,5.0, ,26.2,18.1,99,60,3.42,14.20
GOLD COAST SEAWAY,02/05/2014, ,5.6, , ,18.2,100,79,2.04,4.42
GOLD COAST SEAWAY,03/05/2014, , , ,20.9, ,84,30,3.06,15.81
GOLD COAST SEAWAY,04/05/2014,4.6,0.0, ,19.8,9.7,60,31,6.24,16.10
GOLD COAST SEAWAY,05/05/2014,3.6,0.0, ,22.6,10.8,76,31,3.22,15.86
GOLD COAST SEAWAY,06/05/2014,2.7,0.0, ,22.8,13.4,81,50,2.06,15.92
GOLD COAST SEAWAY,07/05/2014,3.5,0.0, ,24.3,15.8,80,49,4.18,14.26
GOLD COAST SEAWAY,08/05/2014,3.2,0.0, ,23.6,16.8,88,52,4.26,14.20
GOLD COAST SEAWAY,09/05/2014,2.0,0.6, ,24.1,16.2,85,50,0.20,15.48
GOLD COAST SEAWAY,10/05/2014,1.5,4.2, ,22.3,16.5,85,61,0.48,8.51
GOLD COAST SEAWAY,11/05/2014,2.3,0.0, ,25.2,15.6,90,51,1.21,13.74
GOLD COAST SEAWAY,12/05/2014,2.3,0.0, ,25.3,16.1,87,56,1.27,13.90
GOLD COAST SEAWAY,13/05/2014,1.8,0.0, ,24.3,17.8,81,53,0.00,14.65
GOLD COAST SEAWAY,14/05/2014,2.2,2.2, ,21.0,17.3,98,67,4.44,11.22
GOLD COAST SEAWAY,15/05/2014,3.4,8.8, ,24.2,16.2,95,49,5.07,15.10
GOLD COAST SEAWAY,16/05/2014,3.1,2.4, ,23.1,16.4,94,57,7.23,9.68
GOLD COAST SEAWAY,17/05/2014,4.1,5.4, ,24.6,18.3,91,48,7.66,13.68
GOLD COAST SEAWAY,18/05/2014,3.7,1.2, ,23.6,18.2,81,50,6.72,8.26
GOLD COAST SEAWAY,19/05/2014,3.2,0.2, ,23.9,17.8,79,48,4.14,10.86
GOLD COAST SEAWAY,20/05/2014,2.6,0.0, ,24.8,15.9,87,59,3.15,12.30
GOLD COAST SEAWAY,21/05/2014,2.8,0.0, ,23.5,16.1,94,59,4.78,12.04
GOLD COAST SEAWAY,22/05/2014,2.5,0.6, ,24.7,17.3,93,64,3.18,13.42
GOLD COAST SEAWAY,23/05/2014,2.4,0.0, ,25.6,17.6,99,61,2.96,11.37
GOLD COAST SEAWAY,24/05/2014,2.8,0.0, ,26.6,17.4,99,49,2.79,12.90
GOLD COAST SEAWAY,25/05/2014,3.1,0.0, ,26.0,15.6,87,49,3.19,14.28
GOLD COAST SEAWAY,26/05/2014,2.5,0.0, ,24.8,13.8,92,57,2.52,14.14
GOLD COAST SEAWAY,27/05/2014,2.8,0.0, ,25.8,16.6,99,51,3.45,12.20
GOLD COAST SEAWAY,28/05/2014,3.2,0.0, ,27.0,17.1,96,49,3.84,13.73
GOLD COAST SEAWAY,29/05/2014,2.9,0.0, ,26.4,17.4,99,59,4.49,13.16
GOLD COAST SEAWAY,30/05/2014,3.6,0.0, ,25.1,18.5,77,57,5.53,13.17
GOLD COAST SEAWAY,31/05/2014,1.6,3.6, ,21.7,17.0,99,76,4.00,8.25
Totals:,,83,39.8, ,,,,,, 
