'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for June 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/06/2014,2.2,12.0, ,23.2,16.3,99,64,2.74,13.15
GOLD COAST SEAWAY,02/06/2014,2.4,0.2, ,24.2,15.1,91,64,3.36,13.12
GOLD COAST SEAWAY,03/06/2014,2.1,0.0, ,25.4,16.8,99,67,2.63,11.88
GOLD COAST SEAWAY,04/06/2014,2.4,0.0, ,24.1,15.7,99,58,3.35,12.42
GOLD COAST SEAWAY,05/06/2014,2.9,0.0, ,24.9,14.3,91,50,4.12,10.29
GOLD COAST SEAWAY,06/06/2014,3.1,0.0, ,24.5,15.6,91,55,4.95,13.20
GOLD COAST SEAWAY,07/06/2014,3.4,0.0, ,23.1,15.6,82,49,5.40,13.45
GOLD COAST SEAWAY,08/06/2014,3.8,0.0, ,22.9,15.3,74,52,7.04,12.52
GOLD COAST SEAWAY,09/06/2014,4.1,0.0, ,21.8,16.1,71,52,8.30,11.95
GOLD COAST SEAWAY,10/06/2014,4.0,0.0, ,22.7,15.4,72,54,8.08,12.63
GOLD COAST SEAWAY,11/06/2014,3.6,0.0, ,22.1,15.5,77,51,6.79,10.19
GOLD COAST SEAWAY,12/06/2014,3.7,0.0, ,23.1,15.3,80,49,6.45,12.61
GOLD COAST SEAWAY,13/06/2014,1.5,4.4, ,19.9,15.8,99,73,3.00,8.93
GOLD COAST SEAWAY,14/06/2014,1.7,2.0, ,21.2,16.1,99,69,4.22,6.24
GOLD COAST SEAWAY,15/06/2014,3.5,0.2, ,21.2,12.7,83,35,5.06,13.84
GOLD COAST SEAWAY,16/06/2014,2.5,0.0, ,21.3,10.7,82,43,2.85,13.53
GOLD COAST SEAWAY,17/06/2014,2.9,0.0, ,22.2,10.5,87,39,3.48,13.66
GOLD COAST SEAWAY,18/06/2014,3.5,0.0, ,23.7,12.6,79,45,5.13,13.25
GOLD COAST SEAWAY,19/06/2014, ,0.2, , ,16.2,88,69,4.11,8.21
GOLD COAST SEAWAY,20/06/2014, , , ,22.7, ,87,56,3.13,9.04
GOLD COAST SEAWAY,21/06/2014,3.2,0.0, ,25.8,14.9,94,32,3.23,12.78
GOLD COAST SEAWAY,22/06/2014,3.2,0.4, ,23.9,15.0,98,35,4.21,13.08
GOLD COAST SEAWAY,23/06/2014,2.8,0.8, ,22.8,11.9,93,40,3.42,13.40
GOLD COAST SEAWAY,24/06/2014,3.6,0.0, ,21.4,14.2,96,25,5.48,7.91
GOLD COAST SEAWAY,25/06/2014,4.2,0.2, ,22.4,13.9,54,30,4.86,13.09
GOLD COAST SEAWAY,26/06/2014,3.4,0.0, ,22.4,10.5,76,29,3.82,13.81
GOLD COAST SEAWAY,27/06/2014,3.3,0.0, ,23.0,6.9,88,29,3.67,13.95
GOLD COAST SEAWAY,28/06/2014,3.1,0.0, ,24.1,14.4,92,51,5.28,12.34
GOLD COAST SEAWAY,29/06/2014,3.8,4.4, ,19.5,11.9,89,29,6.60,14.02
GOLD COAST SEAWAY,30/06/2014,3.5,0.0, ,19.4,7.9,74,28,4.67,13.61
Totals:,,87.4,24.8, ,,,,,, 
