'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/08/2014,3.9,0.0, ,25.5,13.8,94,42,5.04,15.29
GOLD COAST SEAWAY,02/08/2014,4.9,0.0, ,19.9,11.4,59,20,6.08,16.14
GOLD COAST SEAWAY,03/08/2014,3.1,0.0, ,20.4,12.4,92,54,6.91,13.30
GOLD COAST SEAWAY,04/08/2014, ,4.2, , ,13.6,95,57,6.16,11.44
GOLD COAST SEAWAY,05/08/2014, , , ,21.0, ,86,49,5.75,13.96
GOLD COAST SEAWAY,06/08/2014,3.3,0.2, ,21.6,11.8,81,48,4.77,13.99
GOLD COAST SEAWAY,07/08/2014,3.5,0.0, ,23.0,11.2,84,36,3.59,16.32
GOLD COAST SEAWAY,08/08/2014,3.1,0.0, ,22.5,11.6,82,52,4.33,12.63
GOLD COAST SEAWAY,09/08/2014,2.7,0.0, ,21.8,13.4,87,60,4.72,10.02
GOLD COAST SEAWAY,10/08/2014,3.7,0.0, ,24.2,12.5,89,41,4.31,15.03
GOLD COAST SEAWAY,11/08/2014,4.0,0.0, ,23.1,11.1,94,37,5.28,16.49
GOLD COAST SEAWAY,12/08/2014,3.9,0.0, ,20.6,13.3,77,52,7.86,15.22
GOLD COAST SEAWAY,13/08/2014,4.2,0.0, ,21.4,13.7,76,49,7.70,16.29
GOLD COAST SEAWAY,14/08/2014,3.7,0.0, ,21.2,13.1,79,54,7.04,15.02
GOLD COAST SEAWAY,15/08/2014,3.5,0.0, ,21.4,13.3,88,53,6.71,13.77
GOLD COAST SEAWAY,16/08/2014,1.3,1.8, ,18.5,14.2,100,80,6.87,4.46
GOLD COAST SEAWAY,17/08/2014,4.4,85.6, ,22.6,16.0,100,25,5.74,16.03
GOLD COAST SEAWAY,18/08/2014,4.7,0.0, ,20.3,12.5,71,36,7.33,17.38
GOLD COAST SEAWAY,19/08/2014,4.6,0.0, ,24.1,14.1,76,31,4.92,16.48
GOLD COAST SEAWAY,20/08/2014,4.4,0.0, ,22.4,11.8,84,42,6.88,17.66
GOLD COAST SEAWAY,21/08/2014,4.1,0.0, ,21.3,14.4,83,55,10.19,16.03
GOLD COAST SEAWAY,22/08/2014,1.6,2.6, ,17.0,14.6,100,71,7.93,4.24
GOLD COAST SEAWAY,23/08/2014,1.6,47.4, ,17.2,14.4,100,78,9.83,7.34
GOLD COAST SEAWAY,24/08/2014,3.2,21.2, ,21.5,14.5,100,58,8.78,13.78
GOLD COAST SEAWAY,25/08/2014,4.2,0.2, ,22.4,15.5,80,53,7.42,16.67
GOLD COAST SEAWAY,26/08/2014,3.6,0.0, ,22.9,12.3,89,56,5.78,17.00
GOLD COAST SEAWAY,27/08/2014,3.1,0.0, ,22.6,11.8,92,49,4.19,10.95
GOLD COAST SEAWAY,28/08/2014,4.2,9.8, ,21.9,12.0,99,45,9.11,15.78
GOLD COAST SEAWAY,29/08/2014,4.4,0.0, ,21.7,12.0,72,43,5.53,18.89
GOLD COAST SEAWAY,30/08/2014,4.1,0.0, ,23.1,10.6,81,41,4.45,17.73
GOLD COAST SEAWAY,31/08/2014,3.9,0.0, ,23.4,13.4,89,50,4.41,19.16
Totals:,,104.9,173, ,,,,,, 
