'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for September 2014,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/09/2014,3.7,0.0, ,24.1,14.8,89,60,4.79,18.62
GOLD COAST SEAWAY,02/09/2014,5.5,0.0, ,25.3,16.1,82,24,5.89,15.73
GOLD COAST SEAWAY,03/09/2014,6.6,0.0, ,22.9,12.4,47,20,6.98,20.55
GOLD COAST SEAWAY,04/09/2014,4.4,0.0, ,21.3,10.3,71,28,3.91,20.62
GOLD COAST SEAWAY,05/09/2014,4.6,0.0, ,21.8,10.6,83,40,6.23,19.96
GOLD COAST SEAWAY,06/09/2014,4.9,0.0, ,22.8,12.6,69,47,7.63,16.60
GOLD COAST SEAWAY,07/09/2014,3.7,0.2, ,21.5,15.0,91,56,7.36,15.72
GOLD COAST SEAWAY,08/09/2014,2.9,2.2, ,21.3,14.6,93,64,6.02,12.58
GOLD COAST SEAWAY,09/09/2014,3.5,1.6, ,23.0,13.3,94,59,4.44,18.19
GOLD COAST SEAWAY,10/09/2014,4.0,0.0, ,25.3,15.4,98,53,4.67,18.50
GOLD COAST SEAWAY,11/09/2014,4.2,0.0, ,24.6,11.9,95,40,3.33,21.41
GOLD COAST SEAWAY,12/09/2014,3.8,0.0, ,24.3,14.5,96,61,4.67,20.65
GOLD COAST SEAWAY,13/09/2014,3.7,0.0, ,24.2,17.5,96,53,4.79,15.86
GOLD COAST SEAWAY,14/09/2014,3.7,0.6, ,23.1,14.3,99,54,3.64,19.99
GOLD COAST SEAWAY,15/09/2014,4.6,0.2, ,25.9,14.2,99,42,4.74,20.67
GOLD COAST SEAWAY,16/09/2014, ,3.8, , ,15.0,99,40,4.92,21.33
GOLD COAST SEAWAY,17/09/2014, , , ,28.4, ,81,17,5.17,22.74
GOLD COAST SEAWAY,18/09/2014,4.7,0.0, ,24.2,11.8,84,31,3.36,22.88
GOLD COAST SEAWAY,19/09/2014,4.3,0.0, ,23.6,12.8,89,47,4.34,20.89
GOLD COAST SEAWAY,20/09/2014,3.9,6.4, ,22.2,14.8,99,57,7.03,20.43
GOLD COAST SEAWAY,21/09/2014,4.6,0.2, ,22.9,13.8,93,50,7.40,21.60
GOLD COAST SEAWAY,22/09/2014,3.7,1.8, ,22.1,15.1,100,60,8.93,18.07
GOLD COAST SEAWAY,23/09/2014,4.7,24.2, ,23.4,15.5,73,51,6.53,17.34
GOLD COAST SEAWAY,24/09/2014,3.7,0.8, ,23.8,15.2,94,53,3.62,17.91
GOLD COAST SEAWAY,25/09/2014,3.5,0.2, ,24.4,17.3,99,49,4.54,12.42
GOLD COAST SEAWAY,26/09/2014,3.6,5.2, ,24.4,15.7,99,54,6.13,12.66
GOLD COAST SEAWAY,27/09/2014,3.5,0.4, ,23.6,15.5,100,57,4.38,16.12
GOLD COAST SEAWAY,28/09/2014,4.1,17.0, ,23.5,14.8,99,53,5.02,20.52
GOLD COAST SEAWAY,29/09/2014,4.8,0.2, ,24.2,14.6,86,50,4.87,23.22
GOLD COAST SEAWAY,30/09/2014,5.4,0.0, ,25.5,15.2,87,41,5.53,23.25
Totals:,,118.3,65, ,,,,,, 
