'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for October 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 November 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/10/2014,6.8,0.0, ,29.2,17.3,91,40,8.65,23.65
GOLD COAST SEAWAY,02/10/2014,5.0,0.0, ,24.0,17.1,77,48,6.10,19.08
GOLD COAST SEAWAY,03/10/2014,4.9,0.0, ,24.2,14.2,84,50,5.18,24.01
GOLD COAST SEAWAY,04/10/2014,5.1,0.0, ,25.5,19.5,76,51,5.88,18.95
GOLD COAST SEAWAY,05/10/2014,5.8,0.0, ,27.2,16.1,85,38,4.98,23.94
GOLD COAST SEAWAY,06/10/2014,4.8,0.0, ,25.4,15.3,93,53,4.78,24.38
GOLD COAST SEAWAY,07/10/2014,5.8,0.0, ,26.9,15.1,95,34,5.19,24.43
GOLD COAST SEAWAY,08/10/2014,4.5,0.0, ,24.5,18.9,99,64,7.45,24.70
GOLD COAST SEAWAY,09/10/2014,5.7,0.0, ,24.8,18.6,77,52,9.02,20.38
GOLD COAST SEAWAY,10/10/2014,5.0,0.0, ,24.8,16.5,79,49,3.83,24.30
GOLD COAST SEAWAY,11/10/2014,4.9,0.0, ,25.5,18.4,75,52,4.19,21.06
GOLD COAST SEAWAY,12/10/2014,5.0,0.0, ,25.2,17.7,84,51,3.88,24.59
GOLD COAST SEAWAY,13/10/2014,5.3,0.0, ,25.6,17.1,88,50,6.20,23.34
GOLD COAST SEAWAY,14/10/2014,7.1,1.0, ,27.2,17.7,92,16,6.84,21.93
GOLD COAST SEAWAY,15/10/2014,6.5,0.0, ,26.4,12.6,69,23,4.66,25.80
GOLD COAST SEAWAY,16/10/2014,4.8,0.0, ,24.6,13.8,88,55,4.43,24.73
GOLD COAST SEAWAY,17/10/2014,6.0,0.0, ,27.9,15.1,96,36,5.26,24.11
GOLD COAST SEAWAY,18/10/2014,6.0,0.0, ,25.4,16.9,76,51,8.49,24.33
GOLD COAST SEAWAY,19/10/2014,5.8,0.0, ,25.1,15.9,76,49,5.87,26.61
GOLD COAST SEAWAY,20/10/2014,5.4,0.0, ,24.7,14.8,83,49,4.90,27.20
GOLD COAST SEAWAY,21/10/2014,4.9,0.6, ,25.7,18.1,95,55,9.46,18.92
GOLD COAST SEAWAY,22/10/2014,5.6,0.0, ,25.3,16.2,81,47,6.84,22.39
GOLD COAST SEAWAY,23/10/2014,5.7,0.0, ,25.1,15.3,80,47,4.71,27.72
GOLD COAST SEAWAY,24/10/2014,5.7,0.0, ,25.5,17.5,79,52,5.19,26.54
GOLD COAST SEAWAY,25/10/2014,6.0,0.0, ,26.4,18.3,83,50,5.90,27.13
GOLD COAST SEAWAY,26/10/2014,5.7,0.0, ,27.3,19.0,88,59,5.89,27.28
GOLD COAST SEAWAY,27/10/2014,6.7,0.0, ,31.0,20.8,90,47,6.49,24.90
GOLD COAST SEAWAY,28/10/2014,6.8,0.0, ,26.8,22.7,90,30,6.06,26.46
GOLD COAST SEAWAY,29/10/2014,5.6,0.0, ,27.2,17.1,96,56,6.82,27.49
GOLD COAST SEAWAY,30/10/2014,5.4,0.0, ,27.1,17.6,91,55,3.67,27.55
GOLD COAST SEAWAY,31/10/2014, ,0.0, , ,19.6,97,61,4.70,24.75
Totals:,,168.3,1.6, ,,,,,, 
