'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for November 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 December 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/11/2014, , , ,28.6, ,85,54,6.94,22.32
GOLD COAST SEAWAY,02/11/2014,4.9,0.0, ,27.0,21.7,84,57,7.25,15.26
GOLD COAST SEAWAY,03/11/2014,4.9,0.0, ,24.9,19.5,76,51,7.85,11.63
GOLD COAST SEAWAY,04/11/2014,6.5,0.0, ,26.3,19.9,71,44,5.55,26.05
GOLD COAST SEAWAY,05/11/2014,6.2,0.0, ,26.1,18.6,76,46,4.88,27.99
GOLD COAST SEAWAY,06/11/2014,5.9,0.2, ,26.9,18.1,99,40,5.55,25.02
GOLD COAST SEAWAY,07/11/2014,4.3,4.2, ,26.8,19.1,100,70,5.62,22.29
GOLD COAST SEAWAY,08/11/2014,6.3,0.0, ,26.9,19.6,86,54,6.96,29.27
GOLD COAST SEAWAY,09/11/2014,5.9,0.0, ,26.8,17.1,90,50,3.97,29.88
GOLD COAST SEAWAY,10/11/2014,6.1,0.0, ,27.2,19.2,86,51,5.31,28.09
GOLD COAST SEAWAY,11/11/2014,5.6,0.0, ,27.8,19.0,86,53,4.10,25.68
GOLD COAST SEAWAY,12/11/2014,4.5,0.4, ,26.7,20.6,92,63,6.14,18.52
GOLD COAST SEAWAY,13/11/2014,2.4,0.0, ,27.5,20.4,98,76,4.59,8.13
GOLD COAST SEAWAY,14/11/2014,7.0,0.8, ,29.5,21.3,91,43,6.14,28.30
GOLD COAST SEAWAY,15/11/2014,7.4,0.0, ,32.3,21.6,89,44,6.32,27.48
GOLD COAST SEAWAY,16/11/2014,4.8,0.0, ,28.5,21.0,99,65,5.14,22.21
GOLD COAST SEAWAY,17/11/2014,5.6,0.0, ,27.6,20.0,100,59,4.53,28.34
GOLD COAST SEAWAY,18/11/2014,3.2,0.6, ,27.6,20.1,100,71,3.52,13.48
GOLD COAST SEAWAY,19/11/2014,3.2,1.6, ,28.1,22.3,100,74,3.63,14.14
GOLD COAST SEAWAY,20/11/2014,4.2,2.4, ,27.7,20.0,99,68,4.68,19.25
GOLD COAST SEAWAY,21/11/2014,4.6,0.2, ,29.0,21.9,100,70,6.23,21.87
GOLD COAST SEAWAY,22/11/2014,5.1,0.2, ,28.5,21.5,100,66,6.07,24.66
GOLD COAST SEAWAY,23/11/2014,5.6,0.0, ,28.5,21.0,99,61,5.59,27.13
GOLD COAST SEAWAY,24/11/2014,6.9,0.0, ,29.8,20.8,99,44,6.12,28.98
GOLD COAST SEAWAY,25/11/2014,6.7,0.0, ,28.6,21.3,96,42,5.80,28.54
GOLD COAST SEAWAY,26/11/2014,4.4,0.0, ,28.0,20.2,99,64,3.09,20.48
GOLD COAST SEAWAY,27/11/2014,4.3,0.0, ,27.9,20.2,99,65,4.48,19.65
GOLD COAST SEAWAY,28/11/2014,4.6,12.6, ,26.3,19.6,100,61,7.82,20.03
GOLD COAST SEAWAY,29/11/2014,6.8,1.4, ,27.5,18.7,86,44,5.34,31.39
GOLD COAST SEAWAY,30/11/2014,6.4,0.0, ,27.5,17.4,85,46,4.08,30.76
Totals:,,154.3,24.6, ,,,,,, 
