'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for December 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 January 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/12/2014,6.4,0.0, ,28.1,19.2,85,47,5.25,27.61
GOLD COAST SEAWAY,02/12/2014,5.4,0.0, ,28.7,21.7,79,53,4.32,20.41
GOLD COAST SEAWAY,03/12/2014,5.8,0.0, ,28.5,19.8,95,59,4.40,28.66
GOLD COAST SEAWAY,04/12/2014,5.0,0.0, ,28.3,21.3,99,61,4.69,23.21
GOLD COAST SEAWAY,05/12/2014,4.7,0.0, ,29.1,21.2,96,43,4.34,14.75
GOLD COAST SEAWAY,06/12/2014,2.4,3.2, ,25.3,20.5,100,84,3.64,11.18
GOLD COAST SEAWAY,07/12/2014,4.2,9.6, ,26.2,20.8,100,77,4.01,22.86
GOLD COAST SEAWAY,08/12/2014,3.0,5.6, ,27.0,21.3,100,74,4.49,12.54
GOLD COAST SEAWAY,09/12/2014,6.2,36.0, ,31.7,19.3,100,48,5.41,23.49
GOLD COAST SEAWAY,10/12/2014,5.2,43.0, ,27.8,19.5,100,71,2.11,28.20
GOLD COAST SEAWAY,11/12/2014,2.8,0.0, ,28.8,21.2,100,69,4.31,9.04
GOLD COAST SEAWAY,12/12/2014,3.8,17.0, ,25.8,19.4,100,59,9.57,9.96
GOLD COAST SEAWAY,13/12/2014,4.0,0.0, ,23.4,19.0,78,64,10.27,7.96
GOLD COAST SEAWAY,14/12/2014,6.4,0.0, ,26.5,19.4,76,55,9.06,24.26
GOLD COAST SEAWAY,15/12/2014,6.9,0.0, ,27.7,17.9,77,48,5.77,30.68
GOLD COAST SEAWAY,16/12/2014,6.6,0.0, ,28.8,18.8,80,53,5.01,29.70
GOLD COAST SEAWAY,17/12/2014,8.5,0.8, ,36.9,22.6,100,32,4.71,29.59
GOLD COAST SEAWAY,18/12/2014,5.1,0.0, ,30.9,23.9,99,66,5.82,21.60
GOLD COAST SEAWAY,19/12/2014,7.5,15.2, ,32.1,20.3,100,36,5.43,28.93
GOLD COAST SEAWAY,20/12/2014,7.2,0.2, ,28.8,22.0,77,53,7.04,29.25
GOLD COAST SEAWAY,21/12/2014,5.9,0.0, ,28.9,22.8,74,51,5.49,19.54
GOLD COAST SEAWAY,22/12/2014,7.6,0.0, ,29.0,22.1,72,48,6.09,31.41
GOLD COAST SEAWAY,23/12/2014,6.7,0.0, ,29.0,20.0,76,51,4.04,29.99
GOLD COAST SEAWAY,24/12/2014,6.2,0.0, ,28.5,21.6,77,57,4.54,27.27
GOLD COAST SEAWAY,25/12/2014,6.2,0.0, ,29.0,23.6,76,55,4.72,24.55
GOLD COAST SEAWAY,26/12/2014,5.8,0.2, ,31.3,23.1,92,56,4.89,22.83
GOLD COAST SEAWAY,27/12/2014,1.5,35.4, ,24.3,20.7,100,79,5.15,3.22
GOLD COAST SEAWAY,28/12/2014,1.8,25.0, ,25.2,20.1,100,82,2.89,6.83
GOLD COAST SEAWAY,29/12/2014,2.9,4.6, ,29.2,21.7,100,79,3.40,12.65
GOLD COAST SEAWAY,30/12/2014,7.9,0.0, ,35.4,23.1,100,28,4.03,28.96
GOLD COAST SEAWAY,31/12/2014,6.1,0.2, ,30.7,23.5,100,67,4.45,29.61
Totals:,,165.7,196, ,,,,,, 
