'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/01/2015,5.6,47.2, ,30.9,21.4,100,67,4.58,27.01
GOLD COAST SEAWAY,02/01/2015,5.8,0.0, ,30.1,24.6,90,65,5.05,25.54
GOLD COAST SEAWAY,03/01/2015,5.7,0.0, ,30.1,24.0,85,62,5.35,22.30
GOLD COAST SEAWAY,04/01/2015,6.5,0.2, ,30.1,22.4,90,54,5.40,27.53
GOLD COAST SEAWAY,05/01/2015,4.1,7.2, ,28.0,21.6,98,71,5.87,18.68
GOLD COAST SEAWAY,06/01/2015,7.0,7.0, ,29.3,22.8,86,55,9.05,27.78
GOLD COAST SEAWAY,07/01/2015,3.9,4.2, ,26.4,21.1,99,63,7.43,14.25
GOLD COAST SEAWAY,08/01/2015,4.1,3.8, ,27.7,20.6,99,66,3.53,18.49
GOLD COAST SEAWAY,09/01/2015,6.0,2.0, ,29.6,20.7,99,63,4.75,30.02
GOLD COAST SEAWAY,10/01/2015, ,0.6, , ,22.7,94,58,4.91,29.67
GOLD COAST SEAWAY,11/01/2015, , , ,28.0, ,100,76,5.03,10.35
GOLD COAST SEAWAY,12/01/2015,3.4,42.4, ,29.1,21.9,100,74,4.01,14.60
GOLD COAST SEAWAY,13/01/2015,2.7,2.0, ,27.2,22.9,100,78,5.40,11.32
GOLD COAST SEAWAY,14/01/2015,4.0,2.6, ,29.4,23.1,90,62,5.45,12.00
GOLD COAST SEAWAY,15/01/2015,9.1,0.4, ,36.5,24.7,91,32,6.36,28.47
GOLD COAST SEAWAY,16/01/2015,6.5,0.0, ,30.9,22.4,92,62,3.99,30.63
GOLD COAST SEAWAY,17/01/2015,6.4,0.0, ,31.6,23.6,100,55,3.55,29.20
GOLD COAST SEAWAY,18/01/2015,6.3,0.0, ,32.2,25.3,100,68,3.02,29.66
GOLD COAST SEAWAY,19/01/2015,4.9,0.0, ,30.8,24.8,100,63,7.13,18.09
GOLD COAST SEAWAY,20/01/2015,4.9,36.4, ,27.9,19.2,99,57,5.53,20.82
GOLD COAST SEAWAY,21/01/2015,6.2,1.8, ,30.2,20.5,91,55,5.19,26.62
GOLD COAST SEAWAY,22/01/2015,3.3,0.4, ,28.9,23.0,100,70,5.27,11.85
GOLD COAST SEAWAY,23/01/2015,0.6,73.4, ,25.7,22.0,100,99,8.79,2.46
GOLD COAST SEAWAY,24/01/2015, ,155.8, , ,19.4,100,70,6.11,25.50
GOLD COAST SEAWAY,25/01/2015, , , ,33.4, ,98,53,4.49,29.05
GOLD COAST SEAWAY,26/01/2015,5.9,0.0, ,30.8,22.5,92,62,6.25,24.53
GOLD COAST SEAWAY,27/01/2015,6.6,0.0, ,30.3,25.3,82,57,6.49,25.71
GOLD COAST SEAWAY,28/01/2015,4.9,0.8, ,27.9,20.9,83,58,8.32,12.45
GOLD COAST SEAWAY,29/01/2015,7.2,0.0, ,29.4,21.0,70,49,7.94,24.16
GOLD COAST SEAWAY,30/01/2015,5.8,0.0, ,28.8,19.9,85,50,4.69,23.73
GOLD COAST SEAWAY,31/01/2015,6.4,0.0, ,31.5,21.4,92,53,5.51,25.90
Totals:,,143.8,388.2, ,,,,,, 
