'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for February 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/02/2015,5.8,18.2, ,30.0,18.8,92,64,3.72,29.31
GOLD COAST SEAWAY,02/02/2015,3.6,14.2, ,26.9,20.9,100,70,7.34,15.36
GOLD COAST SEAWAY,03/02/2015,5.1,1.2, ,28.5,21.3,100,60,9.49,19.83
GOLD COAST SEAWAY,04/02/2015,6.9,7.2, ,28.2,20.6,74,57,9.28,27.54
GOLD COAST SEAWAY,05/02/2015,6.9,0.0, ,28.9,21.0,86,52,9.21,26.86
GOLD COAST SEAWAY,06/02/2015,6.4,5.2, ,27.8,20.5,99,50,9.76,27.44
GOLD COAST SEAWAY,07/02/2015,6.0,1.2, ,28.8,20.2,84,56,6.20,24.55
GOLD COAST SEAWAY,08/02/2015,5.8,0.2, ,29.2,20.1,96,56,3.18,28.73
GOLD COAST SEAWAY,09/02/2015,6.5,0.0, ,30.2,20.8,93,55,6.89,28.36
GOLD COAST SEAWAY,10/02/2015, ,8.0, , ,20.9,99,64,9.82,21.36
GOLD COAST SEAWAY,11/02/2015, , , ,29.2, ,100,54,7.78,23.33
GOLD COAST SEAWAY,12/02/2015,5.9,24.6, ,29.7,21.0,99,58,7.37,26.53
GOLD COAST SEAWAY,13/02/2015,4.8,2.0, ,28.2,21.1,97,66,7.70,21.58
GOLD COAST SEAWAY,14/02/2015,6.3,0.4, ,29.6,20.9,80,52,5.28,25.56
GOLD COAST SEAWAY,15/02/2015,4.7,0.8, ,29.0,21.1,92,58,1.11,23.62
GOLD COAST SEAWAY,16/02/2015,5.5,6.6, ,29.0,20.6,94,56,3.35,26.69
GOLD COAST SEAWAY,17/02/2015,4.9,0.2, ,29.2,22.2,90,55,1.65,23.57
GOLD COAST SEAWAY,18/02/2015,3.7,0.6, ,29.5,22.1,100,63,2.01,16.11
GOLD COAST SEAWAY,19/02/2015,1.9,21.2, ,25.8,23.1,100,78,7.26,4.70
GOLD COAST SEAWAY,20/02/2015,1.1,111.2, ,24.5,22.0,100,83,2.82,2.45
GOLD COAST SEAWAY,21/02/2015,1.0,38.6, ,24.4,21.0,100,80,0.97,2.61
GOLD COAST SEAWAY,22/02/2015,3.1,49.2, ,27.1,22.5,100,81,5.34,15.16
GOLD COAST SEAWAY,23/02/2015,4.2,5.2, ,28.0,23.1,100,73,2.19,21.28
GOLD COAST SEAWAY,24/02/2015, ,6.0, , ,21.9,100,69,4.57,24.29
GOLD COAST SEAWAY,25/02/2015, , , ,28.7, ,100,66,7.68,25.39
GOLD COAST SEAWAY,26/02/2015,5.2,0.0, ,29.3,20.9,97,58,3.97,24.38
GOLD COAST SEAWAY,27/02/2015,4.7,0.0, ,29.8,22.8,90,59,4.19,18.29
GOLD COAST SEAWAY,28/02/2015,4.8,23.2, ,28.9,21.5,100,69,4.11,24.60
Totals:,,114.8,345.2, ,,,,,, 
