'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for April 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 May 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/04/2015,2.5,128.4, ,25.9,19.0,100,71,7.95,6.66
GOLD COAST SEAWAY,02/04/2015,3.1,6.4, ,27.0,19.3,100,71,6.66,13.32
GOLD COAST SEAWAY,03/04/2015,3.5,80.2, ,28.3,21.0,100,69,6.27,14.45
GOLD COAST SEAWAY,04/04/2015,2.9,5.0, ,27.5,21.9,100,73,4.04,12.88
GOLD COAST SEAWAY,05/04/2015,4.2,6.8, ,29.4,22.0,100,48,3.48,16.97
GOLD COAST SEAWAY,06/04/2015,4.8,0.2, ,29.4,18.3,99,45,3.93,20.80
GOLD COAST SEAWAY,07/04/2015,4.5,0.0, ,27.9,23.5,95,41,4.88,14.40
GOLD COAST SEAWAY,08/04/2015,5.6,0.0, ,26.8,13.6,62,24,4.07,21.25
GOLD COAST SEAWAY,09/04/2015,5.2,0.0, ,26.9,14.7,77,39,4.79,20.66
GOLD COAST SEAWAY,10/04/2015,5.7,0.0, ,26.7,18.5,75,44,7.10,19.55
GOLD COAST SEAWAY,11/04/2015,4.6,0.0, ,26.8,19.4,78,57,6.74,15.39
GOLD COAST SEAWAY,12/04/2015,4.0,0.0, ,27.4,17.9,86,54,3.60,18.06
GOLD COAST SEAWAY,13/04/2015,4.5,0.0, ,27.0,18.8,86,53,6.31,16.37
GOLD COAST SEAWAY,14/04/2015,4.5,0.0, ,27.8,18.0,80,50,4.97,16.47
GOLD COAST SEAWAY,15/04/2015,3.9,0.0, ,27.4,18.3,89,52,3.65,17.04
GOLD COAST SEAWAY,16/04/2015,4.0,0.0, ,27.2,18.1,89,52,3.32,18.87
GOLD COAST SEAWAY,17/04/2015,3.9,0.0, ,27.9,18.5,92,59,3.87,18.30
GOLD COAST SEAWAY,18/04/2015,4.4,0.0, ,28.9,19.5,88,53,5.03,16.44
GOLD COAST SEAWAY,19/04/2015,4.0,0.0, ,28.9,20.3,89,51,4.05,14.44
GOLD COAST SEAWAY,20/04/2015,1.3,19.4, ,22.1,19.6,100,77,3.34,3.77
GOLD COAST SEAWAY,21/04/2015,4.4,2.8, ,22.5,15.5,96,32,5.91,17.65
GOLD COAST SEAWAY,22/04/2015,4.0,0.0, ,24.4,12.2,83,40,3.95,17.68
GOLD COAST SEAWAY,23/04/2015,3.5,0.0, ,24.7,13.3,86,46,2.96,17.05
GOLD COAST SEAWAY,24/04/2015,4.0,0.0, ,27.8,17.0,85,39,3.27,15.84
GOLD COAST SEAWAY,25/04/2015,4.3,0.0, ,28.7,15.8,99,26,3.07,17.87
GOLD COAST SEAWAY,26/04/2015, ,0.0, , ,15.6,90,27,6.36,18.66
GOLD COAST SEAWAY,27/04/2015, , , ,25.0, ,76,41,3.79,17.63
GOLD COAST SEAWAY,28/04/2015,4.9,0.0, ,25.6,16.1,78,45,6.67,17.43
GOLD COAST SEAWAY,29/04/2015,3.3,3.8, ,23.3,16.4,90,61,6.72,13.65
GOLD COAST SEAWAY,30/04/2015, ,50.6, , ,16.5,100,78,7.46,3.23
Totals:,,109.5,303.6, ,,,,,, 
