'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for May 2015,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/05/2015, , , ,23.1, ,100,66,12.26,2.65
GOLD COAST SEAWAY,02/05/2015,3.5,83.6, ,25.7,15.2,99,53,4.28,17.06
GOLD COAST SEAWAY,03/05/2015,2.8,0.0, ,25.3,17.3,99,58,3.30,12.93
GOLD COAST SEAWAY,04/05/2015,3.1,0.4, ,25.8,16.2,99,55,3.10,15.77
GOLD COAST SEAWAY,05/05/2015,3.1,0.0, ,27.1,17.3,99,60,3.29,15.97
GOLD COAST SEAWAY,06/05/2015,3.2,0.0, ,27.4,17.2,100,50,2.48,16.39
GOLD COAST SEAWAY,07/05/2015,3.7,0.2, ,26.0,13.4,85,56,5.01,16.12
GOLD COAST SEAWAY,08/05/2015,3.8,0.0, ,24.2,14.2,89,42,4.58,16.41
GOLD COAST SEAWAY,09/05/2015,3.8,0.0, ,23.7,14.0,88,33,4.26,14.47
GOLD COAST SEAWAY,10/05/2015,4.1,0.0, ,24.3,12.4,81,32,4.38,16.30
GOLD COAST SEAWAY,11/05/2015,4.9,0.0, ,25.0,14.8,60,35,5.23,16.22
GOLD COAST SEAWAY,12/05/2015,3.1,0.0, ,24.7,12.6,91,44,2.82,15.79
GOLD COAST SEAWAY,13/05/2015,3.6,0.0, ,24.1,13.8,88,35,3.78,15.97
GOLD COAST SEAWAY,14/05/2015,4.1,0.0, ,21.5,10.0,62,29,4.48,15.95
GOLD COAST SEAWAY,15/05/2015,4.3,0.0, ,23.6,10.9,78,41,6.33,14.83
GOLD COAST SEAWAY,16/05/2015,3.4,0.2, ,23.5,16.5,100,54,8.37,11.69
GOLD COAST SEAWAY,17/05/2015,2.9,4.8, ,23.5,16.4,100,63,8.22,12.22
GOLD COAST SEAWAY,18/05/2015,2.0,13.0, ,23.4,17.3,100,79,7.60,11.11
GOLD COAST SEAWAY,19/05/2015,1.6,1.2, ,23.3,16.8,100,84,3.76,9.81
GOLD COAST SEAWAY,20/05/2015,2.5,0.0, ,25.3,16.5,100,68,3.49,13.85
GOLD COAST SEAWAY,21/05/2015, ,0.0, , ,19.2,100,88,3.99,8.46
GOLD COAST SEAWAY,22/05/2015, , , ,20.4, ,100,39,5.57,15.06
GOLD COAST SEAWAY,23/05/2015,4.3,0.2, ,22.4,15.6,77,47,8.43,13.58
GOLD COAST SEAWAY,24/05/2015,3.6,0.0, ,23.3,15.2,80,54,6.11,14.14
GOLD COAST SEAWAY,25/05/2015,3.0,0.0, ,23.7,14.6,100,52,4.90,13.58
GOLD COAST SEAWAY,26/05/2015,2.4,0.0, ,23.8,14.5,100,59,3.91,11.59
GOLD COAST SEAWAY,27/05/2015,2.0,0.0, ,23.3,16.3,100,75,3.44,12.88
GOLD COAST SEAWAY,28/05/2015,2.9,0.0, ,23.4,14.9,100,33,3.05,13.61
GOLD COAST SEAWAY,29/05/2015,3.3,0.0, ,25.2,14.6,100,29,3.43,12.96
GOLD COAST SEAWAY,30/05/2015,1.9,0.0, ,24.2,16.0,100,82,2.76,13.05
GOLD COAST SEAWAY,31/05/2015,1.5,0.0, ,23.7,17.8,100,87,4.38,9.60
Totals:,,88.4,103.6, ,,,,,, 
