'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for July 2015,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 August 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/07/2015,2.2,0.0, ,22.2,14.0,100,55,3.01,11.93
GOLD COAST SEAWAY,02/07/2015,2.6,0.0, ,21.0,12.9,100,46,4.14,12.09
GOLD COAST SEAWAY,03/07/2015,3.2,0.0, ,20.0,8.9,73,44,5.15,13.75
GOLD COAST SEAWAY,04/07/2015,2.4,0.0, ,21.7,12.0,92,54,3.60,12.82
GOLD COAST SEAWAY,05/07/2015,2.7,0.0, ,22.8,11.2,100,39,3.33,13.13
GOLD COAST SEAWAY,06/07/2015,3.0,0.0, ,22.8,12.0,99,41,4.17,13.83
GOLD COAST SEAWAY,07/07/2015,3.9,0.0, ,21.5,11.4,87,25,5.21,14.30
GOLD COAST SEAWAY,08/07/2015,2.9,0.0, ,20.0,12.8,88,56,6.46,12.76
GOLD COAST SEAWAY,09/07/2015,2.6,0.0, ,20.3,12.9,84,60,5.27,11.16
GOLD COAST SEAWAY,10/07/2015,2.3,0.0, ,20.8,11.0,92,57,4.14,11.04
GOLD COAST SEAWAY,11/07/2015,2.1,1.0, ,21.6,12.3,99,65,3.94,11.55
GOLD COAST SEAWAY,12/07/2015,3.8,0.0, ,18.4,12.9,96,24,7.21,14.64
GOLD COAST SEAWAY,13/07/2015,4.3,0.0, ,17.5,9.7,58,36,8.29,13.86
GOLD COAST SEAWAY,14/07/2015,3.9,0.0, ,19.2,9.9,69,34,6.03,14.54
GOLD COAST SEAWAY,15/07/2015,2.3,0.0, ,17.9,6.2,80,41,2.90,11.95
GOLD COAST SEAWAY,16/07/2015,2.6,0.0, ,18.7,7.9,87,39,3.70,10.36
GOLD COAST SEAWAY,17/07/2015,3.7,0.0, ,15.8,7.4,67,40,8.54,14.67
GOLD COAST SEAWAY,18/07/2015,3.2,0.0, ,19.3,4.9,75,35,4.26,14.61
GOLD COAST SEAWAY,19/07/2015,3.0,0.0, ,20.9,10.0,81,60,6.59,12.70
GOLD COAST SEAWAY,20/07/2015,3.0,0.2, ,20.5,11.9,89,57,6.70,13.46
GOLD COAST SEAWAY,21/07/2015,2.6,6.4, ,20.1,13.0,99,56,6.57,11.11
GOLD COAST SEAWAY,22/07/2015,1.9,11.0, ,18.5,13.1,100,62,4.89,8.05
GOLD COAST SEAWAY,23/07/2015,0.9,23.2, ,20.1,15.4,100,94,5.00,6.44
GOLD COAST SEAWAY,24/07/2015,1.7,26.6, ,23.7,14.9,100,81,2.92,10.12
GOLD COAST SEAWAY,25/07/2015,2.5,8.8, ,24.1,16.7,100,50,3.26,10.38
GOLD COAST SEAWAY,26/07/2015,2.0,0.2, ,23.6,13.8,99,69,3.17,9.42
GOLD COAST SEAWAY,27/07/2015,3.1,0.2, ,21.6,15.5,97,40,4.22,14.10
GOLD COAST SEAWAY,28/07/2015,3.9,0.0, ,20.1,12.8,77,41,6.67,15.39
GOLD COAST SEAWAY,29/07/2015,3.5,0.0, ,21.1,10.4,81,37,4.41,15.54
GOLD COAST SEAWAY,30/07/2015,2.4,0.0, ,21.2,12.5,99,61,3.12,15.03
GOLD COAST SEAWAY,31/07/2015,3.4,0.0, ,23.5,12.5,100,34,3.81,15.25
Totals:,,87.6,77.6, ,,,,,, 
