'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for August 2015,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/08/2015,3.0,0.0, ,23.2,11.9,95,49,3.80,15.52
GOLD COAST SEAWAY,02/08/2015,3.4,0.0, ,23.8,12.5,100,45,4.49,15.72
GOLD COAST SEAWAY,03/08/2015,3.7,0.0, ,25.8,14.5,98,43,4.40,15.59
GOLD COAST SEAWAY,04/08/2015,3.0,0.0, ,21.3,15.1,99,53,6.11,12.66
GOLD COAST SEAWAY,05/08/2015,3.9,1.4, ,19.6,8.4,93,26,5.52,16.90
GOLD COAST SEAWAY,06/08/2015,3.3,0.0, ,18.7,8.9,80,35,3.94,16.50
GOLD COAST SEAWAY,07/08/2015,3.3,0.0, ,21.2,7.7,89,37,3.89,16.23
GOLD COAST SEAWAY,08/08/2015,3.4,0.0, ,21.1,9.7,86,41,4.10,16.63
GOLD COAST SEAWAY,09/08/2015,3.0,0.0, ,21.5,11.1,89,51,4.20,13.34
GOLD COAST SEAWAY,10/08/2015,3.4,0.0, ,22.7,11.4,99,44,4.41,16.37
GOLD COAST SEAWAY,11/08/2015,4.1,0.0, ,25.7,9.9,100,27,3.71,17.01
GOLD COAST SEAWAY,12/08/2015,4.4,0.0, ,23.7,14.5,90,26,5.39,13.96
GOLD COAST SEAWAY,13/08/2015,5.3,0.6, ,22.4,12.0,62,23,5.95,17.73
GOLD COAST SEAWAY,14/08/2015,3.3,0.0, ,20.1,8.5,82,35,3.16,17.57
GOLD COAST SEAWAY,15/08/2015,3.6,0.0, ,22.7,10.9,87,50,5.50,16.02
GOLD COAST SEAWAY,16/08/2015,2.8,0.0, ,21.2,13.2,82,60,4.29,11.33
GOLD COAST SEAWAY,17/08/2015,3.5,0.0, ,23.9,11.9,97,46,4.21,16.33
GOLD COAST SEAWAY,18/08/2015,3.4,0.0, ,22.0,10.5,100,38,3.55,17.93
GOLD COAST SEAWAY,19/08/2015,4.0,0.0, ,23.1,12.4,82,47,5.38,17.34
GOLD COAST SEAWAY,20/08/2015,3.2,0.0, ,22.8,12.3,97,55,5.82,13.41
GOLD COAST SEAWAY,21/08/2015,3.1,0.0, ,23.3,17.3,100,58,5.42,13.92
GOLD COAST SEAWAY,22/08/2015,2.3,18.8, ,22.9,16.8,100,76,3.53,13.42
GOLD COAST SEAWAY,23/08/2015,2.5,0.0, ,23.8,16.4,100,62,3.80,10.74
GOLD COAST SEAWAY,24/08/2015,2.5,0.0, ,23.6,17.8,99,71,4.14,12.40
GOLD COAST SEAWAY,25/08/2015,3.9,5.0, ,27.1,17.7,100,54,4.96,17.51
GOLD COAST SEAWAY,26/08/2015,4.3,0.0, ,27.4,16.9,100,38,4.06,18.01
GOLD COAST SEAWAY,27/08/2015,1.9,0.2, ,21.1,15.2,99,59,2.58,6.63
GOLD COAST SEAWAY,28/08/2015,2.8,4.2, ,21.9,14.6,100,61,3.23,16.57
GOLD COAST SEAWAY,29/08/2015,3.0,0.2, ,22.5,13.3,100,57,3.35,16.31
GOLD COAST SEAWAY,30/08/2015,3.6,5.6, ,22.0,15.6,100,48,4.95,18.26
GOLD COAST SEAWAY,31/08/2015,3.3,0.0, ,21.9,12.4,95,45,3.16,17.29
Totals:,,104.2,36, ,,,,,, 
