'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for September 2015,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/09/2015,4.6,0.0, ,24.4,10.9,87,24,3.68,20.28
GOLD COAST SEAWAY,02/09/2015,4.2,0.0, ,22.6,7.9,76,29,3.39,19.70
GOLD COAST SEAWAY,03/09/2015,5.5,6.6, ,24.5,15.8,100,23,7.48,16.57
GOLD COAST SEAWAY,04/09/2015,4.6,9.4, ,24.4,13.0,84,43,5.91,16.72
GOLD COAST SEAWAY,05/09/2015,3.4,0.0, ,22.9,13.3,90,60,4.29,18.15
GOLD COAST SEAWAY,06/09/2015,3.1,0.0, ,23.7,13.8,99,52,3.48,13.83
GOLD COAST SEAWAY,07/09/2015,3.0,5.2, ,23.8,14.7,99,62,3.87,14.24
GOLD COAST SEAWAY,08/09/2015,4.8,0.8, ,26.7,15.5,99,29,4.48,17.56
GOLD COAST SEAWAY,09/09/2015,4.6,0.2, ,22.4,10.8,77,34,4.49,21.37
GOLD COAST SEAWAY,10/09/2015,5.0,0.0, ,24.0,13.1,91,40,6.99,19.83
GOLD COAST SEAWAY,11/09/2015,4.1,0.0, ,22.5,15.3,83,58,8.00,16.32
GOLD COAST SEAWAY,12/09/2015,4.0,0.0, ,23.5,17.6,88,48,5.94,12.99
GOLD COAST SEAWAY,13/09/2015,3.7,0.0, ,24.5,14.0,90,58,4.99,16.59
GOLD COAST SEAWAY,14/09/2015, ,0.0, , ,13.6,86,53,4.60,20.61
GOLD COAST SEAWAY,15/09/2015, , , ,23.9, ,91,66,4.41,17.85
GOLD COAST SEAWAY,16/09/2015,4.8,0.0, ,27.3,15.4,98,43,5.18,18.78
GOLD COAST SEAWAY,17/09/2015,1.6,3.6, ,19.5,17.2,100,83,4.78,7.63
GOLD COAST SEAWAY,18/09/2015,3.6,3.2, ,21.0,12.4,99,56,8.98,15.49
GOLD COAST SEAWAY,19/09/2015,4.8,3.4, ,23.1,14.9,82,53,8.51,19.98
GOLD COAST SEAWAY,20/09/2015,4.1,0.0, ,23.3,14.4,99,53,6.79,18.60
GOLD COAST SEAWAY,21/09/2015,4.0,1.4, ,23.9,14.6,99,55,4.14,21.80
GOLD COAST SEAWAY,22/09/2015,6.0,0.6, ,28.4,14.5,91,29,5.28,21.07
GOLD COAST SEAWAY,23/09/2015,5.0,0.0, ,22.8,15.3,79,47,9.07,16.23
GOLD COAST SEAWAY,24/09/2015,6.0,0.0, ,22.1,11.2,60,34,7.67,22.71
GOLD COAST SEAWAY,25/09/2015,5.3,0.0, ,23.6,12.3,70,42,6.97,18.15
GOLD COAST SEAWAY,26/09/2015,4.5,0.0, ,23.7,14.8,83,53,6.95,17.99
GOLD COAST SEAWAY,27/09/2015,3.6,0.4, ,23.1,12.9,99,51,4.03,16.60
GOLD COAST SEAWAY,28/09/2015,3.9,4.6, ,23.9,12.7,99,58,4.57,20.93
GOLD COAST SEAWAY,29/09/2015,4.7,1.6, ,25.9,14.1,99,50,5.35,21.59
GOLD COAST SEAWAY,30/09/2015,4.8,0.0, ,25.8,14.9,90,50,4.26,23.58
Totals:,,121.3,41, ,,,,,, 
