'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for October 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/10/2015,4.1,0.0, ,25.0,14.8,99,63,2.89,23.90
GOLD COAST SEAWAY,02/10/2015,4.8,0.0, ,26.0,14.2,99,47,3.65,24.98
GOLD COAST SEAWAY,03/10/2015,4.9,0.0, ,26.0,16.6,94,56,4.78,25.02
GOLD COAST SEAWAY,04/10/2015,5.2,0.0, ,27.6,15.4,99,49,4.29,25.40
GOLD COAST SEAWAY,05/10/2015,4.7,0.0, ,27.1,14.4,99,53,2.59,25.48
GOLD COAST SEAWAY,06/10/2015,4.8,0.0, ,28.1,11.7,99,50,2.79,25.57
GOLD COAST SEAWAY,07/10/2015,4.8,0.0, ,27.2,12.8,99,61,5.61,25.46
GOLD COAST SEAWAY,08/10/2015,3.9,0.0, ,24.8,18.8,100,63,11.23,16.02
GOLD COAST SEAWAY,09/10/2015,3.5,9.6, ,24.1,17.8,100,64,8.85,14.41
GOLD COAST SEAWAY,10/10/2015,5.8,0.0, ,25.8,18.7,78,38,5.46,22.21
GOLD COAST SEAWAY,11/10/2015,5.2,0.2, ,25.6,16.2,87,46,4.48,24.59
GOLD COAST SEAWAY,12/10/2015,5.6,0.0, ,26.5,16.5,87,50,5.85,25.24
GOLD COAST SEAWAY,13/10/2015,4.6,0.0, ,27.3,18.8,99,60,5.26,21.24
GOLD COAST SEAWAY,14/10/2015,4.2,1.6, ,25.4,16.8,99,65,4.05,22.78
GOLD COAST SEAWAY,15/10/2015,4.5,1.4, ,26.5,17.3,100,66,5.15,24.55
GOLD COAST SEAWAY,16/10/2015,5.2,0.0, ,26.7,16.7,99,49,4.36,25.60
GOLD COAST SEAWAY,17/10/2015,4.9,0.0, ,26.2,16.6,99,58,4.19,26.38
GOLD COAST SEAWAY,18/10/2015,5.2,0.0, ,27.5,18.2,98,55,5.61,24.47
GOLD COAST SEAWAY,19/10/2015,5.1,0.0, ,26.4,17.3,86,56,5.77,22.74
GOLD COAST SEAWAY,20/10/2015,4.7,0.0, ,25.9,16.8,90,53,3.93,21.81
GOLD COAST SEAWAY,21/10/2015,5.6,0.0, ,27.4,16.0,96,51,5.64,26.41
GOLD COAST SEAWAY,22/10/2015,4.2,0.0, ,26.2,18.4,100,60,5.09,19.02
GOLD COAST SEAWAY,23/10/2015,4.8,2.8, ,25.2,17.6,100,63,8.10,26.19
GOLD COAST SEAWAY,24/10/2015,4.2,0.0, ,24.7,18.1,90,63,6.51,18.40
GOLD COAST SEAWAY,25/10/2015,4.3,0.0, ,25.8,17.2,91,57,3.61,19.92
GOLD COAST SEAWAY,26/10/2015,5.4,0.0, ,27.5,18.7,94,56,5.64,25.23
GOLD COAST SEAWAY,27/10/2015,5.0,0.8, ,27.6,19.0,99,62,6.53,24.22
GOLD COAST SEAWAY,28/10/2015,2.5,4.4, ,22.9,17.9,99,73,7.15,9.04
GOLD COAST SEAWAY,29/10/2015,2.4,6.6, ,22.4,17.1,99,65,5.10,7.50
GOLD COAST SEAWAY,30/10/2015,4.1,0.2, ,25.4,17.3,93,54,4.53,16.51
GOLD COAST SEAWAY,31/10/2015,4.3,0.0, ,25.0,17.7,86,45,3.55,16.80
Totals:,,142.5,27.6, ,,,,,, 
