'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for December 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/12/2015,5.9,0.0, ,30.1,22.8,100,59,5.45,26.62
GOLD COAST SEAWAY,02/12/2015,1.9,1.2, ,27.4,23.7,100,74,4.01,4.63
GOLD COAST SEAWAY,03/12/2015,5.7,1.8, ,26.1,20.7,100,52,10.93,24.45
GOLD COAST SEAWAY,04/12/2015,5.2,0.0, ,26.2,18.8,80,60,8.46,18.22
GOLD COAST SEAWAY,05/12/2015,6.6,0.0, ,27.9,18.5,80,55,7.28,29.17
GOLD COAST SEAWAY,06/12/2015,6.8,0.0, ,28.2,18.0,89,48,6.30,30.74
GOLD COAST SEAWAY,07/12/2015,6.5,0.0, ,28.8,18.7,89,54,4.99,31.02
GOLD COAST SEAWAY,08/12/2015,6.1,0.0, ,29.3,20.6,88,59,4.23,28.75
GOLD COAST SEAWAY,09/12/2015,6.1,0.0, ,30.9,21.0,89,56,5.49,24.84
GOLD COAST SEAWAY,10/12/2015,5.6,0.0, ,31.2,23.2,99,57,5.22,22.46
GOLD COAST SEAWAY,11/12/2015,6.3,8.2, ,31.1,21.0,100,60,6.33,28.68
GOLD COAST SEAWAY,12/12/2015,1.5,5.8, ,22.7,21.5,100,75,3.93,3.00
GOLD COAST SEAWAY,13/12/2015,4.4,20.8, ,27.4,19.1,100,60,5.92,18.00
GOLD COAST SEAWAY,14/12/2015,5.8,0.2, ,27.4,18.7,92,62,3.47,30.53
GOLD COAST SEAWAY,15/12/2015,5.7,0.0, ,28.7,20.9,96,56,3.52,27.08
GOLD COAST SEAWAY,16/12/2015,2.8,0.0, ,27.4,22.7,99,65,4.29,8.13
GOLD COAST SEAWAY,17/12/2015,6.0,3.2, ,28.9,20.3,99,55,6.84,26.58
GOLD COAST SEAWAY,18/12/2015,6.4,4.6, ,29.0,19.7,98,53,5.84,30.21
GOLD COAST SEAWAY,19/12/2015,6.5,0.0, ,28.8,19.5,99,49,4.10,31.37
GOLD COAST SEAWAY,20/12/2015,6.5,0.0, ,29.2,19.8,90,52,5.20,29.08
GOLD COAST SEAWAY,21/12/2015,7.1,0.0, ,30.3,22.5,85,52,5.33,30.44
GOLD COAST SEAWAY,22/12/2015,5.0,0.0, ,29.6,20.9,100,61,2.77,23.73
GOLD COAST SEAWAY,23/12/2015,5.3,0.0, ,29.5,21.1,96,58,4.72,22.66
GOLD COAST SEAWAY,24/12/2015,4.1,0.2, ,28.4,20.9,100,63,5.83,15.79
GOLD COAST SEAWAY,25/12/2015,4.2,0.4, ,26.7,20.5,92,65,6.81,16.26
GOLD COAST SEAWAY,26/12/2015,6.0,0.8, ,29.4,18.4,98,63,4.73,30.52
GOLD COAST SEAWAY,27/12/2015,3.6,2.8, ,29.0,23.7,100,70,6.28,13.28
GOLD COAST SEAWAY,28/12/2015,5.6,18.4, ,28.1,20.0,99,62,11.40,25.45
GOLD COAST SEAWAY,29/12/2015,4.6,1.6, ,26.0,18.2,99,63,9.55,20.62
GOLD COAST SEAWAY,30/12/2015,6.6,0.4, ,28.3,18.7,77,50,8.45,22.74
GOLD COAST SEAWAY,31/12/2015,6.7,0.0, ,28.1,20.9,78,51,9.44,21.98
Totals:,,167.1,70.4, ,,,,,, 
