'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for February 2016,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 March 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/02/2016,3.9,4.2, ,31.4,22.5,100,87,5.01,20.28
GOLD COAST SEAWAY,02/02/2016,4.5,4.0, ,34.1,23.4,100,55,4.36,13.64
GOLD COAST SEAWAY,03/02/2016,4.8,0.4, ,29.6,22.7,100,83,3.37,25.92
GOLD COAST SEAWAY,04/02/2016,1.8,15.4, ,26.0,23.1,100,85,5.34,7.03
GOLD COAST SEAWAY,05/02/2016,3.1,2.2, ,29.0,22.2,100,84,9.41,15.85
GOLD COAST SEAWAY,06/02/2016,3.1,13.6, ,28.2,21.6,100,91,9.33,20.30
GOLD COAST SEAWAY,07/02/2016,3.9,4.2, ,27.8,21.6,100,68,8.76,15.38
GOLD COAST SEAWAY,08/02/2016,5.9,0.0, ,29.9,20.6,95,62,7.65,26.56
GOLD COAST SEAWAY,09/02/2016,6.3,0.0, ,28.7,22.5,88,61,10.52,26.86
GOLD COAST SEAWAY,10/02/2016,5.2,0.0, ,29.2,21.6,100,64,8.46,22.95
GOLD COAST SEAWAY,11/02/2016,5.8,0.4, ,29.9,21.5,100,64,7.75,28.08
GOLD COAST SEAWAY,12/02/2016,5.6,1.4, ,29.6,21.5,100,65,8.67,27.09
GOLD COAST SEAWAY,13/02/2016,3.3,0.0, ,27.8,22.4,100,80,9.65,15.90
GOLD COAST SEAWAY,14/02/2016,5.9,2.2, ,30.5,22.1,100,63,7.84,27.05
GOLD COAST SEAWAY,15/02/2016, ,0.0, , ,21.2,100,66,7.47,27.08
GOLD COAST SEAWAY,16/02/2016, , , ,29.9, ,100,77,3.89,27.59
GOLD COAST SEAWAY,17/02/2016,4.7,0.0, ,30.8,23.6,100,77,5.05,23.42
GOLD COAST SEAWAY,18/02/2016,4.9,0.0, ,30.8,23.9,100,79,6.15,25.70
GOLD COAST SEAWAY,19/02/2016,4.7,0.0, ,31.1,25.6,100,79,6.58,23.25
GOLD COAST SEAWAY,20/02/2016,5.0,2.8, ,29.6,24.5,100,74,5.64,25.40
GOLD COAST SEAWAY,21/02/2016, ,0.4, , ,24.0,100,61,9.38,26.46
GOLD COAST SEAWAY,22/02/2016, , , ,29.8, ,99,62,9.30,26.30
GOLD COAST SEAWAY,23/02/2016,5.1,5.8, ,29.0,21.6,100,70,8.33,26.35
GOLD COAST SEAWAY,24/02/2016,5.6,0.2, ,29.5,21.8,92,61,6.48,24.15
GOLD COAST SEAWAY,25/02/2016,5.2,0.0, ,28.8,21.5,100,64,3.71,26.18
GOLD COAST SEAWAY,26/02/2016,5.1,0.0, ,28.7,20.1,100,65,5.49,25.88
GOLD COAST SEAWAY,27/02/2016,6.2,0.0, ,30.5,24.0,100,59,11.75,26.19
GOLD COAST SEAWAY,28/02/2016,4.4,0.6, ,30.8,22.4,100,77,8.36,21.56
GOLD COAST SEAWAY,29/02/2016,4.6,1.0, ,30.5,23.2,100,67,8.67,17.98
Totals:,,118.6,58.8, ,,,,,, 
