'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for March 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 April 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/03/2016,1.1,6.2, ,27.0,22.0,100,100,6.81,6.55
GOLD COAST SEAWAY,02/03/2016,3.1,6.8, ,28.8,22.0,100,91,5.96,18.29
GOLD COAST SEAWAY,03/03/2016,4.7,0.8, ,29.2,24.0,100,70,5.60,22.92
GOLD COAST SEAWAY,04/03/2016,5.7,0.0, ,29.8,24.1,91,59,6.79,22.72
GOLD COAST SEAWAY,05/03/2016,2.6,0.6, ,27.9,21.5,100,80,5.98,11.37
GOLD COAST SEAWAY,06/03/2016, ,14.0, , ,20.9,100,69,5.29,23.34
GOLD COAST SEAWAY,07/03/2016, , , ,29.2, ,100,76,6.94,13.98
GOLD COAST SEAWAY,08/03/2016,3.0,5.6, ,28.4,22.4,100,84,6.20,15.73
GOLD COAST SEAWAY,09/03/2016, ,14.0, , ,22.9,100,83,7.32,19.90
GOLD COAST SEAWAY,10/03/2016, , , ,30.6, ,100,78,5.72,23.45
GOLD COAST SEAWAY,11/03/2016,6.7,0.4, ,30.2,23.4,100,16,6.14,17.93
GOLD COAST SEAWAY,12/03/2016,10.8,0.0, ,30.6,23.2,21,14,7.95,23.10
GOLD COAST SEAWAY,13/03/2016,9.8,11.8, ,28.2,23.1,21,17,8.19,13.07
GOLD COAST SEAWAY,14/03/2016, ,2.2, , ,22.8,79,14,5.47,22.11
GOLD COAST SEAWAY,15/03/2016, , , , , , , , ,17.40
GOLD COAST SEAWAY,16/03/2016, , , , , , , , ,18.12
GOLD COAST SEAWAY,17/03/2016, , , , , ,100,70,6.59,17.58
GOLD COAST SEAWAY,18/03/2016, , , ,29.2, ,100,67,4.21,21.42
GOLD COAST SEAWAY,19/03/2016,4.3,3.0, ,30.7,22.6,100,68,6.51,17.74
GOLD COAST SEAWAY,20/03/2016,4.9,0.2, ,29.4,22.6,99,59,8.23,18.98
GOLD COAST SEAWAY,21/03/2016,5.1,2.0, ,28.8,21.7,94,60,8.73,19.75
GOLD COAST SEAWAY,22/03/2016,5.3,0.4, ,28.6,19.4,99,51,7.11,21.19
GOLD COAST SEAWAY,23/03/2016,5.5,0.0, ,28.1,20.0,82,47,5.20,22.37
GOLD COAST SEAWAY,24/03/2016,4.9,0.0, ,28.7,20.0,93,55,4.66,21.55
GOLD COAST SEAWAY,25/03/2016,4.8,0.0, ,28.5,19.7,95,50,3.57,22.86
GOLD COAST SEAWAY,26/03/2016,4.9,0.0, ,29.3,20.3,95,55,4.67,21.70
GOLD COAST SEAWAY,27/03/2016,2.0,0.0, ,26.2,20.7,99,68,2.89,6.20
GOLD COAST SEAWAY,28/03/2016,4.0,0.4, ,28.6,20.2,100,65,3.35,20.23
GOLD COAST SEAWAY,29/03/2016,4.6,0.2, ,28.9,20.6,99,57,4.04,21.85
GOLD COAST SEAWAY,30/03/2016,4.7,0.0, ,31.0,21.4,97,45,4.24,16.02
GOLD COAST SEAWAY,31/03/2016,4.7,0.0, ,29.0,20.4,100,54,4.28,21.71
Totals:,,107.2,68.6, ,,,,,, 
