'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for July 2016,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/07/2016,3.1,0.0, ,21.8,11.4,99,30,4.05,13.82
GOLD COAST SEAWAY,02/07/2016,3.0,0.0, ,20.9,9.3,81,33,3.57,13.85
GOLD COAST SEAWAY,03/07/2016,2.6,0.0, ,21.6,10.6,91,45,3.16,13.88
GOLD COAST SEAWAY,04/07/2016,2.2,0.0, ,21.6,10.1,94,55,2.85,12.74
GOLD COAST SEAWAY,05/07/2016,1.9,6.4, ,19.2,16.0,100,55,3.96,6.54
GOLD COAST SEAWAY,06/07/2016,3.7,1.2, ,17.8,10.8,65,35,6.06,14.01
GOLD COAST SEAWAY,07/07/2016,4.0,0.0, ,22.8,12.0,73,38,5.58,14.06
GOLD COAST SEAWAY,08/07/2016,3.1,0.0, ,23.0,12.3,84,41,3.66,14.10
GOLD COAST SEAWAY,09/07/2016,3.0,0.0, ,22.2,11.4,90,43,4.15,14.15
GOLD COAST SEAWAY,10/07/2016,2.8,0.0, ,22.7,10.3,93,51,4.16,14.18
GOLD COAST SEAWAY,11/07/2016,2.1,0.0, ,22.3,14.0,97,64,3.55,10.94
GOLD COAST SEAWAY,12/07/2016,1.6,0.0, ,21.6,15.8,100,75,3.91,7.20
GOLD COAST SEAWAY,13/07/2016,3.0,0.0, ,21.5,16.2,99,27,3.78,11.43
GOLD COAST SEAWAY,14/07/2016,2.8,0.0, ,18.8,12.3,82,44,4.79,9.26
GOLD COAST SEAWAY,15/07/2016,2.6,0.0, ,17.8,13.1,86,59,6.68,11.33
GOLD COAST SEAWAY,16/07/2016,2.2,0.0, ,19.0,16.2,99,63,8.65,5.54
GOLD COAST SEAWAY,17/07/2016,2.1,8.6, ,21.7,15.6,99,72,6.56,10.13
GOLD COAST SEAWAY,18/07/2016,2.0,0.0, ,22.0,15.9,99,75,3.66,12.78
GOLD COAST SEAWAY,19/07/2016,2.7,0.2, ,24.8,15.4,100,58,3.62,14.74
GOLD COAST SEAWAY,20/07/2016, ,0.0, , ,15.4,100,57,3.88,14.55
GOLD COAST SEAWAY,21/07/2016, , , ,24.9, ,99,60,3.75,13.41
GOLD COAST SEAWAY,22/07/2016,2.9,0.0, ,26.9,16.7,100,59,3.55,14.94
GOLD COAST SEAWAY,23/07/2016,5.4,0.0, ,28.9,18.2,100,28,6.82,15.08
GOLD COAST SEAWAY,24/07/2016,3.0,0.0, ,20.7,12.5,81,29,2.93,14.93
GOLD COAST SEAWAY,25/07/2016,3.4,0.0, ,22.0,13.2,79,30,3.35,14.94
GOLD COAST SEAWAY,26/07/2016,3.2,0.0, ,20.2,12.8,66,32,3.28,12.59
GOLD COAST SEAWAY,27/07/2016,3.6,0.0, ,19.7,14.9,68,27,4.49,7.92
GOLD COAST SEAWAY,28/07/2016, ,0.0, , ,8.1,78,37,3.99,15.58
GOLD COAST SEAWAY,29/07/2016, , , ,23.6, ,92,31,3.72,15.66
GOLD COAST SEAWAY,30/07/2016,2.8,0.0, ,21.5,10.7,89,50,3.28,15.77
GOLD COAST SEAWAY,31/07/2016,3.7,0.0, ,24.1,12.4,91,28,3.52,15.83
Totals:,,78.5,16.4, ,,,,,, 
