'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for August 2016,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 September 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/08/2016,3.7,0.0, ,24.9,9.4,99,27,3.33,15.91
GOLD COAST SEAWAY,02/08/2016,2.4,0.0, ,23.6,11.9,92,61,3.45,10.92
GOLD COAST SEAWAY,03/08/2016,3.2,3.4, ,20.7,15.5,100,45,6.44,13.15
GOLD COAST SEAWAY,04/08/2016,2.7,18.6, ,19.4,12.3,100,58,8.63,11.65
GOLD COAST SEAWAY,05/08/2016,3.6,0.8, ,20.2,12.7,80,53,7.23,15.97
GOLD COAST SEAWAY,06/08/2016,3.2,0.0, ,21.4,13.1,88,58,5.92,15.23
GOLD COAST SEAWAY,07/08/2016,3.1,0.0, ,21.5,11.3,94,55,5.53,16.34
GOLD COAST SEAWAY,08/08/2016,3.0,0.0, ,21.3,11.5,92,53,4.54,15.52
GOLD COAST SEAWAY,09/08/2016,3.0,0.0, ,21.8,11.4,89,50,3.24,16.79
GOLD COAST SEAWAY,10/08/2016,3.6,0.0, ,24.5,11.1,99,42,3.93,16.90
GOLD COAST SEAWAY,11/08/2016,3.4,0.0, ,24.4,14.5,92,46,4.05,14.62
GOLD COAST SEAWAY,12/08/2016, ,2.0, , ,13.6,96,55,3.82,16.67
GOLD COAST SEAWAY,13/08/2016, , , ,23.5, ,90,31,3.91,16.38
GOLD COAST SEAWAY,14/08/2016,4.4,0.0, ,23.5,12.4,81,37,5.44,17.40
GOLD COAST SEAWAY,15/08/2016,4.1,0.0, ,22.5,13.3,75,54,7.69,14.82
GOLD COAST SEAWAY,16/08/2016,4.5,0.0, ,22.7,15.5,76,42,6.60,16.21
GOLD COAST SEAWAY,17/08/2016,3.7,0.0, ,23.1,13.0,86,51,5.30,16.45
GOLD COAST SEAWAY,18/08/2016,3.1,0.0, ,22.3,13.8,90,55,4.43,14.33
GOLD COAST SEAWAY,19/08/2016,3.7,0.0, ,24.0,14.1,92,43,4.59,14.85
GOLD COAST SEAWAY,20/08/2016, ,0.0, , ,16.3,99,46,4.64,15.93
GOLD COAST SEAWAY,21/08/2016, , , ,20.9, ,94,45,3.76,18.33
GOLD COAST SEAWAY,22/08/2016,3.1,0.0, ,23.0,12.9,94,62,4.42,16.35
GOLD COAST SEAWAY,23/08/2016,2.8,0.6, ,24.2,17.2,100,59,3.61,12.79
GOLD COAST SEAWAY,24/08/2016,0.6,11.6, ,18.1,18.0,100,99,4.35,2.42
GOLD COAST SEAWAY,25/08/2016,4.0,28.0, ,21.3,14.5,100,35,5.34,18.91
GOLD COAST SEAWAY,26/08/2016,3.5,0.2, ,20.4,8.0,80,41,3.47,18.90
GOLD COAST SEAWAY,27/08/2016,3.9,1.8, ,21.8,10.3,88,31,3.66,19.06
GOLD COAST SEAWAY,28/08/2016,3.7,0.0, ,22.7,10.5,86,47,3.61,19.25
GOLD COAST SEAWAY,29/08/2016,3.6,0.0, ,22.7,12.9,95,49,3.91,18.95
GOLD COAST SEAWAY,30/08/2016,3.4,0.0, ,23.3,14.8,92,50,3.29,17.48
GOLD COAST SEAWAY,31/08/2016,3.4,0.0, ,23.5,14.2,90,50,4.01,13.79
Totals:,,90.4,67, ,,,,,, 
