'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for September 2016,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 October 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/09/2016,3.9,0.0, ,26.0,14.7,99,48,4.84,15.88
GOLD COAST SEAWAY,02/09/2016,3.4,0.2, ,24.7,18.7,100,64,7.19,15.14
GOLD COAST SEAWAY,03/09/2016,4.9,7.6, ,23.3,17.0,100,37,8.34,19.84
GOLD COAST SEAWAY,04/09/2016,4.3,0.0, ,22.2,10.1,74,37,4.14,20.34
GOLD COAST SEAWAY,05/09/2016,4.7,0.0, ,23.4,13.6,80,46,6.40,19.72
GOLD COAST SEAWAY,06/09/2016,4.5,0.0, ,23.6,14.3,79,51,6.45,18.91
GOLD COAST SEAWAY,07/09/2016,4.5,0.0, ,24.9,14.7,84,52,6.66,17.29
GOLD COAST SEAWAY,08/09/2016,4.3,0.4, ,23.3,18.2,81,59,6.34,19.11
GOLD COAST SEAWAY,09/09/2016,4.0,0.0, ,23.3,19.2,84,65,8.01,16.24
GOLD COAST SEAWAY,10/09/2016,2.2,4.0, ,22.1,16.2,99,78,6.30,11.07
GOLD COAST SEAWAY,11/09/2016,3.5,8.0, ,22.9,13.8,100,60,3.49,21.17
GOLD COAST SEAWAY,12/09/2016,3.5,0.0, ,23.3,15.2,98,65,3.40,20.67
GOLD COAST SEAWAY,13/09/2016,3.5,0.0, ,24.6,16.4,98,64,3.63,19.23
GOLD COAST SEAWAY,14/09/2016, ,0.8, , ,18.9,99,53,5.56,20.31
GOLD COAST SEAWAY,15/09/2016, , , ,25.9, ,100,71,4.15,10.23
GOLD COAST SEAWAY,16/09/2016,4.6,2.8, ,26.1,18.3,100,43,5.89,17.60
GOLD COAST SEAWAY,17/09/2016,3.7,0.0, ,24.1,15.0,94,67,4.61,20.82
GOLD COAST SEAWAY,18/09/2016,1.8,1.2, ,23.4,19.0,100,86,5.22,8.80
GOLD COAST SEAWAY,19/09/2016,3.8,1.4, ,22.7,18.1,100,34,4.29,13.43
GOLD COAST SEAWAY,20/09/2016,4.1,0.2, ,22.9,11.1,86,38,2.80,21.50
GOLD COAST SEAWAY,21/09/2016,1.4,0.0, ,20.1,17.7,100,83,2.00,5.98
GOLD COAST SEAWAY,22/09/2016,4.9,7.6, ,24.5,15.0,100,34,4.97,21.03
GOLD COAST SEAWAY,23/09/2016,4.8,0.0, ,23.7,14.2,82,36,3.57,23.34
GOLD COAST SEAWAY,24/09/2016,4.4,0.0, ,23.9,13.0,88,47,3.26,23.34
GOLD COAST SEAWAY,25/09/2016,4.8,0.0, ,27.2,13.8,94,33,4.46,14.96
GOLD COAST SEAWAY,26/09/2016,4.8,0.0, ,24.1,16.4,82,41,3.52,23.51
GOLD COAST SEAWAY,27/09/2016,5.0,0.0, ,23.8,14.5,80,30,3.88,21.44
GOLD COAST SEAWAY,28/09/2016,5.1,0.0, ,24.5,11.9,78,42,4.63,23.97
GOLD COAST SEAWAY,29/09/2016, ,0.0, , ,17.9,83,46,5.55,9.26
GOLD COAST SEAWAY,30/09/2016, , , ,24.9, ,92,21,8.18,24.31
Totals:,,104.4,34.2, ,,,,,, 
