'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for December 2016,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 January 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/12/2016,5.5,1.8, ,27.9,18.6,100,58,5.26,26.65
GOLD COAST SEAWAY,02/12/2016,5.9,8.6, ,27.3,20.7,100,61,5.46,30.89
GOLD COAST SEAWAY,03/12/2016,4.1,0.0, ,27.3,21.0,100,73,5.14,20.17
GOLD COAST SEAWAY,04/12/2016,5.4,1.6, ,28.0,19.7,100,71,4.95,29.57
GOLD COAST SEAWAY,05/12/2016,5.7,0.0, ,29.7,21.0,100,66,6.09,27.85
GOLD COAST SEAWAY,06/12/2016, ,13.8, ,32.3,19.0,100,53,6.32, 
GOLD COAST SEAWAY,07/12/2016,3.4,2.6, ,28.6,20.6,100,77,4.30,15.87
GOLD COAST SEAWAY,08/12/2016,2.3,7.0, ,25.7,20.5,100,88,3.77,11.27
GOLD COAST SEAWAY,09/12/2016,2.4,0.2, ,27.8,22.2,100,69,5.05,5.76
GOLD COAST SEAWAY,10/12/2016,5.5,0.0, ,27.9,19.6,92,62,6.80,25.60
GOLD COAST SEAWAY,11/12/2016,5.3,0.0, ,27.3,19.8,87,55,4.69,22.24
GOLD COAST SEAWAY,12/12/2016,6.3,0.0, ,28.4,17.9,86,57,4.78,30.36
GOLD COAST SEAWAY,13/12/2016,6.2,0.0, ,28.3,17.9,91,55,3.63,31.20
GOLD COAST SEAWAY,14/12/2016,6.1,0.0, ,28.3,19.8,98,59,5.42,30.50
GOLD COAST SEAWAY,15/12/2016,6.5,0.0, ,29.3,20.4,96,53,4.78,31.03
GOLD COAST SEAWAY,16/12/2016,4.7,0.0, ,29.0,21.5,99,63,3.88,21.32
GOLD COAST SEAWAY,17/12/2016,6.4,0.0, ,29.3,21.6,99,53,5.52,29.86
GOLD COAST SEAWAY,18/12/2016,3.4,4.8, ,26.4,22.4,99,75,8.13,15.21
GOLD COAST SEAWAY,19/12/2016,5.3,0.2, ,26.6,20.9,88,60,8.49,20.84
GOLD COAST SEAWAY,20/12/2016,5.8,0.0, ,29.4,20.9,89,64,4.05,27.59
GOLD COAST SEAWAY,21/12/2016,7.1,0.0, ,33.3,22.3,99,42,4.90,26.73
GOLD COAST SEAWAY,22/12/2016,5.9,0.0, ,28.8,22.5,92,65,8.81,26.75
GOLD COAST SEAWAY,23/12/2016,5.3,0.0, ,29.5,21.4,96,59,5.85,21.53
GOLD COAST SEAWAY,24/12/2016,5.9,0.4, ,29.0,19.6,96,64,4.20,30.14
GOLD COAST SEAWAY,25/12/2016,1.6,10.2, ,26.9,20.0,100,82,4.05,4.33
GOLD COAST SEAWAY,26/12/2016,4.2,2.2, ,28.2,19.4,100,70,4.18,20.40
GOLD COAST SEAWAY,27/12/2016,5.5,2.0, ,29.2,19.4,99,69,4.35,28.33
GOLD COAST SEAWAY,28/12/2016,6.3,0.0, ,28.9,22.6,98,58,4.43,31.09
GOLD COAST SEAWAY,29/12/2016,5.8,1.2, ,29.6,21.0,100,69,5.51,30.16
GOLD COAST SEAWAY,30/12/2016,6.3,0.0, ,30.2,22.4,99,65,5.78,31.22
GOLD COAST SEAWAY,31/12/2016,6.3,0.0, ,30.8,24.9,100,68,5.89,30.63
Totals:,,156.4,56.6, ,,,,,, 
