'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for February 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 March 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/02/2017,7.2,0.0, ,31.7,23.5,87,51,5.99,28.98
GOLD COAST SEAWAY,02/02/2017,7.1,0.0, ,32.1,24.5,87,57,5.71,29.46
GOLD COAST SEAWAY,03/02/2017,6.0,0.0, ,30.1,23.1,96,63,4.46,28.97
GOLD COAST SEAWAY,04/02/2017,5.5,0.0, ,30.0,21.9,94,67,4.31,26.38
GOLD COAST SEAWAY,05/02/2017,5.6,0.0, ,30.6,22.4,99,65,4.01,26.84
GOLD COAST SEAWAY,06/02/2017,6.0,0.0, ,30.5,22.3,99,60,3.90,28.73
GOLD COAST SEAWAY,07/02/2017, ,0.0, , ,22.7,99,61,3.98,28.92
GOLD COAST SEAWAY,08/02/2017, , , ,31.0, ,97,60,9.04,28.58
GOLD COAST SEAWAY,09/02/2017,5.8,6.2, ,30.3,23.1,100,66,8.03,27.58
GOLD COAST SEAWAY,10/02/2017,5.2,8.4, ,29.0,22.6,100,75,4.23,27.87
GOLD COAST SEAWAY,11/02/2017, ,0.0, , ,23.3,92,51,5.23,28.55
GOLD COAST SEAWAY,12/02/2017, , , ,33.0, ,97,55,5.52,28.41
GOLD COAST SEAWAY,13/02/2017,6.0,0.0, ,31.5,25.1,97,62,8.36,24.24
GOLD COAST SEAWAY,14/02/2017,5.8,0.6, ,29.9,23.7,91,55,8.83,19.18
GOLD COAST SEAWAY,15/02/2017,6.7,0.2, ,30.4,24.1,73,55,6.56,23.79
GOLD COAST SEAWAY,16/02/2017,6.2,0.0, ,29.3,22.7,78,54,3.98,26.94
GOLD COAST SEAWAY,17/02/2017,6.6,0.0, ,29.1,23.1,74,54,5.17,27.76
GOLD COAST SEAWAY,18/02/2017,7.0,0.0, ,30.8,21.9,80,48,6.25,26.59
GOLD COAST SEAWAY,19/02/2017,5.1,0.0, ,30.6,23.4,96,53,4.88,18.85
GOLD COAST SEAWAY,20/02/2017,5.7,4.2, ,29.3,21.5,99,52,4.74,25.83
GOLD COAST SEAWAY,21/02/2017,5.9,1.6, ,30.6,22.1,99,58,6.33,26.35
GOLD COAST SEAWAY,22/02/2017,7.2,0.0, ,30.3,22.4,78,48,8.46,24.10
GOLD COAST SEAWAY,23/02/2017,7.4,0.0, ,29.9,22.0,76,47,7.95,26.84
GOLD COAST SEAWAY,24/02/2017, ,0.0, , ,20.4,82,47,6.40,26.86
GOLD COAST SEAWAY,25/02/2017, , , ,30.6, ,81,49,7.75,26.62
GOLD COAST SEAWAY,26/02/2017,7.2,0.0, ,30.3,21.8,81,48,9.30,23.58
GOLD COAST SEAWAY,27/02/2017,3.4,2.2, ,24.2,20.0,95,68,8.60,13.47
GOLD COAST SEAWAY,28/02/2017,5.6,0.0, ,29.0,20.1,84,59,6.71,22.52
Totals:,,134.2,23.4, ,,,,,, 
