'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for March 2017,,,,,,,,,,
Issued at 06:30 GMT on Saturday 01 April 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/03/2017,5.7,0.0, ,29.9,20.1,99,60,7.38,26.12
GOLD COAST SEAWAY,02/03/2017,5.1,2.8, ,29.4,21.2,99,66,4.58,25.70
GOLD COAST SEAWAY,03/03/2017,5.6,0.0, ,30.8,21.3,95,60,4.75,25.27
GOLD COAST SEAWAY,04/03/2017,4.0,20.0, ,29.4,22.2,100,69,3.87,18.01
GOLD COAST SEAWAY,05/03/2017,3.8,1.6, ,28.8,22.6,100,81,4.47,19.73
GOLD COAST SEAWAY,06/03/2017,5.8,0.0, ,29.9,21.4,94,60,7.56,24.98
GOLD COAST SEAWAY,07/03/2017,8.0,0.0, ,29.9,21.5,82,37,9.78,24.93
GOLD COAST SEAWAY,08/03/2017,6.5,0.0, ,29.5,19.4,71,42,7.15,16.97
GOLD COAST SEAWAY,09/03/2017,7.4,0.0, ,30.0,19.5,75,39,7.41,24.43
GOLD COAST SEAWAY,10/03/2017,7.1,0.0, ,29.7,19.5,72,44,7.39,24.57
GOLD COAST SEAWAY,11/03/2017,6.0,0.0, ,29.1,17.8,78,43,4.83,23.76
GOLD COAST SEAWAY,12/03/2017,5.2,0.0, ,29.3,21.2,87,56,4.31,22.29
GOLD COAST SEAWAY,13/03/2017,3.0,0.0, ,27.2,23.6,94,69,5.17,9.72
GOLD COAST SEAWAY,14/03/2017,3.7,2.2, ,27.1,21.4,92,69,7.94,12.58
GOLD COAST SEAWAY,15/03/2017,2.3,33.8, ,27.0,21.1,100,85,6.48,10.92
GOLD COAST SEAWAY,16/03/2017,2.7,8.4, ,28.1,22.0,100,92,3.84,15.52
GOLD COAST SEAWAY,17/03/2017,3.9,0.6, ,29.4,21.1,100,77,4.19,20.37
GOLD COAST SEAWAY,18/03/2017,5.5,1.4, ,30.8,21.2,99,52,6.28,20.92
GOLD COAST SEAWAY,19/03/2017,1.8,74.8, ,28.4,21.5,100,86,4.97,7.10
GOLD COAST SEAWAY,20/03/2017,1.2,20.2, ,26.2,23.3,100,99,7.66,7.82
GOLD COAST SEAWAY,21/03/2017,2.4,10.4, ,28.1,22.6,100,89,5.81,13.29
GOLD COAST SEAWAY,22/03/2017,2.5,0.0, ,28.9,23.9,100,86,4.09,12.28
GOLD COAST SEAWAY,23/03/2017,2.9,2.8, ,29.4,22.8,100,87,3.20,15.01
GOLD COAST SEAWAY,24/03/2017,2.4,0.0, ,28.9,22.1,100,87,5.64,12.14
GOLD COAST SEAWAY,25/03/2017,3.4,6.6, ,27.7,21.4,99,78,5.88,17.13
GOLD COAST SEAWAY,26/03/2017,3.9,0.0, ,28.7,21.1,99,71,3.75,19.71
GOLD COAST SEAWAY,27/03/2017,3.5,5.2, ,28.3,22.1,100,78,4.25,18.56
GOLD COAST SEAWAY,28/03/2017,4.2,0.2, ,28.5,20.7,100,66,3.56,21.70
GOLD COAST SEAWAY,29/03/2017,2.7,0.0, ,28.7,22.3,100,87,5.11,14.05
GOLD COAST SEAWAY,30/03/2017,5.1,105.0, ,24.6,23.3,100,20,10.30,1.85
GOLD COAST SEAWAY,31/03/2017,6.2,98.0, ,26.7,20.5,100,22,8.44,16.64
Totals:,,133.5,394, ,,,,,, 
